campaign_id,variant_id,share_rank_min,min_opening_drive_ticks,full_signals,full_signals_per_year,limited_start,limited_end,limited_signals,limited_signals_per_year
es_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,0.6,3,789,111.1814236111111,2021-07-13,2022-03-28,107,150.89478764478764
es_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,0.5,1,785,110.6177662037037,2021-07-13,2022-03-28,83,117.0492277992278
es_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,0.5,2,779,109.77228009259258,2021-07-13,2022-03-28,83,117.0492277992278
es_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,0.5,3,775,109.20862268518518,2021-07-13,2022-03-28,82,115.63899613899613
es_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,0.55,1,735,103.5720486111111,2021-07-13,2022-03-28,81,114.22876447876448
es_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,0.55,2,730,102.86747685185185,2021-07-13,2022-03-28,81,114.22876447876448
es_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,0.55,3,727,102.44473379629629,2021-07-13,2022-03-28,80,112.81853281853282
es_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,0.6,1,691,97.37181712962962,2021-07-13,2022-03-28,79,111.40830115830116
es_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,0.6,2,687,96.80815972222221,2021-07-13,2022-03-28,79,111.40830115830116
es_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,0.6,3,684,96.38541666666666,2021-07-13,2022-03-28,78,109.9980694980695
