variant,range_start,range_end,last_entry_time,flow_mode,max_range_points,min_orderflow_imbalance,full_signals,full_signals_per_year,limited_core_signals,limited_core_signals_per_year,latest_252_session_signals,density_pass,density_failure_reason
late_lunch_1200_1330_large10_breakout_1500,12:00:00,13:30:00,15:00:00,large10,80,0.0,2107,136.450665,277,179.386968,57,True,
late_lunch_1200_1330_large10_breakout_1500,12:00:00,13:30:00,15:00:00,large10,80,0.05,2084,134.96117,276,178.739362,56,True,
late_lunch_1200_1330_large10_breakout_1500,12:00:00,13:30:00,15:00:00,large10,80,0.1,2058,133.277394,271,175.50133,55,True,
late_lunch_1200_1330_large10_breakout_1500,12:00:00,13:30:00,15:00:00,large10,100,0.0,2308,149.467553,277,179.386968,83,True,
late_lunch_1200_1330_large10_breakout_1500,12:00:00,13:30:00,15:00:00,large10,100,0.05,2283,147.848537,276,178.739362,82,True,
late_lunch_1200_1330_large10_breakout_1500,12:00:00,13:30:00,15:00:00,large10,100,0.1,2255,146.035239,271,175.50133,81,True,
late_lunch_1200_1330_large10_breakout_1500,12:00:00,13:30:00,15:00:00,large10,120,0.0,2431,157.433112,277,179.386968,102,True,
late_lunch_1200_1330_large10_breakout_1500,12:00:00,13:30:00,15:00:00,large10,120,0.05,2405,155.749335,276,178.739362,101,True,
late_lunch_1200_1330_large10_breakout_1500,12:00:00,13:30:00,15:00:00,large10,120,0.1,2375,153.806516,271,175.50133,100,True,
late_lunch_1200_1330_signed_breakout_1500,12:00:00,13:30:00,15:00:00,signed_volume,80,0.0,2251,145.776197,289,187.158245,60,True,
late_lunch_1200_1330_signed_breakout_1500,12:00:00,13:30:00,15:00:00,signed_volume,80,0.03,2212,143.250532,287,185.863032,57,True,
late_lunch_1200_1330_signed_breakout_1500,12:00:00,13:30:00,15:00:00,signed_volume,80,0.06,2159,139.818218,285,184.567819,52,True,
late_lunch_1200_1330_signed_breakout_1500,12:00:00,13:30:00,15:00:00,signed_volume,100,0.0,2457,159.116888,289,187.158245,87,True,
late_lunch_1200_1330_signed_breakout_1500,12:00:00,13:30:00,15:00:00,signed_volume,100,0.03,2417,156.526463,287,185.863032,83,True,
late_lunch_1200_1330_signed_breakout_1500,12:00:00,13:30:00,15:00:00,signed_volume,100,0.06,2347,151.993218,285,184.567819,76,True,
late_lunch_1200_1330_signed_breakout_1500,12:00:00,13:30:00,15:00:00,signed_volume,120,0.0,2591,167.794814,289,187.158245,109,True,
late_lunch_1200_1330_signed_breakout_1500,12:00:00,13:30:00,15:00:00,signed_volume,120,0.03,2543,164.686303,287,185.863032,103,True,
late_lunch_1200_1330_signed_breakout_1500,12:00:00,13:30:00,15:00:00,signed_volume,120,0.06,2458,159.181649,285,184.567819,91,True,
lunch_1130_1300_large10_breakout_1430,11:30:00,13:00:00,14:30:00,large10,80,0.0,1929,124.923271,250,161.901596,48,True,
lunch_1130_1300_large10_breakout_1430,11:30:00,13:00:00,14:30:00,large10,80,0.05,1899,122.980452,247,159.958777,48,True,
lunch_1130_1300_large10_breakout_1430,11:30:00,13:00:00,14:30:00,large10,80,0.1,1885,122.073803,242,156.720745,47,True,
lunch_1130_1300_large10_breakout_1430,11:30:00,13:00:00,14:30:00,large10,100,0.0,2149,139.170612,250,161.901596,83,True,
lunch_1130_1300_large10_breakout_1430,11:30:00,13:00:00,14:30:00,large10,100,0.05,2113,136.839229,247,159.958777,81,True,
lunch_1130_1300_large10_breakout_1430,11:30:00,13:00:00,14:30:00,large10,100,0.1,2098,135.867819,242,156.720745,80,True,
lunch_1130_1300_large10_breakout_1430,11:30:00,13:00:00,14:30:00,large10,120,0.0,2281,147.719016,250,161.901596,100,True,
lunch_1130_1300_large10_breakout_1430,11:30:00,13:00:00,14:30:00,large10,120,0.05,2245,145.387633,247,159.958777,98,True,
lunch_1130_1300_large10_breakout_1430,11:30:00,13:00:00,14:30:00,large10,120,0.1,2228,144.286702,242,156.720745,97,True,
lunch_1130_1300_large20_breakout_1430,11:30:00,13:00:00,14:30:00,large20,80,0.0,1733,112.230186,239,154.777926,39,True,
lunch_1130_1300_large20_breakout_1430,11:30:00,13:00:00,14:30:00,large20,80,0.05,1716,111.129255,236,152.835106,39,True,
lunch_1130_1300_large20_breakout_1430,11:30:00,13:00:00,14:30:00,large20,80,0.1,1704,110.352128,236,152.835106,38,True,
lunch_1130_1300_large20_breakout_1430,11:30:00,13:00:00,14:30:00,large20,100,0.0,1916,124.081383,239,154.777926,66,True,
lunch_1130_1300_large20_breakout_1430,11:30:00,13:00:00,14:30:00,large20,100,0.05,1895,122.72141,236,152.835106,65,True,
lunch_1130_1300_large20_breakout_1430,11:30:00,13:00:00,14:30:00,large20,100,0.1,1882,121.879521,236,152.835106,64,True,
lunch_1130_1300_large20_breakout_1430,11:30:00,13:00:00,14:30:00,large20,120,0.0,2022,130.946011,239,154.777926,81,True,
lunch_1130_1300_large20_breakout_1430,11:30:00,13:00:00,14:30:00,large20,120,0.05,2000,129.521277,236,152.835106,80,True,
lunch_1130_1300_large20_breakout_1430,11:30:00,13:00:00,14:30:00,large20,120,0.1,1986,128.614628,236,152.835106,79,True,
lunch_1130_1300_signed_breakout_1430,11:30:00,13:00:00,14:30:00,signed_volume,80,0.0,2066,133.795479,261,169.025266,50,True,
lunch_1130_1300_signed_breakout_1430,11:30:00,13:00:00,14:30:00,signed_volume,80,0.03,2044,132.370745,258,167.082447,49,True,
lunch_1130_1300_signed_breakout_1430,11:30:00,13:00:00,14:30:00,signed_volume,80,0.06,1976,127.967021,254,164.492021,46,True,
lunch_1130_1300_signed_breakout_1430,11:30:00,13:00:00,14:30:00,signed_volume,100,0.0,2301,149.014229,261,169.025266,85,True,
lunch_1130_1300_signed_breakout_1430,11:30:00,13:00:00,14:30:00,signed_volume,100,0.03,2274,147.265691,258,167.082447,83,True,
