dataset,variant_id,corner,start_date,end_date,sessions,signals,long_signals,short_signals,signals_per_year,passes_50_per_year,params
full,midday_signed_two_sided_magnet,mid,2011-01-03,2026-06-09,3817,2562,1091,1471,169.14,True,"{""allow_long"": true, ""allow_short"": true, ""bar_interval_minutes"": 5, ""end_time"": ""14:00:00"", ""flatten_time"": ""14:00:00"", ""flow_mode"": ""signed_volume"", ""max_poc_distance_ticks"": 160, ""max_trades_per_day"": 1, ""min_orderflow_imbalance"": 0.02, ""min_poc_distance_ticks"": 8, ""min_prior_profile_bars"": 50, ""min_toward_move_ticks"": 1, ""poc_buffer_ticks"": 1, ""require_open_same_side"": true, ""setup_mode"": ""two_sided_magnet"", ""start_time"": ""12:00:00"", ""tick_size"": 0.25}"
full,midday_signed_two_sided_magnet,strict,2011-01-03,2026-06-09,3817,2433,1029,1404,160.63,True,"{""allow_long"": true, ""allow_short"": true, ""bar_interval_minutes"": 5, ""end_time"": ""14:00:00"", ""flatten_time"": ""14:00:00"", ""flow_mode"": ""signed_volume"", ""max_poc_distance_ticks"": 160, ""max_trades_per_day"": 1, ""min_orderflow_imbalance"": 0.04, ""min_poc_distance_ticks"": 12, ""min_prior_profile_bars"": 50, ""min_toward_move_ticks"": 1, ""poc_buffer_ticks"": 1, ""require_open_same_side"": true, ""setup_mode"": ""two_sided_magnet"", ""start_time"": ""12:00:00"", ""tick_size"": 0.25}"
full,afternoon_large20_two_sided_magnet,loose,2011-01-03,2026-06-09,3817,2558,1087,1471,168.88,True,"{""allow_long"": true, ""allow_short"": true, ""bar_interval_minutes"": 5, ""end_time"": ""15:30:00"", ""flatten_time"": ""15:30:00"", ""flow_mode"": ""large20"", ""max_poc_distance_ticks"": 160, ""max_trades_per_day"": 1, ""min_orderflow_imbalance"": 0.0, ""min_poc_distance_ticks"": 4, ""min_prior_profile_bars"": 50, ""min_toward_move_ticks"": 1, ""poc_buffer_ticks"": 1, ""require_open_same_side"": true, ""setup_mode"": ""two_sided_magnet"", ""start_time"": ""13:30:00"", ""tick_size"": 0.25}"
full,afternoon_large20_two_sided_magnet,mid,2011-01-03,2026-06-09,3817,2457,1041,1416,162.21,True,"{""allow_long"": true, ""allow_short"": true, ""bar_interval_minutes"": 5, ""end_time"": ""15:30:00"", ""flatten_time"": ""15:30:00"", ""flow_mode"": ""large20"", ""max_poc_distance_ticks"": 160, ""max_trades_per_day"": 1, ""min_orderflow_imbalance"": 0.02, ""min_poc_distance_ticks"": 8, ""min_prior_profile_bars"": 50, ""min_toward_move_ticks"": 1, ""poc_buffer_ticks"": 1, ""require_open_same_side"": true, ""setup_mode"": ""two_sided_magnet"", ""start_time"": ""13:30:00"", ""tick_size"": 0.25}"
full,afternoon_large20_two_sided_magnet,strict,2011-01-03,2026-06-09,3817,2357,999,1358,155.61,True,"{""allow_long"": true, ""allow_short"": true, ""bar_interval_minutes"": 5, ""end_time"": ""15:30:00"", ""flatten_time"": ""15:30:00"", ""flow_mode"": ""large20"", ""max_poc_distance_ticks"": 160, ""max_trades_per_day"": 1, ""min_orderflow_imbalance"": 0.04, ""min_poc_distance_ticks"": 12, ""min_prior_profile_bars"": 50, ""min_toward_move_ticks"": 1, ""poc_buffer_ticks"": 1, ""require_open_same_side"": true, ""setup_mode"": ""two_sided_magnet"", ""start_time"": ""13:30:00"", ""tick_size"": 0.25}"
limited_core_window,morning_above_poc_signed_magnet_short,loose,2011-02-22,2012-09-06,374,180,0,180,121.28,True,"{""allow_long"": false, ""allow_short"": true, ""bar_interval_minutes"": 5, ""end_time"": ""11:30:00"", ""flatten_time"": ""11:30:00"", ""flow_mode"": ""signed_volume"", ""max_poc_distance_ticks"": 160, ""max_trades_per_day"": 1, ""min_orderflow_imbalance"": 0.0, ""min_poc_distance_ticks"": 4, ""min_prior_profile_bars"": 50, ""min_toward_move_ticks"": 1, ""poc_buffer_ticks"": 1, ""require_open_same_side"": true, ""setup_mode"": ""above_poc_magnet_short"", ""start_time"": ""09:35:00"", ""tick_size"": 0.25}"
limited_core_window,morning_above_poc_signed_magnet_short,mid,2011-02-22,2012-09-06,374,171,0,171,115.22,True,"{""allow_long"": false, ""allow_short"": true, ""bar_interval_minutes"": 5, ""end_time"": ""11:30:00"", ""flatten_time"": ""11:30:00"", ""flow_mode"": ""signed_volume"", ""max_poc_distance_ticks"": 160, ""max_trades_per_day"": 1, ""min_orderflow_imbalance"": 0.02, ""min_poc_distance_ticks"": 8, ""min_prior_profile_bars"": 50, ""min_toward_move_ticks"": 1, ""poc_buffer_ticks"": 1, ""require_open_same_side"": true, ""setup_mode"": ""above_poc_magnet_short"", ""start_time"": ""09:35:00"", ""tick_size"": 0.25}"
limited_core_window,morning_above_poc_signed_magnet_short,strict,2011-02-22,2012-09-06,374,165,0,165,111.18,True,"{""allow_long"": false, ""allow_short"": true, ""bar_interval_minutes"": 5, ""end_time"": ""11:30:00"", ""flatten_time"": ""11:30:00"", ""flow_mode"": ""signed_volume"", ""max_poc_distance_ticks"": 160, ""max_trades_per_day"": 1, ""min_orderflow_imbalance"": 0.04, ""min_poc_distance_ticks"": 12, ""min_prior_profile_bars"": 50, ""min_toward_move_ticks"": 1, ""poc_buffer_ticks"": 1, ""require_open_same_side"": true, ""setup_mode"": ""above_poc_magnet_short"", ""start_time"": ""09:35:00"", ""tick_size"": 0.25}"
limited_core_window,morning_below_poc_signed_magnet_long,loose,2011-02-22,2012-09-06,374,168,168,0,113.2,True,"{""allow_long"": true, ""allow_short"": false, ""bar_interval_minutes"": 5, ""end_time"": ""11:30:00"", ""flatten_time"": ""11:30:00"", ""flow_mode"": ""signed_volume"", ""max_poc_distance_ticks"": 160, ""max_trades_per_day"": 1, ""min_orderflow_imbalance"": 0.0, ""min_poc_distance_ticks"": 4, ""min_prior_profile_bars"": 50, ""min_toward_move_ticks"": 1, ""poc_buffer_ticks"": 1, ""require_open_same_side"": true, ""setup_mode"": ""below_poc_magnet_long"", ""start_time"": ""09:35:00"", ""tick_size"": 0.25}"
limited_core_window,morning_below_poc_signed_magnet_long,mid,2011-02-22,2012-09-06,374,161,161,0,108.48,True,"{""allow_long"": true, ""allow_short"": false, ""bar_interval_minutes"": 5, ""end_time"": ""11:30:00"", ""flatten_time"": ""11:30:00"", ""flow_mode"": ""signed_volume"", ""max_poc_distance_ticks"": 160, ""max_trades_per_day"": 1, ""min_orderflow_imbalance"": 0.02, ""min_poc_distance_ticks"": 8, ""min_prior_profile_bars"": 50, ""min_toward_move_ticks"": 1, ""poc_buffer_ticks"": 1, ""require_open_same_side"": true, ""setup_mode"": ""below_poc_magnet_long"", ""start_time"": ""09:35:00"", ""tick_size"": 0.25}"
limited_core_window,morning_below_poc_signed_magnet_long,strict,2011-02-22,2012-09-06,374,151,151,0,101.74,True,"{""allow_long"": true, ""allow_short"": false, ""bar_interval_minutes"": 5, ""end_time"": ""11:30:00"", ""flatten_time"": ""11:30:00"", ""flow_mode"": ""signed_volume"", ""max_poc_distance_ticks"": 160, ""max_trades_per_day"": 1, ""min_orderflow_imbalance"": 0.04, ""min_poc_distance_ticks"": 12, ""min_prior_profile_bars"": 50, ""min_toward_move_ticks"": 1, ""poc_buffer_ticks"": 1, ""require_open_same_side"": true, ""setup_mode"": ""below_poc_magnet_long"", ""start_time"": ""09:35:00"", ""tick_size"": 0.25}"
limited_core_window,late_morning_large10_two_sided_magnet,loose,2011-02-22,2012-09-06,374,323,154,169,217.64,True,"{""allow_long"": true, ""allow_short"": true, ""bar_interval_minutes"": 5, ""end_time"": ""12:30:00"", ""flatten_time"": ""12:30:00"", ""flow_mode"": ""large10"", ""max_poc_distance_ticks"": 160, ""max_trades_per_day"": 1, ""min_orderflow_imbalance"": 0.0, ""min_poc_distance_ticks"": 4, ""min_prior_profile_bars"": 50, ""min_toward_move_ticks"": 1, ""poc_buffer_ticks"": 1, ""require_open_same_side"": true, ""setup_mode"": ""two_sided_magnet"", ""start_time"": ""10:30:00"", ""tick_size"": 0.25}"
limited_core_window,late_morning_large10_two_sided_magnet,mid,2011-02-22,2012-09-06,374,309,150,159,208.2,True,"{""allow_long"": true, ""allow_short"": true, ""bar_interval_minutes"": 5, ""end_time"": ""12:30:00"", ""flatten_time"": ""12:30:00"", ""flow_mode"": ""large10"", ""max_poc_distance_ticks"": 160, ""max_trades_per_day"": 1, ""min_orderflow_imbalance"": 0.02, ""min_poc_distance_ticks"": 8, ""min_prior_profile_bars"": 50, ""min_toward_move_ticks"": 1, ""poc_buffer_ticks"": 1, ""require_open_same_side"": true, ""setup_mode"": ""two_sided_magnet"", ""start_time"": ""10:30:00"", ""tick_size"": 0.25}"
limited_core_window,late_morning_large10_two_sided_magnet,strict,2011-02-22,2012-09-06,374,290,139,151,195.4,True,"{""allow_long"": true, ""allow_short"": true, ""bar_interval_minutes"": 5, ""end_time"": ""12:30:00"", ""flatten_time"": ""12:30:00"", ""flow_mode"": ""large10"", ""max_poc_distance_ticks"": 160, ""max_trades_per_day"": 1, ""min_orderflow_imbalance"": 0.04, ""min_poc_distance_ticks"": 12, ""min_prior_profile_bars"": 50, ""min_toward_move_ticks"": 1, ""poc_buffer_ticks"": 1, ""require_open_same_side"": true, ""setup_mode"": ""two_sided_magnet"", ""start_time"": ""10:30:00"", ""tick_size"": 0.25}"
limited_core_window,midday_signed_two_sided_magnet,loose,2011-02-22,2012-09-06,374,303,141,162,204.16,True,"{""allow_long"": true, ""allow_short"": true, ""bar_interval_minutes"": 5, ""end_time"": ""14:00:00"", ""flatten_time"": ""14:00:00"", ""flow_mode"": ""signed_volume"", ""max_poc_distance_ticks"": 160, ""max_trades_per_day"": 1, ""min_orderflow_imbalance"": 0.0, ""min_poc_distance_ticks"": 4, ""min_prior_profile_bars"": 50, ""min_toward_move_ticks"": 1, ""poc_buffer_ticks"": 1, ""require_open_same_side"": true, ""setup_mode"": ""two_sided_magnet"", ""start_time"": ""12:00:00"", ""tick_size"": 0.25}"
limited_core_window,midday_signed_two_sided_magnet,mid,2011-02-22,2012-09-06,374,288,133,155,194.05,True,"{""allow_long"": true, ""allow_short"": true, ""bar_interval_minutes"": 5, ""end_time"": ""14:00:00"", ""flatten_time"": ""14:00:00"", ""flow_mode"": ""signed_volume"", ""max_poc_distance_ticks"": 160, ""max_trades_per_day"": 1, ""min_orderflow_imbalance"": 0.02, ""min_poc_distance_ticks"": 8, ""min_prior_profile_bars"": 50, ""min_toward_move_ticks"": 1, ""poc_buffer_ticks"": 1, ""require_open_same_side"": true, ""setup_mode"": ""two_sided_magnet"", ""start_time"": ""12:00:00"", ""tick_size"": 0.25}"
limited_core_window,midday_signed_two_sided_magnet,strict,2011-02-22,2012-09-06,374,275,127,148,185.29,True,"{""allow_long"": true, ""allow_short"": true, ""bar_interval_minutes"": 5, ""end_time"": ""14:00:00"", ""flatten_time"": ""14:00:00"", ""flow_mode"": ""signed_volume"", ""max_poc_distance_ticks"": 160, ""max_trades_per_day"": 1, ""min_orderflow_imbalance"": 0.04, ""min_poc_distance_ticks"": 12, ""min_prior_profile_bars"": 50, ""min_toward_move_ticks"": 1, ""poc_buffer_ticks"": 1, ""require_open_same_side"": true, ""setup_mode"": ""two_sided_magnet"", ""start_time"": ""12:00:00"", ""tick_size"": 0.25}"
limited_core_window,afternoon_large20_two_sided_magnet,loose,2011-02-22,2012-09-06,374,300,136,164,202.14,True,"{""allow_long"": true, ""allow_short"": true, ""bar_interval_minutes"": 5, ""end_time"": ""15:30:00"", ""flatten_time"": ""15:30:00"", ""flow_mode"": ""large20"", ""max_poc_distance_ticks"": 160, ""max_trades_per_day"": 1, ""min_orderflow_imbalance"": 0.0, ""min_poc_distance_ticks"": 4, ""min_prior_profile_bars"": 50, ""min_toward_move_ticks"": 1, ""poc_buffer_ticks"": 1, ""require_open_same_side"": true, ""setup_mode"": ""two_sided_magnet"", ""start_time"": ""13:30:00"", ""tick_size"": 0.25}"
limited_core_window,afternoon_large20_two_sided_magnet,mid,2011-02-22,2012-09-06,374,280,126,154,188.66,True,"{""allow_long"": true, ""allow_short"": true, ""bar_interval_minutes"": 5, ""end_time"": ""15:30:00"", ""flatten_time"": ""15:30:00"", ""flow_mode"": ""large20"", ""max_poc_distance_ticks"": 160, ""max_trades_per_day"": 1, ""min_orderflow_imbalance"": 0.02, ""min_poc_distance_ticks"": 8, ""min_prior_profile_bars"": 50, ""min_toward_move_ticks"": 1, ""poc_buffer_ticks"": 1, ""require_open_same_side"": true, ""setup_mode"": ""two_sided_magnet"", ""start_time"": ""13:30:00"", ""tick_size"": 0.25}"
limited_core_window,afternoon_large20_two_sided_magnet,strict,2011-02-22,2012-09-06,374,272,123,149,183.27,True,"{""allow_long"": true, ""allow_short"": true, ""bar_interval_minutes"": 5, ""end_time"": ""15:30:00"", ""flatten_time"": ""15:30:00"", ""flow_mode"": ""large20"", ""max_poc_distance_ticks"": 160, ""max_trades_per_day"": 1, ""min_orderflow_imbalance"": 0.04, ""min_poc_distance_ticks"": 12, ""min_prior_profile_bars"": 50, ""min_toward_move_ticks"": 1, ""poc_buffer_ticks"": 1, ""require_open_same_side"": true, ""setup_mode"": ""two_sided_magnet"", ""start_time"": ""13:30:00"", ""tick_size"": 0.25}"
