campaign_id,variant_id,window,sessions,years,rank_threshold,min_orderflow_imbalance,signals,signal_sessions,signals_per_year,long_signals,short_signals,passes_50_signals_per_year
nq_sector_rotation_orderflow_pullback,cyclical_vwap_reclaim_signed_long_1400,full_history,3813,15.130952,0.55,0.02,1172,1172,77.45712,1172,0,True
nq_sector_rotation_orderflow_pullback,cyclical_vwap_reclaim_signed_long_1400,full_history,3813,15.130952,0.55,0.04,1053,1053,69.592447,1053,0,True
nq_sector_rotation_orderflow_pullback,cyclical_vwap_reclaim_signed_long_1400,full_history,3813,15.130952,0.55,0.06,917,917,60.604249,917,0,True
nq_sector_rotation_orderflow_pullback,cyclical_vwap_reclaim_signed_long_1400,full_history,3813,15.130952,0.6,0.02,1047,1047,69.195909,1047,0,True
nq_sector_rotation_orderflow_pullback,cyclical_vwap_reclaim_signed_long_1400,full_history,3813,15.130952,0.6,0.04,938,938,61.992132,938,0,True
nq_sector_rotation_orderflow_pullback,cyclical_vwap_reclaim_signed_long_1400,full_history,3813,15.130952,0.6,0.06,825,825,54.523997,825,0,True
nq_sector_rotation_orderflow_pullback,cyclical_vwap_reclaim_signed_long_1400,full_history,3813,15.130952,0.65,0.02,940,940,62.124312,940,0,True
nq_sector_rotation_orderflow_pullback,cyclical_vwap_reclaim_signed_long_1400,full_history,3813,15.130952,0.65,0.04,845,845,55.845791,845,0,True
nq_sector_rotation_orderflow_pullback,cyclical_vwap_reclaim_signed_long_1400,full_history,3813,15.130952,0.65,0.06,743,743,49.104642,743,0,False
nq_sector_rotation_orderflow_pullback,cyclical_vwap_reclaim_signed_long_1400,limited_core,371,1.472222,0.55,0.02,117,117,79.471698,117,0,True
nq_sector_rotation_orderflow_pullback,cyclical_vwap_reclaim_signed_long_1400,limited_core,371,1.472222,0.55,0.04,110,110,74.716981,110,0,True
nq_sector_rotation_orderflow_pullback,cyclical_vwap_reclaim_signed_long_1400,limited_core,371,1.472222,0.55,0.06,102,102,69.283019,102,0,True
nq_sector_rotation_orderflow_pullback,cyclical_vwap_reclaim_signed_long_1400,limited_core,371,1.472222,0.6,0.02,103,103,69.962264,103,0,True
nq_sector_rotation_orderflow_pullback,cyclical_vwap_reclaim_signed_long_1400,limited_core,371,1.472222,0.6,0.04,97,97,65.886792,97,0,True
nq_sector_rotation_orderflow_pullback,cyclical_vwap_reclaim_signed_long_1400,limited_core,371,1.472222,0.6,0.06,90,90,61.132075,90,0,True
nq_sector_rotation_orderflow_pullback,cyclical_vwap_reclaim_signed_long_1400,limited_core,371,1.472222,0.65,0.02,98,98,66.566038,98,0,True
nq_sector_rotation_orderflow_pullback,cyclical_vwap_reclaim_signed_long_1400,limited_core,371,1.472222,0.65,0.04,92,92,62.490566,92,0,True
nq_sector_rotation_orderflow_pullback,cyclical_vwap_reclaim_signed_long_1400,limited_core,371,1.472222,0.65,0.06,85,85,57.735849,85,0,True
nq_sector_rotation_orderflow_pullback,defensive_ema_pullback_signed_short_1530,full_history,3813,15.130952,0.55,0.02,913,913,60.33989,0,913,True
nq_sector_rotation_orderflow_pullback,defensive_ema_pullback_signed_short_1530,full_history,3813,15.130952,0.55,0.04,881,881,58.22502,0,881,True
nq_sector_rotation_orderflow_pullback,defensive_ema_pullback_signed_short_1530,full_history,3813,15.130952,0.55,0.06,810,810,53.532651,0,810,True
nq_sector_rotation_orderflow_pullback,defensive_ema_pullback_signed_short_1530,full_history,3813,15.130952,0.6,0.02,805,805,53.202203,0,805,True
nq_sector_rotation_orderflow_pullback,defensive_ema_pullback_signed_short_1530,full_history,3813,15.130952,0.6,0.04,776,776,51.285602,0,776,True
nq_sector_rotation_orderflow_pullback,defensive_ema_pullback_signed_short_1530,full_history,3813,15.130952,0.6,0.06,715,715,47.254131,0,715,False
nq_sector_rotation_orderflow_pullback,defensive_ema_pullback_signed_short_1530,full_history,3813,15.130952,0.65,0.02,712,712,47.055862,0,712,False
nq_sector_rotation_orderflow_pullback,defensive_ema_pullback_signed_short_1530,full_history,3813,15.130952,0.65,0.04,686,686,45.33753,0,686,False
nq_sector_rotation_orderflow_pullback,defensive_ema_pullback_signed_short_1530,full_history,3813,15.130952,0.65,0.06,628,628,41.504327,0,628,False
nq_sector_rotation_orderflow_pullback,defensive_ema_pullback_signed_short_1530,limited_core,371,1.472222,0.55,0.02,97,97,65.886792,0,97,True
nq_sector_rotation_orderflow_pullback,defensive_ema_pullback_signed_short_1530,limited_core,371,1.472222,0.55,0.04,96,96,65.207547,0,96,True
nq_sector_rotation_orderflow_pullback,defensive_ema_pullback_signed_short_1530,limited_core,371,1.472222,0.55,0.06,93,93,63.169811,0,93,True
nq_sector_rotation_orderflow_pullback,defensive_ema_pullback_signed_short_1530,limited_core,371,1.472222,0.6,0.02,89,89,60.45283,0,89,True
nq_sector_rotation_orderflow_pullback,defensive_ema_pullback_signed_short_1530,limited_core,371,1.472222,0.6,0.04,88,88,59.773585,0,88,True
nq_sector_rotation_orderflow_pullback,defensive_ema_pullback_signed_short_1530,limited_core,371,1.472222,0.6,0.06,85,85,57.735849,0,85,True
nq_sector_rotation_orderflow_pullback,defensive_ema_pullback_signed_short_1530,limited_core,371,1.472222,0.65,0.02,80,80,54.339623,0,80,True
nq_sector_rotation_orderflow_pullback,defensive_ema_pullback_signed_short_1530,limited_core,371,1.472222,0.65,0.04,79,79,53.660377,0,79,True
nq_sector_rotation_orderflow_pullback,defensive_ema_pullback_signed_short_1530,limited_core,371,1.472222,0.65,0.06,77,77,52.301887,0,77,True
