source_variant,flow_mode,min_signals,max_signals,median_signals,min_signals_per_year,max_signals_per_year
low_equity_pc_long_1000,large10_imbalance,458,568,489.0,29.660372,36.784043
low_equity_pc_long_1000,large20_imbalance,457,564,486.0,29.595612,36.525
low_equity_pc_long_1000,signed_imbalance,456,572,486.0,29.530851,37.043085
rising_total_pc_short_1200,signed_imbalance,430,460,437.0,27.847074,29.789894
falling_total_pc_long_1130,large10_imbalance,422,499,452.0,27.328989,32.315559
high_total_vs_equity_pc_short_1330,signed_imbalance,416,499,444.0,26.940426,32.315559
high_equity_pc_short_1030,signed_imbalance,410,469,445.0,26.551862,30.372739
falling_total_pc_long_1130,signed_imbalance,399,474,429.0,25.839495,30.696543
rising_total_pc_short_1200,large10_imbalance,399,422,404.0,25.839495,27.328989
falling_total_pc_long_1130,large20_imbalance,398,476,429.0,25.774734,30.826064
high_total_vs_equity_pc_short_1330,large10_imbalance,392,472,421.0,25.38617,30.567021
rising_total_pc_short_1200,large20_imbalance,391,414,396.0,25.32141,26.810904
high_equity_pc_short_1030,large20_imbalance,388,444,416.0,25.127128,28.753723
high_equity_pc_short_1030,large10_imbalance,380,442,410.0,24.609043,28.624202
high_total_vs_equity_pc_short_1330,large20_imbalance,356,420,377.0,23.054787,27.199468
low_equity_pc_long_1000,signed_and_large20,279,351,296.0,18.068218,22.730984
high_equity_pc_short_1030,signed_and_large20,255,295,277.0,16.513963,19.104388
rising_total_pc_short_1200,signed_and_large20,252,268,253.0,16.319681,17.355851
falling_total_pc_long_1130,signed_and_large20,232,277,251.0,15.024468,17.938697
high_total_vs_equity_pc_short_1330,signed_and_large20,221,266,234.0,14.312101,17.22633
