campaign_id,variant_id,entry.params.min_trend_gap_ticks,entry.params.min_orderflow_imbalance,full_signals,full_years,full_signals_per_year,limited_core_start_date,limited_core_end_date,limited_core_signals,limited_core_years,limited_core_signals_per_year,latest_252_session_start,latest_252_session_end,latest_252_signals,density_gate_pass
nq_ema_pullback_orderflow_continuation,late_morning_signed_short_ema_pullback_1200,1,0.0,2272,15.441478,147.13617021276596,2011-02-22,2012-09-07,218,1.544148,141.1781914893617,2025-06-09,2026-06-12,140,True
nq_ema_pullback_orderflow_continuation,late_morning_signed_short_ema_pullback_1200,1,0.02,2178,15.441478,141.04867021276596,2011-02-22,2012-09-07,216,1.544148,139.88297872340425,2025-06-09,2026-06-12,129,True
nq_ema_pullback_orderflow_continuation,late_morning_signed_short_ema_pullback_1200,1,0.04,2007,15.441478,129.9746010638298,2011-02-22,2012-09-07,208,1.544148,134.70212765957447,2025-06-09,2026-06-12,111,True
nq_ema_pullback_orderflow_continuation,late_morning_signed_short_ema_pullback_1200,2,0.0,2174,15.441478,140.78962765957448,2011-02-22,2012-09-07,203,1.544148,131.46409574468086,2025-06-09,2026-06-12,139,True
nq_ema_pullback_orderflow_continuation,late_morning_signed_short_ema_pullback_1200,2,0.02,2082,15.441478,134.8316489361702,2011-02-22,2012-09-07,201,1.544148,130.16888297872342,2025-06-09,2026-06-12,128,True
nq_ema_pullback_orderflow_continuation,late_morning_signed_short_ema_pullback_1200,2,0.04,1908,15.441478,123.56329787234043,2011-02-22,2012-09-07,193,1.544148,124.98803191489361,2025-06-09,2026-06-12,110,True
nq_ema_pullback_orderflow_continuation,late_morning_signed_short_ema_pullback_1200,4,0.0,2013,15.441478,130.363164893617,2011-02-22,2012-09-07,171,1.544148,110.7406914893617,2025-06-09,2026-06-12,138,True
nq_ema_pullback_orderflow_continuation,late_morning_signed_short_ema_pullback_1200,4,0.02,1920,15.441478,124.3404255319149,2011-02-22,2012-09-07,169,1.544148,109.44547872340425,2025-06-09,2026-06-12,127,True
nq_ema_pullback_orderflow_continuation,late_morning_signed_short_ema_pullback_1200,4,0.04,1753,15.441478,113.52539893617022,2011-02-22,2012-09-07,165,1.544148,106.85505319148936,2025-06-09,2026-06-12,109,True
nq_ema_pullback_orderflow_continuation,late_morning_signed_two_sided_ema_pullback_1130,1,0.0,3539,15.441478,229.18789893617023,2011-02-22,2012-09-07,344,1.544148,222.77659574468086,2025-06-09,2026-06-12,237,True
nq_ema_pullback_orderflow_continuation,late_morning_signed_two_sided_ema_pullback_1130,1,0.02,3412,15.441478,220.96329787234043,2011-02-22,2012-09-07,340,1.544148,220.18617021276594,2025-06-09,2026-06-12,222,True
nq_ema_pullback_orderflow_continuation,late_morning_signed_two_sided_ema_pullback_1130,1,0.04,3176,15.441478,205.67978723404255,2011-02-22,2012-09-07,329,1.544148,213.0625,2025-06-09,2026-06-12,195,True
nq_ema_pullback_orderflow_continuation,late_morning_signed_two_sided_ema_pullback_1130,2,0.0,3460,15.441478,224.0718085106383,2011-02-22,2012-09-07,330,1.544148,213.71010638297872,2025-06-09,2026-06-12,236,True
nq_ema_pullback_orderflow_continuation,late_morning_signed_two_sided_ema_pullback_1130,2,0.02,3325,15.441478,215.32912234042553,2011-02-22,2012-09-07,325,1.544148,210.4720744680851,2025-06-09,2026-06-12,221,True
nq_ema_pullback_orderflow_continuation,late_morning_signed_two_sided_ema_pullback_1130,2,0.04,3081,15.441478,199.5275265957447,2011-02-22,2012-09-07,313,1.544148,202.70079787234042,2025-06-09,2026-06-12,193,True
