variant,rank_column,direction_tail,threshold,signals,signals_per_year
high_vrp_open_long_1000,vrp_rank_252,high,0.55,1700,110.112609
high_vrp_open_long_1000,vrp_rank_252,high,0.65,1330,86.146923
high_vrp_open_long_1000,vrp_rank_252,high,0.75,946,61.274428
low_vrp_open_short_1000,vrp_rank_252,low,0.25,969,62.764187
low_vrp_open_short_1000,vrp_rank_252,low,0.35,1356,87.830998
low_vrp_open_short_1000,vrp_rank_252,low,0.45,1699,110.047836
high_vrp_low_realized_midmorning_long_1030,vrp_rank_252+realized_var20_rank_252,high_vrp_low_realized,0.55/0.70,1289,83.491266
high_vrp_low_realized_midmorning_long_1030,vrp_rank_252+realized_var20_rank_252,high_vrp_low_realized,0.55/0.80,1449,93.854806
high_vrp_low_realized_midmorning_long_1030,vrp_rank_252+realized_var20_rank_252,high_vrp_low_realized,0.55/0.90,1576,102.080865
high_vrp_low_realized_midmorning_long_1030,vrp_rank_252+realized_var20_rank_252,high_vrp_low_realized,0.60/0.70,1100,71.249335
high_vrp_low_realized_midmorning_long_1030,vrp_rank_252+realized_var20_rank_252,high_vrp_low_realized,0.60/0.80,1245,80.641293
high_vrp_low_realized_midmorning_long_1030,vrp_rank_252+realized_var20_rank_252,high_vrp_low_realized,0.60/0.90,1367,88.543492
high_vrp_low_realized_midmorning_long_1030,vrp_rank_252+realized_var20_rank_252,high_vrp_low_realized,0.65/0.70,956,61.922149
high_vrp_low_realized_midmorning_long_1030,vrp_rank_252+realized_var20_rank_252,high_vrp_low_realized,0.65/0.80,1090,70.601614
high_vrp_low_realized_midmorning_long_1030,vrp_rank_252+realized_var20_rank_252,high_vrp_low_realized,0.65/0.90,1208,78.244724
high_vrp_ratio_midday_long_1200,vrp_ratio_rank_252,high,0.55,1724,111.667140
high_vrp_ratio_midday_long_1200,vrp_ratio_rank_252,high,0.65,1391,90.098023
high_vrp_ratio_midday_long_1200,vrp_ratio_rank_252,high,0.75,1019,66.002793
vrp_rising_afternoon_long_1330,vrp_change_rank_252,high,0.55,1695,109.788748
vrp_rising_afternoon_long_1330,vrp_change_rank_252,high,0.65,1323,85.693518
vrp_rising_afternoon_long_1330,vrp_change_rank_252,high,0.75,943,61.080112
