variant_id,gate_col,gate_max,gate_type,share_mode,lookback,trend,min_trend,share_rank_min,min_abs_return_ticks,period,signals,signals_per_year
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.35,4,full,427,60.1936510999614
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.35,4,limited_core,45,63.46042471042471
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.35,4,wfa90,373,57.67919136325148
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.35,4,latest1y,79,79.27129120879121
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.45,2,full,406,57.23330760324199
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.45,2,limited_core,48,67.6911196911197
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.45,2,wfa90,353,54.5864733276884
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.45,2,latest1y,76,76.26098901098901
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.45,3,full,395,55.68265148591277
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.45,3,limited_core,47,66.28088803088804
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.45,3,wfa90,343,53.040114309906855
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.45,3,latest1y,75,75.25755494505495
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.45,4,full,377,53.14521420301042
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.45,4,limited_core,45,63.46042471042471
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.45,4,wfa90,326,50.41130397967824
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.45,4,latest1y,73,73.2506868131868
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.55,2,full,363,51.17165187186414
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.55,2,limited_core,46,64.87065637065638
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.55,2,wfa90,312,48.24640135478408
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.55,2,latest1y,68,68.23351648351648
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.55,3,full,355,50.04390196835198
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.55,3,limited_core,45,63.46042471042471
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.55,3,wfa90,305,47.163950042337
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.55,3,latest1y,67,67.23008241758241
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.55,4,full,340,47.92937089926669
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.55,4,limited_core,43,60.63996138996139
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.55,4,wfa90,291,44.999047417442846
low_range10_trade_morning_1030,range10_rank_252,0.85,rank_max,trade,15,30,4,0.55,4,latest1y,65,65.22321428571428
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.35,2,full,459,64.70465071401003
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.35,2,limited_core,51,71.92181467181467
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.35,2,wfa90,403,62.318268416596105
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.35,2,latest1y,81,81.27815934065934
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.35,3,full,447,63.0130258587418
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.35,3,limited_core,50,70.51158301158301
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.35,3,wfa90,393,60.771909398814564
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.35,3,latest1y,79,79.27129120879121
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.35,4,full,426,60.05268236202238
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.35,4,limited_core,47,66.28088803088804
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.35,4,wfa90,373,57.67919136325148
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.35,4,latest1y,77,77.26442307692308
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.45,2,full,405,57.09233886530297
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.45,2,limited_core,50,70.51158301158301
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.45,2,wfa90,353,54.5864733276884
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.45,2,latest1y,74,74.25412087912088
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.45,3,full,395,55.68265148591277
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.45,3,limited_core,49,69.10135135135135
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.45,3,wfa90,344,53.19475021168501
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.45,3,latest1y,73,73.2506868131868
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.45,4,full,376,53.0042454650714
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.45,4,limited_core,47,66.28088803088804
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.45,4,wfa90,326,50.41130397967824
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.45,4,latest1y,71,71.24381868131867
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.55,2,full,365,51.45358934774218
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.55,2,limited_core,48,67.6911196911197
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.55,2,wfa90,315,48.71030906011854
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.55,2,latest1y,66,66.22664835164835
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.55,3,full,358,50.466808182169046
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.55,3,limited_core,47,66.28088803088804
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.55,3,wfa90,309,47.78249364944962
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.55,3,latest1y,65,65.22321428571428
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.55,4,full,342,48.21130837514473
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.55,4,limited_core,45,63.46042471042471
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.55,4,wfa90,294,45.46295512277731
low_absret5_trade_morning_1030,absret5_rank_252,0.85,rank_max,trade,15,30,4,0.55,4,latest1y,63,63.21634615384615
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.35,2,full,445,62.73108838286375
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.35,2,limited_core,52,73.33204633204633
low_downside20_trade_morning_1030,downside20_rank_252,0.85,rank_max,trade,15,30,4,0.35,2,wfa90,388,59.998729889923794
