variant,window,start_date,end_date,entry_combos,calendar_sessions,lookback_days,min_orderflow_imbalance,signals,signals_per_year,density_pass
late_afternoon_1430_large20_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,40,0.01,1497,96.99827035657265,True
late_afternoon_1430_large20_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,40,0.02,1439,93.24015433741351,True
late_afternoon_1430_large20_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,10,0.0,158,102.50355239786856,True
late_afternoon_1430_large20_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,10,0.01,154,99.90852575488455,True
late_afternoon_1430_large20_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,10,0.02,147,95.36722912966252,True
late_afternoon_1430_large20_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,20,0.0,159,103.15230905861456,True
late_afternoon_1430_large20_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,20,0.01,156,101.20603907637656,True
late_afternoon_1430_large20_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,20,0.02,150,97.31349911190053,True
late_afternoon_1430_large20_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,40,0.0,149,96.66474245115452,True
late_afternoon_1430_large20_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,40,0.01,145,94.06971580817051,True
late_afternoon_1430_large20_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,40,0.02,140,90.82593250444049,True
late_afternoon_1430_large20_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,10,0.0,1582,113.90212891780011,True
late_afternoon_1430_large20_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,10,0.01,1512,108.8622117090479,True
late_afternoon_1430_large20_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,10,0.02,1443,103.89429331756357,True
late_afternoon_1430_large20_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,20,0.0,1495,107.6382318154938,True
late_afternoon_1430_large20_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,20,0.01,1430,102.95830869308102,True
late_afternoon_1430_large20_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,20,0.02,1358,97.77439384979303,True
late_afternoon_1430_large20_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,40,0.0,1409,101.44633353045535,True
late_afternoon_1430_large20_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,40,0.01,1348,97.05440567711413,True
late_afternoon_1430_large20_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,40,0.02,1294,93.16646954464814,True
late_afternoon_1430_large20_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,10,0.0,119,118.7561475409836,True
late_afternoon_1430_large20_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,10,0.01,118,117.75819672131148,True
late_afternoon_1430_large20_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,10,0.02,115,114.76434426229508,True
late_afternoon_1430_large20_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,20,0.0,99,98.79713114754098,True
late_afternoon_1430_large20_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,20,0.01,98,97.79918032786885,True
late_afternoon_1430_large20_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,20,0.02,94,93.80737704918033,True
late_afternoon_1430_large20_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.0,94,93.80737704918033,True
late_afternoon_1430_large20_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.01,93,92.8094262295082,True
late_afternoon_1430_large20_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.02,89,88.81762295081967,True
late_morning_1130_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,10,0.0,1781,115.40007982969664,True
late_morning_1130_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,10,0.005,1622,105.09765832889835,True
late_morning_1130_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,10,0.01,1478,95.76716338477914,True
late_morning_1130_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,20,0.0,1714,111.05880787653007,True
late_morning_1130_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,20,0.005,1558,100.95077168706759,True
late_morning_1130_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,20,0.01,1411,91.42589143161256,True
late_morning_1130_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,40,0.0,1537,99.59007450771686,True
