campaign_id,variant_id,window_minutes,start_time,end_time,invariance_rank_threshold,min_return_ticks,max_aligned_flow_imbalance,signals,signal_days,signals_per_year,signal_days_per_year,latest_252_signals,latest_252_signal_days,density_pass
nq_intraday_invariance_dislocation_reversion,opening_15m_two_sided_dislocation_fade_1130,15,10:00:00,11:30:00,0.85,8,0.05,4528,2435,293.28817166164214,157.7201188153928,344,178,True
nq_intraday_invariance_dislocation_reversion,opening_15m_two_sided_dislocation_fade_1130,15,10:00:00,11:30:00,0.85,12,0.05,4527,2435,293.2233995389253,157.7201188153928,344,178,True
nq_intraday_invariance_dislocation_reversion,opening_15m_two_sided_dislocation_fade_1130,15,10:00:00,11:30:00,0.85,16,0.05,4513,2428,292.3165898208902,157.26671395637524,344,178,True
nq_intraday_invariance_dislocation_reversion,opening_15m_two_sided_dislocation_fade_1130,15,10:00:00,11:30:00,0.9,8,0.05,3516,1936,227.73878347224684,125.39882957971271,297,160,True
nq_intraday_invariance_dislocation_reversion,opening_15m_two_sided_dislocation_fade_1130,15,10:00:00,11:30:00,0.9,12,0.05,3516,1936,227.73878347224684,125.39882957971271,297,160,True
nq_intraday_invariance_dislocation_reversion,opening_15m_two_sided_dislocation_fade_1130,15,10:00:00,11:30:00,0.9,16,0.05,3507,1930,227.1558343677957,125.01019684341195,297,160,True
nq_intraday_invariance_dislocation_reversion,opening_15m_two_sided_dislocation_fade_1130,15,10:00:00,11:30:00,0.95,8,0.05,2158,1216,139.77824082284093,78.7629012236212,209,114,True
nq_intraday_invariance_dislocation_reversion,opening_15m_two_sided_dislocation_fade_1130,15,10:00:00,11:30:00,0.95,12,0.05,2158,1216,139.77824082284093,78.7629012236212,209,114,True
nq_intraday_invariance_dislocation_reversion,opening_15m_two_sided_dislocation_fade_1130,15,10:00:00,11:30:00,0.95,16,0.05,2157,1216,139.71346870012414,78.7629012236212,209,114,True
nq_intraday_invariance_dislocation_reversion,lunch_15m_two_sided_dislocation_fade_1330,15,12:00:00,13:30:00,0.85,8,0.05,3923,2151,254.1010374179819,139.32483596382338,320,170,True
nq_intraday_invariance_dislocation_reversion,lunch_15m_two_sided_dislocation_fade_1330,15,12:00:00,13:30:00,0.85,12,0.05,3905,2140,252.9351392090796,138.61234261393864,320,170,True
nq_intraday_invariance_dislocation_reversion,lunch_15m_two_sided_dislocation_fade_1330,15,12:00:00,13:30:00,0.85,16,0.05,3798,2075,246.00452207838268,134.40215463734705,320,170,True
