campaign_id,variant_id,timeframe,setup_mode,trend_filter,oversold_rsi,overbought_rsi,moving_average_period,min_vwap_extension_ticks,earliest_entry_time,latest_entry_time,prepared_rows,full_start_date,full_end_date,full_signals,full_signals_per_year,limited_start_date,limited_end_date,limited_signals,limited_signals_per_year,latest_252_start_date,latest_252_end_date,latest_252_signals,density_gate_pass
nq_connors_rsi2_mean_reversion,fifteen_min_long_uptrend_pullback_1545,15m,long_pullback_uptrend,ma,10,90,50,0,10:00:00,15:15:00,99138,2011-01-03,2026-06-12,1294,83.81512679553111,2011-02-22,2012-09-07,119,77.20204262877442,2025-06-09,2026-06-12,90,True
nq_connors_rsi2_mean_reversion,fifteen_min_long_uptrend_pullback_1545,15m,long_pullback_uptrend,ma,10,90,100,0,10:00:00,15:15:00,99138,2011-01-03,2026-06-12,1466,94.95593190281964,2011-02-22,2012-09-07,139,90.17717584369449,2025-06-09,2026-06-12,103,True
nq_connors_rsi2_mean_reversion,fifteen_min_long_uptrend_pullback_1545,15m,long_pullback_uptrend,ma,10,90,200,0,10:00:00,15:15:00,99138,2011-01-03,2026-06-12,1607,104.08880120588756,2011-02-22,2012-09-07,144,93.42095914742451,2025-06-09,2026-06-12,104,True
nq_connors_rsi2_mean_reversion,fifteen_min_long_uptrend_pullback_1545,15m,long_pullback_uptrend,ma,15,90,50,0,10:00:00,15:15:00,99138,2011-01-03,2026-06-12,1798,116.46027664479517,2011-02-22,2012-09-07,171,110.9373889875666,2025-06-09,2026-06-12,122,True
nq_connors_rsi2_mean_reversion,fifteen_min_long_uptrend_pullback_1545,15m,long_pullback_uptrend,ma,15,90,100,0,10:00:00,15:15:00,99138,2011-01-03,2026-06-12,1885,122.09545132115623,2011-02-22,2012-09-07,183,118.72246891651865,2025-06-09,2026-06-12,131,True
nq_connors_rsi2_mean_reversion,fifteen_min_long_uptrend_pullback_1545,15m,long_pullback_uptrend,ma,15,90,200,0,10:00:00,15:15:00,99138,2011-01-03,2026-06-12,1994,129.15561269728676,2011-02-22,2012-09-07,179,116.12744227353463,2025-06-09,2026-06-12,135,True
nq_connors_rsi2_mean_reversion,fifteen_min_short_downtrend_bounce_1545,15m,short_bounce_downtrend,ma,10,85,50,0,10:00:00,15:15:00,99138,2011-01-03,2026-06-12,1343,86.98896080865401,2011-02-22,2012-09-07,134,86.93339253996447,2025-06-09,2026-06-12,74,True
nq_connors_rsi2_mean_reversion,fifteen_min_short_downtrend_bounce_1545,15m,short_bounce_downtrend,ma,10,85,100,0,10:00:00,15:15:00,99138,2011-01-03,2026-06-12,1359,88.02531477212271,2011-02-22,2012-09-07,135,87.58214920071048,2025-06-09,2026-06-12,76,True
nq_connors_rsi2_mean_reversion,fifteen_min_short_downtrend_bounce_1545,15m,short_bounce_downtrend,ma,10,85,200,0,10:00:00,15:15:00,99138,2011-01-03,2026-06-12,1287,83.36172193651356,2011-02-22,2012-09-07,139,90.17717584369449,2025-06-09,2026-06-12,71,True
nq_connors_rsi2_mean_reversion,fifteen_min_short_downtrend_bounce_1545,15m,short_bounce_downtrend,ma,10,90,50,0,10:00:00,15:15:00,99138,2011-01-03,2026-06-12,973,63.02327540344032,2011-02-22,2012-09-07,101,65.52442273534636,2025-06-09,2026-06-12,51,True
nq_connors_rsi2_mean_reversion,fifteen_min_short_downtrend_bounce_1545,15m,short_bounce_downtrend,ma,10,90,100,0,10:00:00,15:15:00,99138,2011-01-03,2026-06-12,1069,69.24139918425253,2011-02-22,2012-09-07,110,71.36323268206039,2025-06-09,2026-06-12,59,True
nq_connors_rsi2_mean_reversion,fifteen_min_short_downtrend_bounce_1545,15m,short_bounce_downtrend,ma,10,90,200,0,10:00:00,15:15:00,99138,2011-01-03,2026-06-12,1060,68.65845007980138,2011-02-22,2012-09-07,115,74.60701598579041,2025-06-09,2026-06-12,56,True
nq_connors_rsi2_mean_reversion,five_min_long_vwap_extreme_1430,5m,long_pullback_uptrend,ma_and_vwap,5,90,100,0,09:35:00,14:30:00,297414,2011-01-03,2026-06-12,1171,75.84815570136549,2011-02-22,2012-09-07,103,66.82193605683837,2025-06-09,2026-06-12,82,True
nq_connors_rsi2_mean_reversion,five_min_long_vwap_extreme_1430,5m,long_pullback_uptrend,ma_and_vwap,5,90,100,4,09:35:00,14:30:00,297414,2011-01-03,2026-06-12,1119,72.48000532009222,2011-02-22,2012-09-07,92,59.685612788632326,2025-06-09,2026-06-12,82,True
