variant,rank_column,direction_tail,threshold,signals,signals_per_year
rapid_margin_1m_expansion_short_1030,margin_debt_change_1m_rank_120m,high,0.60,1190,97.019531
rapid_margin_1m_expansion_short_1030,margin_debt_change_1m_rank_120m,high,0.70,935,76.229632
rapid_margin_1m_expansion_short_1030,margin_debt_change_1m_rank_120m,high,0.75,812,66.201563
rapid_margin_3m_expansion_short_1130,margin_debt_change_3m_rank_120m,high,0.55,1335,108.841239
rapid_margin_3m_expansion_short_1130,margin_debt_change_3m_rank_120m,high,0.65,996,81.202902
rapid_margin_3m_expansion_short_1130,margin_debt_change_3m_rank_120m,high,0.75,743,60.576060
persistent_margin_12m_expansion_short_1200,margin_debt_change_12m_rank_120m,high,0.55,1229,100.199163
persistent_margin_12m_expansion_short_1200,margin_debt_change_12m_rank_120m,high,0.65,978,79.735379
persistent_margin_12m_expansion_short_1200,margin_debt_change_12m_rank_120m,high,0.72,792,64.570982
debit_credit_ratio_expansion_short_1330,debit_credit_ratio_change_3m_rank_120m,high,0.60,1375,112.102400
debit_credit_ratio_expansion_short_1330,debit_credit_ratio_change_3m_rank_120m,high,0.70,1011,82.425837
debit_credit_ratio_expansion_short_1330,debit_credit_ratio_change_3m_rank_120m,high,0.75,865,70.522600
margin_deleveraging_rebound_long_1430,margin_debt_change_3m_rank_120m,low,0.25,783,63.837221
margin_deleveraging_rebound_long_1430,margin_debt_change_3m_rank_120m,low,0.30,924,75.332813
margin_deleveraging_rebound_long_1430,margin_debt_change_3m_rank_120m,low,0.35,1209,98.568583
