campaign_id,variant_id,window,run_id,start_date,end_date,session_days_with_signal_bar,signal_days,signals,signals_per_year,long_signals,short_signals,entry.params.share_rank_min,entry.params.min_abs_return_ticks,sl.params.stop_pct,tp.params.target_r_multiple
nq_mes_participation_crowding_reversion,afternoon_trade_down_reversal_long_1400,full_available_history,1,2019-05-06,2026-06-12,1760,509,509,71.64248554913294,509,0,0.45,4,0.003,1.0
nq_mes_participation_crowding_reversion,afternoon_trade_down_reversal_long_1400,limited_core_window,1,2021-07-13,2022-03-28,178,61,61,86.02413127413128,61,0,0.45,4,0.003,1.0
nq_mes_participation_crowding_reversion,afternoon_trade_down_reversal_long_1400,full_available_history,2,2019-05-06,2026-06-12,1760,509,509,71.64248554913294,509,0,0.45,4,0.003,1.25
nq_mes_participation_crowding_reversion,afternoon_trade_down_reversal_long_1400,limited_core_window,2,2021-07-13,2022-03-28,178,61,61,86.02413127413128,61,0,0.45,4,0.003,1.25
nq_mes_participation_crowding_reversion,afternoon_trade_down_reversal_long_1400,full_available_history,3,2019-05-06,2026-06-12,1760,509,509,71.64248554913294,509,0,0.45,4,0.004,1.0
nq_mes_participation_crowding_reversion,afternoon_trade_down_reversal_long_1400,limited_core_window,3,2021-07-13,2022-03-28,178,61,61,86.02413127413128,61,0,0.45,4,0.004,1.0
nq_mes_participation_crowding_reversion,afternoon_trade_down_reversal_long_1400,full_available_history,4,2019-05-06,2026-06-12,1760,509,509,71.64248554913294,509,0,0.45,4,0.004,1.25
nq_mes_participation_crowding_reversion,afternoon_trade_down_reversal_long_1400,limited_core_window,4,2021-07-13,2022-03-28,178,61,61,86.02413127413128,61,0,0.45,4,0.004,1.25
nq_mes_participation_crowding_reversion,afternoon_trade_down_reversal_long_1400,full_available_history,5,2019-05-06,2026-06-12,1760,509,509,71.64248554913294,509,0,0.45,4,0.005,1.0
nq_mes_participation_crowding_reversion,afternoon_trade_down_reversal_long_1400,limited_core_window,5,2021-07-13,2022-03-28,178,61,61,86.02413127413128,61,0,0.45,4,0.005,1.0
nq_mes_participation_crowding_reversion,afternoon_trade_down_reversal_long_1400,full_available_history,6,2019-05-06,2026-06-12,1760,509,509,71.64248554913294,509,0,0.45,4,0.005,1.25
nq_mes_participation_crowding_reversion,afternoon_trade_down_reversal_long_1400,limited_core_window,6,2021-07-13,2022-03-28,178,61,61,86.02413127413128,61,0,0.45,4,0.005,1.25
nq_mes_participation_crowding_reversion,afternoon_trade_down_reversal_long_1400,full_available_history,7,2019-05-06,2026-06-12,1760,503,503,70.79797687861272,503,0,0.45,6,0.003,1.0
nq_mes_participation_crowding_reversion,afternoon_trade_down_reversal_long_1400,limited_core_window,7,2021-07-13,2022-03-28,178,60,60,84.61389961389962,60,0,0.45,6,0.003,1.0
nq_mes_participation_crowding_reversion,afternoon_trade_down_reversal_long_1400,full_available_history,8,2019-05-06,2026-06-12,1760,503,503,70.79797687861272,503,0,0.45,6,0.003,1.25
nq_mes_participation_crowding_reversion,afternoon_trade_down_reversal_long_1400,limited_core_window,8,2021-07-13,2022-03-28,178,60,60,84.61389961389962,60,0,0.45,6,0.003,1.25
nq_mes_participation_crowding_reversion,afternoon_trade_down_reversal_long_1400,full_available_history,9,2019-05-06,2026-06-12,1760,503,503,70.79797687861272,503,0,0.45,6,0.004,1.0
nq_mes_participation_crowding_reversion,afternoon_trade_down_reversal_long_1400,limited_core_window,9,2021-07-13,2022-03-28,178,60,60,84.61389961389962,60,0,0.45,6,0.004,1.0
nq_mes_participation_crowding_reversion,afternoon_trade_down_reversal_long_1400,full_available_history,10,2019-05-06,2026-06-12,1760,503,503,70.79797687861272,503,0,0.45,6,0.004,1.25
nq_mes_participation_crowding_reversion,afternoon_trade_down_reversal_long_1400,limited_core_window,10,2021-07-13,2022-03-28,178,60,60,84.61389961389962,60,0,0.45,6,0.004,1.25
nq_mes_participation_crowding_reversion,afternoon_trade_down_reversal_long_1400,full_available_history,11,2019-05-06,2026-06-12,1760,503,503,70.79797687861272,503,0,0.45,6,0.005,1.0
nq_mes_participation_crowding_reversion,afternoon_trade_down_reversal_long_1400,limited_core_window,11,2021-07-13,2022-03-28,178,60,60,84.61389961389962,60,0,0.45,6,0.005,1.0
nq_mes_participation_crowding_reversion,afternoon_trade_down_reversal_long_1400,full_available_history,12,2019-05-06,2026-06-12,1760,503,503,70.79797687861272,503,0,0.45,6,0.005,1.25
