variant_id,rows,passing_rows,min_full_signals_per_year,max_full_signals_per_year,min_limited_signals_per_year,max_limited_signals_per_year,min_latest_252_signals,max_latest_252_signals,variant_density_gate_pass
afternoon_large20_two_sided_magnet,9,0,82.95837765957447,87.62114361702127,138.5877659574468,146.3590425531915,30,32,False
late_morning_large10_two_sided_magnet,9,9,122.46236702127659,127.77273936170214,174.20611702127658,187.80585106382978,57,59,True
midday_signed_two_sided_magnet,9,6,107.63218085106384,115.59773936170212,158.66356382978722,167.08244680851064,45,58,False
morning_above_poc_signed_magnet_short,9,3,83.99454787234043,93.38484042553192,104.9122340425532,111.38829787234043,41,51,False
morning_below_poc_signed_magnet_long,9,3,62.88257978723404,71.30146276595745,94.55053191489361,101.67420212765957,34,52,False
