campaign_id,variant_id,window,breakout_buffer_ticks,min_measured_move_ticks,signals,span_years,signals_per_year,density_pass_50_per_year
nq_chartfanatics_measured_move_pullback,late_morning_5_15_two_sided_measured_continuation,full_available_history,1,16.0,2158,15.439358506350294,139.77264658453282,True
nq_chartfanatics_measured_move_pullback,late_morning_5_15_two_sided_measured_continuation,limited_core_window,1,16.0,181,1.5420279108677466,117.37790134949356,True
nq_chartfanatics_measured_move_pullback,late_morning_5_15_two_sided_measured_continuation,latest_252_sessions,1,16.0,150,1.0082610844931172,148.770990279179,True
nq_chartfanatics_measured_move_pullback,late_morning_5_15_two_sided_measured_continuation,full_available_history,1,32.0,1907,15.439358506350294,123.51549445630403,True
nq_chartfanatics_measured_move_pullback,late_morning_5_15_two_sided_measured_continuation,limited_core_window,1,32.0,123,1.5420279108677466,79.76509318225253,True
nq_chartfanatics_measured_move_pullback,late_morning_5_15_two_sided_measured_continuation,latest_252_sessions,1,32.0,150,1.0082610844931172,148.770990279179,True
nq_chartfanatics_measured_move_pullback,late_morning_5_15_two_sided_measured_continuation,full_available_history,1,64.0,1482,15.439358506350294,95.98844403998037,True
nq_chartfanatics_measured_move_pullback,late_morning_5_15_two_sided_measured_continuation,limited_core_window,1,64.0,45,1.5420279108677466,29.182351164238728,False
nq_chartfanatics_measured_move_pullback,late_morning_5_15_two_sided_measured_continuation,latest_252_sessions,1,64.0,149,1.0082610844931172,147.77918367731777,True
nq_chartfanatics_measured_move_pullback,late_morning_5_15_two_sided_measured_continuation,full_available_history,2,16.0,2133,15.439358506350294,138.15340832474908,True
nq_chartfanatics_measured_move_pullback,late_morning_5_15_two_sided_measured_continuation,limited_core_window,2,16.0,176,1.5420279108677466,114.13541788680037,True
nq_chartfanatics_measured_move_pullback,late_morning_5_15_two_sided_measured_continuation,latest_252_sessions,2,16.0,150,1.0082610844931172,148.770990279179,True
nq_chartfanatics_measured_move_pullback,late_morning_5_15_two_sided_measured_continuation,full_available_history,2,32.0,1884,15.439358506350294,122.02579525730297,True
nq_chartfanatics_measured_move_pullback,late_morning_5_15_two_sided_measured_continuation,limited_core_window,2,32.0,114,1.5420279108677466,73.92862294940478,True
nq_chartfanatics_measured_move_pullback,late_morning_5_15_two_sided_measured_continuation,latest_252_sessions,2,32.0,150,1.0082610844931172,148.770990279179,True
nq_chartfanatics_measured_move_pullback,late_morning_5_15_two_sided_measured_continuation,full_available_history,2,64.0,1470,15.439358506350294,95.21120967528417,True
nq_chartfanatics_measured_move_pullback,late_morning_5_15_two_sided_measured_continuation,limited_core_window,2,64.0,43,1.5420279108677466,27.885357779161453,False
nq_chartfanatics_measured_move_pullback,late_morning_5_15_two_sided_measured_continuation,latest_252_sessions,2,64.0,149,1.0082610844931172,147.77918367731777,True
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,full_available_history,0,16.0,2536,15.439358506350294,164.25552907246302,True
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,limited_core_window,0,16.0,217,1.5420279108677466,140.72378228088454,True
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,latest_252_sessions,0,16.0,186,1.0082610844931172,184.47602794618194,True
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,full_available_history,0,32.0,2105,15.439358506350294,136.33986147379127,True
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,limited_core_window,0,32.0,122,1.5420279108677466,79.11659648971388,True
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,latest_252_sessions,0,32.0,186,1.0082610844931172,184.47602794618194,True
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,full_available_history,0,64.0,1541,15.439358506350294,99.80984633307,True
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,limited_core_window,0,64.0,31,1.5420279108677466,20.103397468697793,False
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,latest_252_sessions,0,64.0,184,1.0082610844931172,182.49241474245954,True
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,full_available_history,1,16.0,2493,15.439358506350294,161.47043926563498,True
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,limited_core_window,1,16.0,204,1.5420279108677466,132.29332527788225,True
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,latest_252_sessions,1,16.0,186,1.0082610844931172,184.47602794618194,True
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,full_available_history,1,32.0,2064,15.439358506350294,133.68431072774592,True
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,limited_core_window,1,32.0,114,1.5420279108677466,73.92862294940478,True
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,latest_252_sessions,1,32.0,186,1.0082610844931172,184.47602794618194,True
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,full_available_history,1,64.0,1520,15.439358506350294,98.44968619485165,True
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,limited_core_window,1,64.0,30,1.5420279108677466,19.454900776159153,False
nq_chartfanatics_measured_move_pullback,midday_5_15_two_sided_measured_continuation,latest_252_sessions,1,64.0,184,1.0082610844931172,182.49241474245954,True
