campaign_id,variant_id,max_overnight_range_rank,min_orderflow_imbalance,orderflow_mode,min_flow_volume,start_time,end_time,flatten_time,full_start_date,full_end_date,full_signals,full_signals_per_year,limited_start_date,limited_end_date,limited_signals,limited_signals_per_year,latest_252_start_date,latest_252_end_date,latest_252_signals,density_gate_pass
nq_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,0.4,0.02,signed,0,11:30:00,13:00:00,14:00:00,2011-01-03,2026-05-29,1076,69.86826666666667,2011-02-22,2012-09-07,114,73.95825932504441,2025-05-23,2026-05-29,68,True
nq_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,0.4,0.04,signed,0,11:30:00,13:00:00,14:00:00,2011-01-03,2026-05-29,1068,69.3488,2011-02-22,2012-09-07,114,73.95825932504441,2025-05-23,2026-05-29,67,True
nq_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,0.5,0.0,signed,0,11:30:00,13:00:00,14:00:00,2011-01-03,2026-05-29,1323,85.9068,2011-02-22,2012-09-07,130,84.33836589698046,2025-05-23,2026-05-29,82,True
nq_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,0.5,0.02,signed,0,11:30:00,13:00:00,14:00:00,2011-01-03,2026-05-29,1316,85.45226666666667,2011-02-22,2012-09-07,130,84.33836589698046,2025-05-23,2026-05-29,81,True
nq_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,0.5,0.04,signed,0,11:30:00,13:00:00,14:00:00,2011-01-03,2026-05-29,1306,84.80293333333334,2011-02-22,2012-09-07,130,84.33836589698046,2025-05-23,2026-05-29,80,True
nq_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,0.6,0.0,signed,0,11:30:00,13:00:00,14:00:00,2011-01-03,2026-05-29,1587,103.0492,2011-02-22,2012-09-07,156,101.20603907637656,2025-05-23,2026-05-29,102,True
nq_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,0.6,0.02,signed,0,11:30:00,13:00:00,14:00:00,2011-01-03,2026-05-29,1579,102.52973333333334,2011-02-22,2012-09-07,156,101.20603907637656,2025-05-23,2026-05-29,101,True
nq_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,0.6,0.04,signed,0,11:30:00,13:00:00,14:00:00,2011-01-03,2026-05-29,1563,101.49080000000001,2011-02-22,2012-09-07,156,101.20603907637656,2025-05-23,2026-05-29,100,True
nq_overnight_range_compression_orderflow_breakout,morning_large10_two_sided_breakout_1100,0.4,0.0,large10,10,09:45:00,11:00:00,12:00:00,2011-01-03,2026-05-29,1059,68.76440000000001,2011-02-22,2012-09-07,110,71.36323268206039,2025-05-23,2026-05-29,66,True
nq_overnight_range_compression_orderflow_breakout,morning_large10_two_sided_breakout_1100,0.4,0.04,large10,10,09:45:00,11:00:00,12:00:00,2011-01-03,2026-05-29,1054,68.43973333333334,2011-02-22,2012-09-07,109,70.71447602131438,2025-05-23,2026-05-29,66,True
