variant_id,setup_mode,direction,threshold_name,threshold,rank_column,window,start_date,end_date,signals,signals_per_year,density_pass
multifamily_starts_weakness_short_1200,multifamily_starts_3m_weakness_short,short,rank_max,0.45,multifamily_starts_change_3m_rank_120m,limited_core_proxy,2011-02-10,2012-04-05,77,66.9625,True
multifamily_starts_weakness_short_1200,multifamily_starts_3m_weakness_short,short,rank_max,0.45,multifamily_starts_change_3m_rank_120m,latest_year_proxy,2025-06-13,2026-06-12,78,78.26785714285714,True
multifamily_starts_weakness_short_1200,multifamily_starts_3m_weakness_short,short,rank_max,0.5,multifamily_starts_change_3m_rank_120m,full,2011-01-03,2026-06-12,1782,115.42392268132647,True
multifamily_starts_weakness_short_1200,multifamily_starts_3m_weakness_short,short,rank_max,0.5,multifamily_starts_change_3m_rank_120m,limited_core_proxy,2011-02-10,2012-04-05,77,66.9625,True
multifamily_starts_weakness_short_1200,multifamily_starts_3m_weakness_short,short,rank_max,0.5,multifamily_starts_change_3m_rank_120m,latest_year_proxy,2025-06-13,2026-06-12,78,78.26785714285714,True
permit_starts_ratio_high_long_1330,permit_starts_ratio_high_long,long,rank_min,0.55,permit_starts_ratio_rank_120m,full,2011-01-03,2026-06-12,2051,132.847623692144,True
permit_starts_ratio_high_long_1330,permit_starts_ratio_high_long,long,rank_min,0.55,permit_starts_ratio_rank_120m,limited_core_proxy,2011-02-10,2012-04-05,138,120.01071428571429,True
permit_starts_ratio_high_long_1330,permit_starts_ratio_high_long,long,rank_min,0.55,permit_starts_ratio_rank_120m,latest_year_proxy,2025-06-13,2026-06-12,79,79.27129120879121,True
permit_starts_ratio_high_long_1330,permit_starts_ratio_high_long,long,rank_min,0.6,permit_starts_ratio_rank_120m,full,2011-01-03,2026-06-12,1921,124.4272477389608,True
permit_starts_ratio_high_long_1330,permit_starts_ratio_high_long,long,rank_min,0.6,permit_starts_ratio_rank_120m,limited_core_proxy,2011-02-10,2012-04-05,138,120.01071428571429,True
permit_starts_ratio_high_long_1330,permit_starts_ratio_high_long,long,rank_min,0.6,permit_starts_ratio_rank_120m,latest_year_proxy,2025-06-13,2026-06-12,79,79.27129120879121,True
permit_starts_ratio_high_long_1330,permit_starts_ratio_high_long,long,rank_min,0.65,permit_starts_ratio_rank_120m,full,2011-01-03,2026-06-12,1713,110.9546462138677,True
permit_starts_ratio_high_long_1330,permit_starts_ratio_high_long,long,rank_min,0.65,permit_starts_ratio_rank_120m,limited_core_proxy,2011-02-10,2012-04-05,105,91.3125,True
permit_starts_ratio_high_long_1330,permit_starts_ratio_high_long,long,rank_min,0.65,permit_starts_ratio_rank_120m,latest_year_proxy,2025-06-13,2026-06-12,79,79.27129120879121,True
