campaign_id,variant_id,setup_mode,accumulation_start_time,accumulation_end_time,signal_start_time,last_entry_time,displacement_reference,min_sweep_ticks,min_displacement_ticks,signals,signals_per_year,limited_core_start,limited_core_end,limited_core_signals,limited_core_signals_per_year,latest_365d_signals,density_gate_pass
nq_chartfanatics_amd_fomc_distribution,fomc_1300_1400_two_sided_midpoint_1530,two_sided_distribution,13:00:00,14:00:00,14:00:00,15:30:00,midpoint,1.0,0.0,74,4.890637293469709,2011-02-22,2012-09-07,6,4.0754716981132075,4,False
nq_chartfanatics_amd_fomc_distribution,fomc_1300_1400_two_sided_midpoint_1530,two_sided_distribution,13:00:00,14:00:00,14:00:00,15:30:00,midpoint,1.0,2.0,69,4.560188827694728,2011-02-22,2012-09-07,5,3.3962264150943393,4,False
nq_chartfanatics_amd_fomc_distribution,fomc_1300_1400_two_sided_midpoint_1530,two_sided_distribution,13:00:00,14:00:00,14:00:00,15:30:00,midpoint,1.0,4.0,67,4.428009441384736,2011-02-22,2012-09-07,4,2.7169811320754715,4,False
nq_chartfanatics_amd_fomc_distribution,fomc_1300_1400_two_sided_midpoint_1530,two_sided_distribution,13:00:00,14:00:00,14:00:00,15:30:00,midpoint,2.0,0.0,72,4.758457907159717,2011-02-22,2012-09-07,4,2.7169811320754715,4,False
nq_chartfanatics_amd_fomc_distribution,fomc_1300_1400_two_sided_midpoint_1530,two_sided_distribution,13:00:00,14:00:00,14:00:00,15:30:00,midpoint,2.0,2.0,68,4.4940991345397325,2011-02-22,2012-09-07,4,2.7169811320754715,4,False
nq_chartfanatics_amd_fomc_distribution,fomc_1300_1400_two_sided_midpoint_1530,two_sided_distribution,13:00:00,14:00:00,14:00:00,15:30:00,midpoint,2.0,4.0,67,4.428009441384736,2011-02-22,2012-09-07,3,2.0377358490566038,4,False
nq_chartfanatics_amd_fomc_distribution,fomc_1300_1400_two_sided_midpoint_1530,two_sided_distribution,13:00:00,14:00:00,14:00:00,15:30:00,midpoint,4.0,0.0,74,4.890637293469709,2011-02-22,2012-09-07,5,3.3962264150943393,4,False
nq_chartfanatics_amd_fomc_distribution,fomc_1300_1400_two_sided_midpoint_1530,two_sided_distribution,13:00:00,14:00:00,14:00:00,15:30:00,midpoint,4.0,2.0,70,4.626278520849724,2011-02-22,2012-09-07,5,3.3962264150943393,4,False
nq_chartfanatics_amd_fomc_distribution,fomc_1300_1400_two_sided_midpoint_1530,two_sided_distribution,13:00:00,14:00:00,14:00:00,15:30:00,midpoint,4.0,4.0,69,4.560188827694728,2011-02-22,2012-09-07,4,2.7169811320754715,4,False
nq_chartfanatics_amd_fomc_distribution,fomc_1330_1400_buyside_bearish_edge_1500,buyside_sweep_bearish_distribution,13:30:00,14:00:00,14:00:00,15:00:00,opposite_edge,1.0,0.0,49,3.238394964594807,2011-02-22,2012-09-07,6,4.0754716981132075,5,False
