campaign_id,variant,entry_combo_index,setup_mode,flow_mode,signal_times,credit_rank_threshold,min_es_move_ticks,min_orderflow_imbalance,full_signals,full_signals_per_year,latest252_signals,full_long_signals,full_short_signals,latest252_long_signals,latest252_short_signals,first_signal_timestamp
nq_default_spread_orderflow_risk_premium,high_spread_large10_long_1230,1,high_spread_long,large10,"10:00:00,10:30:00,11:30:00,12:30:00",0.58,2,0.04,584,37.82691966660755,2,584,0,2,0,2011-01-03 09:55:00-05:00
nq_default_spread_orderflow_risk_premium,high_spread_large10_long_1230,2,high_spread_long,large10,"10:00:00,10:30:00,11:30:00,12:30:00",0.58,2,0.06,529,34.264452917183895,2,529,0,2,0,2011-01-03 09:55:00-05:00
nq_default_spread_orderflow_risk_premium,high_spread_large10_long_1230,3,high_spread_long,large10,"10:00:00,10:30:00,11:30:00,12:30:00",0.58,2,0.08,484,31.349707394928178,1,484,0,1,0,2011-01-03 09:55:00-05:00
nq_default_spread_orderflow_risk_premium,high_spread_large10_long_1230,4,high_spread_long,large10,"10:00:00,10:30:00,11:30:00,12:30:00",0.6,2,0.04,562,36.40193296683809,0,562,0,0,0,2011-01-03 09:55:00-05:00
nq_default_spread_orderflow_risk_premium,high_spread_large10_long_1230,5,high_spread_long,large10,"10:00:00,10:30:00,11:30:00,12:30:00",0.6,2,0.06,510,33.033782585564815,0,510,0,0,0,2011-01-03 09:55:00-05:00
nq_default_spread_orderflow_risk_premium,high_spread_large10_long_1230,6,high_spread_long,large10,"10:00:00,10:30:00,11:30:00,12:30:00",0.6,2,0.08,466,30.18380918602589,0,466,0,0,0,2011-01-03 09:55:00-05:00
nq_default_spread_orderflow_risk_premium,high_spread_large10_long_1230,7,high_spread_long,large10,"10:00:00,10:30:00,11:30:00,12:30:00",0.62,2,0.04,545,35.300806880652594,0,545,0,0,0,2011-01-05 09:55:00-05:00
nq_default_spread_orderflow_risk_premium,high_spread_large10_long_1230,8,high_spread_long,large10,"10:00:00,10:30:00,11:30:00,12:30:00",0.62,2,0.06,496,32.1269728675297,0,496,0,0,0,2011-01-05 09:55:00-05:00
nq_default_spread_orderflow_risk_premium,high_spread_large10_long_1230,9,high_spread_long,large10,"10:00:00,10:30:00,11:30:00,12:30:00",0.62,2,0.08,455,29.47131583614116,0,455,0,0,0,2011-01-05 09:55:00-05:00
nq_default_spread_orderflow_risk_premium,high_spread_signed_long_1230,1,high_spread_long,signed_volume,"10:00:00,10:30:00,11:30:00,12:30:00",0.58,2,0.02,400,25.908849086717503,0,400,0,0,0,2011-01-03 09:55:00-05:00
nq_default_spread_orderflow_risk_premium,high_spread_signed_long_1230,2,high_spread_long,signed_volume,"10:00:00,10:30:00,11:30:00,12:30:00",0.58,2,0.04,157,10.16922326653662,0,157,0,0,0,2011-01-03 09:55:00-05:00
nq_default_spread_orderflow_risk_premium,high_spread_signed_long_1230,3,high_spread_long,signed_volume,"10:00:00,10:30:00,11:30:00,12:30:00",0.58,2,0.06,63,4.080643731158006,0,63,0,0,0,2011-01-03 09:55:00-05:00
nq_default_spread_orderflow_risk_premium,high_spread_signed_long_1230,4,high_spread_long,signed_volume,"10:00:00,10:30:00,11:30:00,12:30:00",0.6,2,0.02,382,24.742950877815215,0,382,0,0,0,2011-01-03 09:55:00-05:00
nq_default_spread_orderflow_risk_premium,high_spread_signed_long_1230,5,high_spread_long,signed_volume,"10:00:00,10:30:00,11:30:00,12:30:00",0.6,2,0.04,152,9.84536265295265,0,152,0,0,0,2011-01-03 09:55:00-05:00
nq_default_spread_orderflow_risk_premium,high_spread_signed_long_1230,6,high_spread_long,signed_volume,"10:00:00,10:30:00,11:30:00,12:30:00",0.6,2,0.06,61,3.951099485724419,0,61,0,0,0,2011-01-03 09:55:00-05:00
nq_default_spread_orderflow_risk_premium,high_spread_signed_long_1230,7,high_spread_long,signed_volume,"10:00:00,10:30:00,11:30:00,12:30:00",0.62,2,0.02,371,24.030457527930484,0,371,0,0,0,2011-01-05 09:55:00-05:00
nq_default_spread_orderflow_risk_premium,high_spread_signed_long_1230,8,high_spread_long,signed_volume,"10:00:00,10:30:00,11:30:00,12:30:00",0.62,2,0.04,144,9.3271856712183,0,144,0,0,0,2011-01-05 11:25:00-05:00
nq_default_spread_orderflow_risk_premium,high_spread_signed_long_1230,9,high_spread_long,signed_volume,"10:00:00,10:30:00,11:30:00,12:30:00",0.62,2,0.06,58,3.7567831175740376,0,58,0,0,0,2011-08-31 09:55:00-04:00
nq_default_spread_orderflow_risk_premium,tightening_spread_signed_long_1130,1,tightening_spread_long,signed_volume,"10:00:00,10:30:00,11:30:00",0.5,2,0.0,1013,65.61416031211208,66,1013,0,66,0,2011-01-03 09:55:00-05:00
nq_default_spread_orderflow_risk_premium,tightening_spread_signed_long_1130,2,tightening_spread_long,signed_volume,"10:00:00,10:30:00,11:30:00",0.5,2,0.02,515,33.35764319914878,25,515,0,25,0,2011-01-03 09:55:00-05:00
nq_default_spread_orderflow_risk_premium,tightening_spread_signed_long_1130,3,tightening_spread_long,signed_volume,"10:00:00,10:30:00,11:30:00",0.5,2,0.04,217,14.055550629544245,6,217,0,6,0,2011-01-03 09:55:00-05:00
