variant_id,entry_combo,full_signals,signals_per_year_full,limited_core_start,limited_core_end,limited_core_signals,signals_per_year_limited_core,latest_252_signals,fails_full_50_per_year,fails_limited_core_50_per_year,fails_latest_252_50
december_window_long_1500,fixed_entry,74,4.792287,2011-02-22,2012-09-07,5,3.238032,5,True,True,True
january_first2_open_long_1000,fixed_entry,31,2.00758,2011-02-22,2012-09-07,2,1.295213,2,True,True,True
santa_momentum_confirmed_midday_long_1200,entry.params.min_session_return_bps=0,48,3.108511,2011-02-22,2012-09-07,6,3.885638,3,True,True,True
santa_momentum_confirmed_midday_long_1200,entry.params.min_session_return_bps=10,37,2.396144,2011-02-22,2012-09-07,6,3.885638,2,True,True,True
santa_momentum_confirmed_midday_long_1200,entry.params.min_session_return_bps=20,32,2.07234,2011-02-22,2012-09-07,5,3.238032,1,True,True,True
santa_window_midday_long_1200,fixed_entry,105,6.799867,2011-02-22,2012-09-07,7,4.533245,7,True,True,True
santa_window_open_long_1000,fixed_entry,105,6.799867,2011-02-22,2012-09-07,7,4.533245,7,True,True,True
