campaign_id,variant_id,signal_time,lookback_sessions,flow_window_bars,min_abs_reversal_return_pct,min_reversal_flow_imbalance,full_start_date,full_end_date,full_signals,full_signals_per_year,limited_start_date,limited_end_date,limited_signals,limited_signals_per_year,latest_252_start_date,latest_252_end_date,latest_252_signals,density_gate_pass
nq_daily_reversal_orderflow_confirmation,afternoon90_1d_flow_confirm_1400,14:00:00,1,18,0.0,0.0,2011-01-03,2026-06-12,1941,125.72269019329669,2011-02-22,2012-09-07,185,120.01998223801066,2025-06-09,2026-06-12,139,True
nq_daily_reversal_orderflow_confirmation,afternoon90_1d_flow_confirm_1400,14:00:00,1,18,0.0,0.005,2011-01-03,2026-06-12,1654,107.13309097357687,2011-02-22,2012-09-07,179,116.12744227353463,2025-06-09,2026-06-12,115,True
nq_daily_reversal_orderflow_confirmation,afternoon90_1d_flow_confirm_1400,14:00:00,1,18,0.0,0.01,2011-01-03,2026-06-12,1385,89.70938996275935,2011-02-22,2012-09-07,166,107.69360568383658,2025-06-09,2026-06-12,90,True
nq_daily_reversal_orderflow_confirmation,afternoon90_1d_flow_confirm_1400,14:00:00,1,18,0.0005,0.0,2011-01-03,2026-06-12,1859,120.41137613051959,2011-02-22,2012-09-07,180,116.77619893428063,2025-06-09,2026-06-12,133,True
nq_daily_reversal_orderflow_confirmation,afternoon90_1d_flow_confirm_1400,14:00:00,1,18,0.0005,0.005,2011-01-03,2026-06-12,1588,102.85813087426848,2011-02-22,2012-09-07,174,112.88365896980461,2025-06-09,2026-06-12,110,True
nq_daily_reversal_orderflow_confirmation,afternoon90_1d_flow_confirm_1400,14:00:00,1,18,0.0005,0.01,2011-01-03,2026-06-12,1328,86.0173789679021,2011-02-22,2012-09-07,162,105.09857904085257,2025-06-09,2026-06-12,85,True
nq_daily_reversal_orderflow_confirmation,afternoon90_1d_flow_confirm_1400,14:00:00,1,18,0.001,0.0,2011-01-03,2026-06-12,1764,114.25802447242418,2011-02-22,2012-09-07,176,114.18117229129662,2025-06-09,2026-06-12,127,True
nq_daily_reversal_orderflow_confirmation,afternoon90_1d_flow_confirm_1400,14:00:00,1,18,0.001,0.005,2011-01-03,2026-06-12,1504,97.4172725660578,2011-02-22,2012-09-07,170,110.2886323268206,2025-06-09,2026-06-12,104,True
nq_daily_reversal_orderflow_confirmation,afternoon90_1d_flow_confirm_1400,14:00:00,1,18,0.001,0.01,2011-01-03,2026-06-12,1258,81.48333037772655,2011-02-22,2012-09-07,158,102.50355239786856,2025-06-09,2026-06-12,80,True
nq_daily_reversal_orderflow_confirmation,first120_3d_flow_confirm_1130,11:30:00,3,24,0.0,0.0,2011-01-03,2026-06-12,1981,128.31357510196844,2011-02-22,2012-09-07,210,136.23889875666075,2025-06-09,2026-06-12,132,True
nq_daily_reversal_orderflow_confirmation,first120_3d_flow_confirm_1130,11:30:00,3,24,0.0,0.005,2011-01-03,2026-06-12,1554,100.65587870189749,2011-02-22,2012-09-07,185,120.01998223801066,2025-06-09,2026-06-12,100,True
nq_daily_reversal_orderflow_confirmation,first120_3d_flow_confirm_1130,11:30:00,3,24,0.0,0.01,2011-01-03,2026-06-12,1098,71.11979074303954,2011-02-22,2012-09-07,165,107.04484902309058,2025-06-09,2026-06-12,59,True
nq_daily_reversal_orderflow_confirmation,first120_3d_flow_confirm_1130,11:30:00,3,24,0.0005,0.0,2011-01-03,2026-06-12,1943,125.85223443873026,2011-02-22,2012-09-07,205,132.99511545293072,2025-06-09,2026-06-12,131,True
nq_daily_reversal_orderflow_confirmation,first120_3d_flow_confirm_1130,11:30:00,3,24,0.0005,0.005,2011-01-03,2026-06-12,1526,98.84225926582727,2011-02-22,2012-09-07,183,118.72246891651865,2025-06-09,2026-06-12,100,True
nq_daily_reversal_orderflow_confirmation,first120_3d_flow_confirm_1130,11:30:00,3,24,0.0005,0.01,2011-01-03,2026-06-12,1081,70.01866465685404,2011-02-22,2012-09-07,163,105.74733570159857,2025-06-09,2026-06-12,59,True
nq_daily_reversal_orderflow_confirmation,first120_3d_flow_confirm_1130,11:30:00,3,24,0.001,0.0,2011-01-03,2026-06-12,1913,123.90907075722646,2011-02-22,2012-09-07,203,131.6976021314387,2025-06-09,2026-06-12,129,True
nq_daily_reversal_orderflow_confirmation,first120_3d_flow_confirm_1130,11:30:00,3,24,0.001,0.005,2011-01-03,2026-06-12,1500,97.15818407519063,2011-02-22,2012-09-07,181,117.42495559502665,2025-06-09,2026-06-12,99,True
nq_daily_reversal_orderflow_confirmation,first120_3d_flow_confirm_1130,11:30:00,3,24,0.001,0.01,2011-01-03,2026-06-12,1065,68.98231069338534,2011-02-22,2012-09-07,162,105.09857904085257,2025-06-09,2026-06-12,58,True
nq_daily_reversal_orderflow_confirmation,first150_5d_flow_confirm_1200,12:00:00,5,30,0.0,0.0,2011-01-03,2026-06-12,1953,126.4999556658982,2011-02-22,2012-09-07,196,127.1563055062167,2025-06-09,2026-06-12,153,True
nq_daily_reversal_orderflow_confirmation,first150_5d_flow_confirm_1200,12:00:00,5,30,0.0,0.005,2011-01-03,2026-06-12,1446,93.66048944848377,2011-02-22,2012-09-07,174,112.88365896980461,2025-06-09,2026-06-12,108,True
nq_daily_reversal_orderflow_confirmation,first150_5d_flow_confirm_1200,12:00:00,5,30,0.0,0.01,2011-01-03,2026-06-12,1019,66.00279304841284,2011-02-22,2012-09-07,151,97.96225577264653,2025-06-09,2026-06-12,60,True
nq_daily_reversal_orderflow_confirmation,first150_5d_flow_confirm_1200,12:00:00,5,30,0.0005,0.0,2011-01-03,2026-06-12,1917,124.16815924809363,2011-02-22,2012-09-07,193,125.21003552397868,2025-06-09,2026-06-12,151,True
nq_daily_reversal_orderflow_confirmation,first150_5d_flow_confirm_1200,12:00:00,5,30,0.0005,0.005,2011-01-03,2026-06-12,1416,91.71732576697995,2011-02-22,2012-09-07,171,110.9373889875666,2025-06-09,2026-06-12,106,True
nq_daily_reversal_orderflow_confirmation,first150_5d_flow_confirm_1200,12:00:00,5,30,0.0005,0.01,2011-01-03,2026-06-12,999,64.70735059407696,2011-02-22,2012-09-07,148,96.01598579040852,2025-06-09,2026-06-12,59,True
nq_daily_reversal_orderflow_confirmation,first150_5d_flow_confirm_1200,12:00:00,5,30,0.001,0.0,2011-01-03,2026-06-12,1883,121.96590707572264,2011-02-22,2012-09-07,193,125.21003552397868,2025-06-09,2026-06-12,149,True
nq_daily_reversal_orderflow_confirmation,first150_5d_flow_confirm_1200,12:00:00,5,30,0.001,0.005,2011-01-03,2026-06-12,1391,90.09802269906011,2011-02-22,2012-09-07,171,110.9373889875666,2025-06-09,2026-06-12,105,True
nq_daily_reversal_orderflow_confirmation,first150_5d_flow_confirm_1200,12:00:00,5,30,0.001,0.01,2011-01-03,2026-06-12,979,63.41190813974109,2011-02-22,2012-09-07,148,96.01598579040852,2025-06-09,2026-06-12,58,True
nq_daily_reversal_orderflow_confirmation,first60_1d_flow_confirm_1030,10:30:00,1,12,0.0,0.0,2011-01-03,2026-06-12,1859,120.41137613051959,2011-02-22,2012-09-07,185,120.01998223801066,2025-06-09,2026-06-12,136,True
nq_daily_reversal_orderflow_confirmation,first60_1d_flow_confirm_1030,10:30:00,1,12,0.0,0.005,2011-01-03,2026-06-12,1543,99.94338535201277,2011-02-22,2012-09-07,167,108.3423623445826,2025-06-09,2026-06-12,111,True
nq_daily_reversal_orderflow_confirmation,first60_1d_flow_confirm_1030,10:30:00,1,12,0.0,0.01,2011-01-03,2026-06-12,1217,78.827673346338,2011-02-22,2012-09-07,149,96.66474245115452,2025-06-09,2026-06-12,78,True
nq_daily_reversal_orderflow_confirmation,first60_1d_flow_confirm_1030,10:30:00,1,12,0.0005,0.0,2011-01-03,2026-06-12,1772,114.77620145415854,2011-02-22,2012-09-07,180,116.77619893428063,2025-06-09,2026-06-12,131,True
nq_daily_reversal_orderflow_confirmation,first60_1d_flow_confirm_1030,10:30:00,1,12,0.0005,0.005,2011-01-03,2026-06-12,1475,95.53888100727079,2011-02-22,2012-09-07,164,106.39609236234458,2025-06-09,2026-06-12,109,True
nq_daily_reversal_orderflow_confirmation,first60_1d_flow_confirm_1030,10:30:00,1,12,0.0005,0.01,2011-01-03,2026-06-12,1157,74.94134598333038,2011-02-22,2012-09-07,146,94.71847246891652,2025-06-09,2026-06-12,76,True
nq_daily_reversal_orderflow_confirmation,first60_1d_flow_confirm_1030,10:30:00,1,12,0.001,0.0,2011-01-03,2026-06-12,1679,108.75239404149671,2011-02-22,2012-09-07,177,114.82992895204262,2025-06-09,2026-06-12,125,True
nq_daily_reversal_orderflow_confirmation,first60_1d_flow_confirm_1030,10:30:00,1,12,0.001,0.005,2011-01-03,2026-06-12,1398,90.55142755807766,2011-02-22,2012-09-07,161,104.44982238010657,2025-06-09,2026-06-12,105,True
nq_daily_reversal_orderflow_confirmation,first60_1d_flow_confirm_1030,10:30:00,1,12,0.001,0.01,2011-01-03,2026-06-12,1097,71.05501862032276,2011-02-22,2012-09-07,143,92.77220248667851,2025-06-09,2026-06-12,72,True
nq_daily_reversal_orderflow_confirmation,first90_2d_flow_confirm_1100,11:00:00,2,18,0.0,0.0,2011-01-03,2026-06-12,1911,123.77952651179287,2011-02-22,2012-09-07,194,125.85879218472469,2025-06-09,2026-06-12,123,True
nq_daily_reversal_orderflow_confirmation,first90_2d_flow_confirm_1100,11:00:00,2,18,0.0,0.005,2011-01-03,2026-06-12,1517,98.25931016137612,2011-02-22,2012-09-07,175,113.53241563055062,2025-06-09,2026-06-12,94,True
nq_daily_reversal_orderflow_confirmation,first90_2d_flow_confirm_1100,11:00:00,2,18,0.0,0.01,2011-01-03,2026-06-12,1159,75.07089022876396,2011-02-22,2012-09-07,156,101.20603907637656,2025-06-09,2026-06-12,65,True
nq_daily_reversal_orderflow_confirmation,first90_2d_flow_confirm_1100,11:00:00,2,18,0.0005,0.0,2011-01-03,2026-06-12,1843,119.37502216705089,2011-02-22,2012-09-07,189,122.61500888099467,2025-06-09,2026-06-12,121,True
nq_daily_reversal_orderflow_confirmation,first90_2d_flow_confirm_1100,11:00:00,2,18,0.0005,0.005,2011-01-03,2026-06-12,1463,94.76161553466926,2011-02-22,2012-09-07,171,110.9373889875666,2025-06-09,2026-06-12,93,True
nq_daily_reversal_orderflow_confirmation,first90_2d_flow_confirm_1100,11:00:00,2,18,0.0005,0.01,2011-01-03,2026-06-12,1115,72.22091682922503,2011-02-22,2012-09-07,152,98.61101243339253,2025-06-09,2026-06-12,64,True
