campaign_id,variant_id,entry_time,flatten_time,share_mode,lookback_minutes,trend_lookback_minutes,share_rank_min,min_abs_return_ticks,min_trend_return_ticks,signals,signals_per_year,status
nq_trend_filtered_mes_participation_crowding,morning_trade_trend_pullback_reversal_1030,10:30:00,12:00:00,trade,15,30,0.4,2,4.0,571,80.400058,PASS
nq_trend_filtered_mes_participation_crowding,morning_trade_trend_pullback_reversal_1030,10:30:00,12:00:00,trade,15,30,0.4,3,4.0,568,79.977641,PASS
nq_trend_filtered_mes_participation_crowding,morning_trade_trend_pullback_reversal_1030,10:30:00,12:00:00,trade,15,30,0.4,4,4.0,562,79.132806,PASS
nq_trend_filtered_mes_participation_crowding,morning_trade_trend_pullback_reversal_1030,10:30:00,12:00:00,trade,15,30,0.5,2,4.0,515,72.514938,PASS
nq_trend_filtered_mes_participation_crowding,morning_trade_trend_pullback_reversal_1030,10:30:00,12:00:00,trade,15,30,0.5,3,4.0,512,72.092521,PASS
nq_trend_filtered_mes_participation_crowding,morning_trade_trend_pullback_reversal_1030,10:30:00,12:00:00,trade,15,30,0.5,4,4.0,507,71.388493,PASS
nq_trend_filtered_mes_participation_crowding,morning_trade_trend_pullback_reversal_1030,10:30:00,12:00:00,trade,15,30,0.6,2,4.0,437,61.532093,PASS
nq_trend_filtered_mes_participation_crowding,morning_trade_trend_pullback_reversal_1030,10:30:00,12:00:00,trade,15,30,0.6,3,4.0,435,61.250482,PASS
nq_trend_filtered_mes_participation_crowding,morning_trade_trend_pullback_reversal_1030,10:30:00,12:00:00,trade,15,30,0.6,4,4.0,430,60.546453,PASS
nq_trend_filtered_mes_participation_crowding,morning_notional_trend_pullback_reversal_1030,10:30:00,12:00:00,notional,15,30,0.4,2,4.0,569,80.118446,PASS
nq_trend_filtered_mes_participation_crowding,morning_notional_trend_pullback_reversal_1030,10:30:00,12:00:00,notional,15,30,0.4,3,4.0,564,79.414418,PASS
nq_trend_filtered_mes_participation_crowding,morning_notional_trend_pullback_reversal_1030,10:30:00,12:00:00,notional,15,30,0.4,4,4.0,559,78.710389,PASS
nq_trend_filtered_mes_participation_crowding,morning_notional_trend_pullback_reversal_1030,10:30:00,12:00:00,notional,15,30,0.5,2,4.0,520,73.218967,PASS
nq_trend_filtered_mes_participation_crowding,morning_notional_trend_pullback_reversal_1030,10:30:00,12:00:00,notional,15,30,0.5,3,4.0,516,72.655744,PASS
nq_trend_filtered_mes_participation_crowding,morning_notional_trend_pullback_reversal_1030,10:30:00,12:00:00,notional,15,30,0.5,4,4.0,511,71.951715,PASS
nq_trend_filtered_mes_participation_crowding,morning_notional_trend_pullback_reversal_1030,10:30:00,12:00:00,notional,15,30,0.6,2,4.0,435,61.250482,PASS
nq_trend_filtered_mes_participation_crowding,morning_notional_trend_pullback_reversal_1030,10:30:00,12:00:00,notional,15,30,0.6,3,4.0,431,60.687259,PASS
nq_trend_filtered_mes_participation_crowding,morning_notional_trend_pullback_reversal_1030,10:30:00,12:00:00,notional,15,30,0.6,4,4.0,426,59.983231,PASS
nq_trend_filtered_mes_participation_crowding,midday_notional_trend_pullback_reversal_1200,12:00:00,14:00:00,notional,60,60,0.4,2,8.0,543,76.457498,PASS
nq_trend_filtered_mes_participation_crowding,midday_notional_trend_pullback_reversal_1200,12:00:00,14:00:00,notional,60,60,0.4,3,8.0,541,76.175887,PASS
nq_trend_filtered_mes_participation_crowding,midday_notional_trend_pullback_reversal_1200,12:00:00,14:00:00,notional,60,60,0.4,4,8.0,539,75.894275,PASS
nq_trend_filtered_mes_participation_crowding,midday_notional_trend_pullback_reversal_1200,12:00:00,14:00:00,notional,60,60,0.5,2,8.0,480,67.586739,PASS
nq_trend_filtered_mes_participation_crowding,midday_notional_trend_pullback_reversal_1200,12:00:00,14:00:00,notional,60,60,0.5,3,8.0,478,67.305127,PASS
nq_trend_filtered_mes_participation_crowding,midday_notional_trend_pullback_reversal_1200,12:00:00,14:00:00,notional,60,60,0.5,4,8.0,476,67.023516,PASS
