variant_id,entry_combinations,all_combos_pass,combos_passing_all_windows,min_full_signals_per_year,min_limited_core_reference_signals_per_year,min_wfa90_signals_per_year,min_latest1y_signals_per_year
full_week_down_move_pivot_fade_long_1000,3,False,0,25.003691275167785,17.392857142857142,23.950819672131146,26.08928571428571
full_week_up_move_pivot_fade_short_1000,3,False,0,16.669127516778524,17.392857142857142,14.424925484351714,27.092719780219777
tue_thu_two_sided_pivot_fade_1030,3,False,0,17.6496644295302,19.877551020408163,16.602272727272727,22.07554945054945
mwf_two_sided_pivot_fade_1030,3,False,0,18.63020134228188,24.846938775510203,18.507451564828614,18.061813186813186
full_week_late_move_pivot_continuation_1430,3,False,2,47.55604026845638,59.63265306122449,46.81296572280179,56.19230769230769
