variant_id,setup_mode,direction,day_offset,signal_time,expected_events,available_signal_bars,available_entry_bars,missing_signal_bars,missing_entry_bars,first_missing_signal_date,first_missing_entry_date,full_events_per_year,latest_252_session_events,latest_252_missing_signal_bars,latest_252_missing_entry_bars,pass_data_quality_gate
expiration_friday_midday_long_1200,expiration_friday_long,long,0,12:00:00,61,61,61,0,0,,,3.951099,4,0,0,True
expiration_friday_open_short_1000,expiration_friday_short,short,0,10:00:00,61,61,61,0,0,,,3.951099,4,0,0,True
monday_after_expiration_reversal_long_1000,monday_after_long,long,3,10:00:00,61,57,57,4,4,2012-12-24,2012-12-24,3.692011,4,0,0,False
monday_prior_roll_week_long_1000,monday_prior_long,long,-4,10:00:00,61,52,52,9,9,2011-03-14,2011-03-14,3.36815,4,0,0,False
thursday_prior_positioning_short_1330,thursday_prior_short,short,-1,13:30:00,61,60,60,1,1,2025-06-19,2025-06-19,3.886327,3,0,0,False
