variant_id,rank_column,direction_mode,rank_min_threshold,rank_max_threshold,window,window_start,window_end,sessions,signals,signals_per_year,density_pass
cqqq_1d_relative_strength_long_1000,cqqq_qqq_relative_return_1d_rank_252,high_long,0.55,0.44999999999999996,full,2011-01-03,2026-06-12,3813,1735,114.66561762391817,True
cqqq_1d_relative_strength_long_1000,cqqq_qqq_relative_return_1d_rank_252,high_long,0.55,0.44999999999999996,limited_core,2011-02-22,2012-09-07,371,162,110.0377358490566,True
cqqq_1d_relative_strength_long_1000,cqqq_qqq_relative_return_1d_rank_252,high_long,0.55,0.44999999999999996,latest_252,2025-06-09,2026-06-12,252,108,108.0,True
cqqq_1d_relative_strength_long_1000,cqqq_qqq_relative_return_1d_rank_252,high_long,0.6,0.4,full,2011-01-03,2026-06-12,3813,1530,101.11723052714397,True
cqqq_1d_relative_strength_long_1000,cqqq_qqq_relative_return_1d_rank_252,high_long,0.6,0.4,limited_core,2011-02-22,2012-09-07,371,141,95.77358490566037,True
cqqq_1d_relative_strength_long_1000,cqqq_qqq_relative_return_1d_rank_252,high_long,0.6,0.4,latest_252,2025-06-09,2026-06-12,252,86,86.0,True
cqqq_1d_relative_strength_long_1000,cqqq_qqq_relative_return_1d_rank_252,high_long,0.65,0.35,full,2011-01-03,2026-06-12,3813,1342,88.69236821400472,True
cqqq_1d_relative_strength_long_1000,cqqq_qqq_relative_return_1d_rank_252,high_long,0.65,0.35,limited_core,2011-02-22,2012-09-07,371,121,82.18867924528301,True
cqqq_1d_relative_strength_long_1000,cqqq_qqq_relative_return_1d_rank_252,high_long,0.65,0.35,latest_252,2025-06-09,2026-06-12,252,79,79.0,True
cqqq_3d_relative_weakness_short_1030,cqqq_qqq_relative_return_3d_rank_252,low_short,0.55,0.44999999999999996,full,2011-01-03,2026-06-12,3813,1717,113.47600314712824,True
cqqq_3d_relative_weakness_short_1030,cqqq_qqq_relative_return_3d_rank_252,low_short,0.55,0.44999999999999996,limited_core,2011-02-22,2012-09-07,371,181,122.94339622641509,True
cqqq_3d_relative_weakness_short_1030,cqqq_qqq_relative_return_3d_rank_252,low_short,0.55,0.44999999999999996,latest_252,2025-06-09,2026-06-12,252,115,115.0,True
cqqq_3d_relative_weakness_short_1030,cqqq_qqq_relative_return_3d_rank_252,low_short,0.6,0.4,full,2011-01-03,2026-06-12,3813,1513,99.99370574350904,True
cqqq_3d_relative_weakness_short_1030,cqqq_qqq_relative_return_3d_rank_252,low_short,0.6,0.4,limited_core,2011-02-22,2012-09-07,371,152,103.24528301886792,True
cqqq_3d_relative_weakness_short_1030,cqqq_qqq_relative_return_3d_rank_252,low_short,0.6,0.4,latest_252,2025-06-09,2026-06-12,252,103,103.0,True
cqqq_3d_relative_weakness_short_1030,cqqq_qqq_relative_return_3d_rank_252,low_short,0.65,0.35,full,2011-01-03,2026-06-12,3813,1334,88.16365066876475,True
cqqq_3d_relative_weakness_short_1030,cqqq_qqq_relative_return_3d_rank_252,low_short,0.65,0.35,limited_core,2011-02-22,2012-09-07,371,136,92.37735849056604,True
cqqq_3d_relative_weakness_short_1030,cqqq_qqq_relative_return_3d_rank_252,low_short,0.65,0.35,latest_252,2025-06-09,2026-06-12,252,84,84.0,True
fxi_1d_relative_strength_long_1130,fxi_qqq_relative_return_1d_rank_252,high_long,0.55,0.44999999999999996,full,2011-01-03,2026-06-12,3813,1716,113.40991345397325,True
fxi_1d_relative_strength_long_1130,fxi_qqq_relative_return_1d_rank_252,high_long,0.55,0.44999999999999996,limited_core,2011-02-22,2012-09-07,371,162,110.0377358490566,True
fxi_1d_relative_strength_long_1130,fxi_qqq_relative_return_1d_rank_252,high_long,0.55,0.44999999999999996,latest_252,2025-06-09,2026-06-12,252,99,99.0,True
fxi_1d_relative_strength_long_1130,fxi_qqq_relative_return_1d_rank_252,high_long,0.6,0.4,full,2011-01-03,2026-06-12,3813,1511,99.86152635719905,True
fxi_1d_relative_strength_long_1130,fxi_qqq_relative_return_1d_rank_252,high_long,0.6,0.4,limited_core,2011-02-22,2012-09-07,371,152,103.24528301886792,True
fxi_1d_relative_strength_long_1130,fxi_qqq_relative_return_1d_rank_252,high_long,0.6,0.4,latest_252,2025-06-09,2026-06-12,252,85,85.0,True
fxi_1d_relative_strength_long_1130,fxi_qqq_relative_return_1d_rank_252,high_long,0.65,0.35,full,2011-01-03,2026-06-12,3813,1336,88.29583005507475,True
fxi_1d_relative_strength_long_1130,fxi_qqq_relative_return_1d_rank_252,high_long,0.65,0.35,limited_core,2011-02-22,2012-09-07,371,131,88.98113207547169,True
fxi_1d_relative_strength_long_1130,fxi_qqq_relative_return_1d_rank_252,high_long,0.65,0.35,latest_252,2025-06-09,2026-06-12,252,73,73.0,True
fxi_3d_relative_weakness_short_1200,fxi_qqq_relative_return_3d_rank_252,low_short,0.55,0.44999999999999996,full,2011-01-03,2026-06-12,3813,1708,112.88119590873328,True
fxi_3d_relative_weakness_short_1200,fxi_qqq_relative_return_3d_rank_252,low_short,0.55,0.44999999999999996,limited_core,2011-02-22,2012-09-07,371,164,111.39622641509433,True
fxi_3d_relative_weakness_short_1200,fxi_qqq_relative_return_3d_rank_252,low_short,0.55,0.44999999999999996,latest_252,2025-06-09,2026-06-12,252,131,131.0,True
fxi_3d_relative_weakness_short_1200,fxi_qqq_relative_return_3d_rank_252,low_short,0.6,0.4,full,2011-01-03,2026-06-12,3813,1534,101.38158929976396,True
fxi_3d_relative_weakness_short_1200,fxi_qqq_relative_return_3d_rank_252,low_short,0.6,0.4,limited_core,2011-02-22,2012-09-07,371,147,99.84905660377358,True
fxi_3d_relative_weakness_short_1200,fxi_qqq_relative_return_3d_rank_252,low_short,0.6,0.4,latest_252,2025-06-09,2026-06-12,252,117,117.0,True
fxi_3d_relative_weakness_short_1200,fxi_qqq_relative_return_3d_rank_252,low_short,0.65,0.35,full,2011-01-03,2026-06-12,3813,1346,88.9567269866247,True
fxi_3d_relative_weakness_short_1200,fxi_qqq_relative_return_3d_rank_252,low_short,0.65,0.35,limited_core,2011-02-22,2012-09-07,371,130,88.30188679245282,True
fxi_3d_relative_weakness_short_1200,fxi_qqq_relative_return_3d_rank_252,low_short,0.65,0.35,latest_252,2025-06-09,2026-06-12,252,103,103.0,True
cqqq_1d_volatility_short_1330,cqqq_abs_return_1d_rank_252,high_short,0.55,0.44999999999999996,full,2011-01-03,2026-06-12,3813,1748,115.52478363493312,True
cqqq_1d_volatility_short_1330,cqqq_abs_return_1d_rank_252,high_short,0.55,0.44999999999999996,limited_core,2011-02-22,2012-09-07,371,180,122.26415094339622,True
cqqq_1d_volatility_short_1330,cqqq_abs_return_1d_rank_252,high_short,0.55,0.44999999999999996,latest_252,2025-06-09,2026-06-12,252,102,102.0,True
cqqq_1d_volatility_short_1330,cqqq_abs_return_1d_rank_252,high_short,0.6,0.4,full,2011-01-03,2026-06-12,3813,1545,102.10857592446892,True
cqqq_1d_volatility_short_1330,cqqq_abs_return_1d_rank_252,high_short,0.6,0.4,limited_core,2011-02-22,2012-09-07,371,157,106.64150943396226,True
cqqq_1d_volatility_short_1330,cqqq_abs_return_1d_rank_252,high_short,0.6,0.4,latest_252,2025-06-09,2026-06-12,252,94,94.0,True
cqqq_1d_volatility_short_1330,cqqq_abs_return_1d_rank_252,high_short,0.65,0.35,full,2011-01-03,2026-06-12,3813,1347,89.0228166797797,True
cqqq_1d_volatility_short_1330,cqqq_abs_return_1d_rank_252,high_short,0.65,0.35,limited_core,2011-02-22,2012-09-07,371,136,92.37735849056604,True
cqqq_1d_volatility_short_1330,cqqq_abs_return_1d_rank_252,high_short,0.65,0.35,latest_252,2025-06-09,2026-06-12,252,83,83.0,True
