campaign_id,source_campaign_id,variant_id,screen_label,pivot_timeframes_minutes,min_aligned_timeframes,pivot_left_bars,pivot_right_bars,min_pivot_move_ticks,carry_pivots_across_sessions,breakout_buffer_ticks,min_orderflow_imbalance,total_signals,long_signals,short_signals,full_signals,full_years,full_signals_per_year,limited_core_signals,limited_core_years,limited_core_signals_per_year,wfa90_signals,wfa90_years,wfa90_signals_per_year,latest1y_signals,latest1y_years,latest1y_signals_per_year,density_pass_all_windows
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or30_signed_flow_breakout_1100,loose,"5,15",1,1,1,0,True,4,0.06,808,493,315,808,15.433264887063656,52.35444385311335,78,1.541409993155373,50.60301953818828,728,13.88911704312115,52.41513897102306,55,0.999315537303217,55.03767123287671,True
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or30_signed_flow_breakout_1100,loose,"5,15",1,1,1,0,True,4,0.1,623,389,234,623,15.433264887063656,40.36734965407131,77,1.541409993155373,49.954262877442275,590,13.88911704312115,42.479302188054405,24,0.999315537303217,24.016438356164382,False
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or15_large10_flow_breakout_1030,loose,"5,15",1,1,1,0,True,0,0.02,1059,634,425,1059,15.433264887063656,68.61801490154338,115,1.541409993155373,74.60701598579041,949,13.88911704312115,68.32687758722649,77,0.999315537303217,77.0527397260274,True
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or15_large10_flow_breakout_1030,loose,"5,15",1,1,1,0,True,0,0.06,1034,619,415,1034,15.433264887063656,66.99813730707822,115,1.541409993155373,74.60701598579041,923,13.88911704312115,66.45490833826139,78,0.999315537303217,78.05342465753425,True
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or15_large10_flow_breakout_1030,loose,"5,15",1,1,1,0,True,0,0.1,988,601,387,988,15.433264887063656,64.01756253326236,108,1.541409993155373,70.06571936056838,880,13.88911704312115,63.358959195742166,75,0.999315537303217,75.0513698630137,True
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or15_large10_flow_breakout_1030,loose,"5,15",1,1,1,0,True,2,0.02,956,577,379,956,15.433264887063656,61.94411921234699,101,1.541409993155373,65.52442273534636,852,13.88911704312115,61.34299231224128,72,0.999315537303217,72.04931506849314,True
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or15_large10_flow_breakout_1030,loose,"5,15",1,1,1,0,True,2,0.06,938,565,373,938,15.433264887063656,60.77780734433209,103,1.541409993155373,66.82193605683837,833,13.88911704312115,59.97501478415139,73,0.999315537303217,73.05,True
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or15_large10_flow_breakout_1030,loose,"5,15",1,1,1,0,True,2,0.1,885,541,344,885,15.433264887063656,57.34366684406599,94,1.541409993155373,60.98312611012433,783,13.88911704312115,56.37507392075695,70,0.999315537303217,70.04794520547945,True
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or15_large10_flow_breakout_1030,loose,"5,15",1,1,1,0,True,4,0.02,885,535,350,885,15.433264887063656,57.34366684406599,90,1.541409993155373,58.388099467140314,784,13.88911704312115,56.447072738024836,68,0.999315537303217,68.04657534246576,True
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or15_large10_flow_breakout_1030,loose,"5,15",1,1,1,0,True,4,0.06,865,521,344,865,15.433264887063656,56.04776476849388,90,1.541409993155373,58.388099467140314,762,13.88911704312115,54.86309875813129,70,0.999315537303217,70.04794520547945,True
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or15_large10_flow_breakout_1030,loose,"5,15",1,1,1,0,True,4,0.1,816,495,321,816,15.433264887063656,52.8728046833422,79,1.541409993155373,51.25177619893428,717,13.88911704312115,51.62315198107628,67,0.999315537303217,67.0458904109589,True
es_pivot_filtered_opening_range_orderflow_breakout,es_opening_range_orderflow_breakout,or30_large20_flow_breakout_1100,loose,"5,15",1,1,1,0,True,0,0.02,1074,664,410,1074,15.433264887063656,69.58994145822246,104,1.541409993155373,67.47069271758437,961,13.88911704312115,69.19086339444115,79,0.999315537303217,79.05410958904109,True
