campaign_id,variant_id,window,start_date,end_date,entry_parameter_combinations,min_signals,max_signals,min_signals_per_year,max_signals_per_year,passed_50_signals_per_year,weakest_entry_params,strongest_entry_params
nq_range_compression_breakout,id_nr4_prior_session_breakout,limited_core,2011-02-22,2012-09-07,9,19,21,12.326376554174066,13.623889875666075,False,"{""max_prior_range_points"": 40, ""min_breakout_ticks"": 0}","{""max_prior_range_points"": 80, ""min_breakout_ticks"": 0}"
nq_range_compression_breakout,id_nr4_prior_session_breakout,full_history,2011-01-03,2026-06-12,9,84,147,5.440858308210675,9.521502039368682,False,"{""max_prior_range_points"": 40, ""min_breakout_ticks"": 0}","{""max_prior_range_points"": 140, ""min_breakout_ticks"": 0}"
nq_range_compression_breakout,nr4_prior_session_breakout,limited_core,2011-02-22,2012-09-07,9,78,86,50.60301953818828,55.793072824156305,True,"{""max_prior_range_points"": 40, ""min_breakout_ticks"": 4}","{""max_prior_range_points"": 80, ""min_breakout_ticks"": 0}"
nq_range_compression_breakout,nr4_prior_session_breakout,full_history,2011-01-03,2026-06-12,9,356,666,23.058875687178578,43.13823372938464,False,"{""max_prior_range_points"": 40, ""min_breakout_ticks"": 4}","{""max_prior_range_points"": 140, ""min_breakout_ticks"": 0}"
nq_range_compression_breakout,nr7_opening_range_15_long_breakout,limited_core,2011-02-22,2012-09-07,9,34,39,22.05772646536412,25.30150976909414,False,"{""max_prior_range_points"": 40, ""min_breakout_ticks"": 4}","{""max_prior_range_points"": 80, ""min_breakout_ticks"": 0}"
nq_range_compression_breakout,nr7_opening_range_15_long_breakout,full_history,2011-01-03,2026-06-12,9,154,295,9.974906898386239,19.107776201454158,False,"{""max_prior_range_points"": 40, ""min_breakout_ticks"": 4}","{""max_prior_range_points"": 140, ""min_breakout_ticks"": 0}"
nq_range_compression_breakout,nr7_opening_range_15_short_breakout,limited_core,2011-02-22,2012-09-07,9,26,36,16.867673179396093,23.355239786856128,False,"{""max_prior_range_points"": 40, ""min_breakout_ticks"": 4}","{""max_prior_range_points"": 80, ""min_breakout_ticks"": 0}"
nq_range_compression_breakout,nr7_opening_range_15_short_breakout,full_history,2011-01-03,2026-06-12,9,129,244,8.355603830466395,15.804397942897676,False,"{""max_prior_range_points"": 40, ""min_breakout_ticks"": 4}","{""max_prior_range_points"": 140, ""min_breakout_ticks"": 0}"
nq_range_compression_breakout,nr7_opening_range_30_breakout,limited_core,2011-02-22,2012-09-07,9,51,56,33.08658969804618,36.330373001776195,False,"{""max_prior_range_points"": 40, ""min_breakout_ticks"": 4}","{""max_prior_range_points"": 80, ""min_breakout_ticks"": 0}"
nq_range_compression_breakout,nr7_opening_range_30_breakout,full_history,2011-01-03,2026-06-12,9,237,433,15.35099308388012,28.046329136371696,False,"{""max_prior_range_points"": 40, ""min_breakout_ticks"": 4}","{""max_prior_range_points"": 140, ""min_breakout_ticks"": 0}"
