variant_id,profile_prefix,mechanic,min_probe_ticks,min_orderflow_imbalance,signal_sessions,signals_per_year,signal_bars,long_bars,short_bars
ovap30_large_value_trap_1500,opening30_vap,value_trap,0,0.0,129,8.360051454932576,147,65,82
ovap30_large_value_trap_1500,opening30_vap,value_trap,0,0.01,126,8.165631653655074,143,63,80
ovap30_large_value_trap_1500,opening30_vap,value_trap,0,0.03,117,7.582372249822569,134,58,76
ovap30_large_value_trap_1500,opening30_vap,value_trap,1,0.0,101,6.5454666430092265,108,48,60
ovap30_large_value_trap_1500,opening30_vap,value_trap,1,0.01,99,6.415853442157559,106,47,59
ovap30_large_value_trap_1500,opening30_vap,value_trap,1,0.03,92,5.962207239176721,99,44,55
ovap60_large_value_trap_1500,opening60_vap,value_trap,0,0.0,97,6.286240241305891,112,51,61
ovap60_large_value_trap_1500,opening60_vap,value_trap,0,0.01,93,6.027013839602555,108,49,59
ovap60_large_value_trap_1500,opening60_vap,value_trap,0,0.03,90,5.832594038325054,103,46,57
ovap60_large_value_trap_1500,opening60_vap,value_trap,1,0.0,74,4.79568843151171,82,38,44
ovap60_large_value_trap_1500,opening60_vap,value_trap,1,0.01,72,4.666075230660042,80,37,43
ovap60_large_value_trap_1500,opening60_vap,value_trap,1,0.03,69,4.471655429382541,76,35,41
ovap30_large_poc_reclaim_1500,opening30_vap,poc_reclaim,0,0.0,126,8.165631653655074,142,76,66
ovap30_large_poc_reclaim_1500,opening30_vap,poc_reclaim,0,0.01,118,7.6471788502484035,133,75,58
ovap30_large_poc_reclaim_1500,opening30_vap,poc_reclaim,0,0.03,112,7.258339247693399,127,72,55
ovap30_large_poc_reclaim_1500,opening30_vap,poc_reclaim,1,0.0,93,6.027013839602555,107,57,50
ovap30_large_poc_reclaim_1500,opening30_vap,poc_reclaim,1,0.01,88,5.702980837473385,102,57,45
ovap30_large_poc_reclaim_1500,opening30_vap,poc_reclaim,1,0.03,83,5.378947835344216,97,54,43
ovap60_large_poc_reclaim_1500,opening60_vap,poc_reclaim,0,0.0,104,6.739886444286729,121,60,61
ovap60_large_poc_reclaim_1500,opening60_vap,poc_reclaim,0,0.01,100,6.480660042583392,116,60,56
ovap60_large_poc_reclaim_1500,opening60_vap,poc_reclaim,0,0.03,99,6.415853442157559,114,59,55
ovap60_large_poc_reclaim_1500,opening60_vap,poc_reclaim,1,0.0,77,4.990108232789212,86,39,47
ovap60_large_poc_reclaim_1500,opening60_vap,poc_reclaim,1,0.01,74,4.79568843151171,83,39,44
ovap60_large_poc_reclaim_1500,opening60_vap,poc_reclaim,1,0.03,73,4.730881831085877,82,39,43
ovap30_large_lvn_trap_1500,opening30_vap,lvn_trap,0,0.0,123,7.971211852377573,134,72,62
ovap30_large_lvn_trap_1500,opening30_vap,lvn_trap,0,0.01,119,7.711985450674237,130,70,60
ovap30_large_lvn_trap_1500,opening30_vap,lvn_trap,0,0.03,110,7.128726046841732,120,63,57
ovap30_large_lvn_trap_1500,opening30_vap,lvn_trap,1,0.0,101,6.5454666430092265,109,61,48
ovap30_large_lvn_trap_1500,opening30_vap,lvn_trap,1,0.01,98,6.3510468417317245,106,59,47
ovap30_large_lvn_trap_1500,opening30_vap,lvn_trap,1,0.03,89,5.767787437899219,97,52,45
ovap60_large_lvn_trap_1500,opening60_vap,lvn_trap,0,0.0,87,5.638174237047552,92,39,53
ovap60_large_lvn_trap_1500,opening60_vap,lvn_trap,0,0.01,84,5.44375443577005,89,38,51
ovap60_large_lvn_trap_1500,opening60_vap,lvn_trap,0,0.03,81,5.249334634492548,85,37,48
ovap60_large_lvn_trap_1500,opening60_vap,lvn_trap,1,0.0,66,4.277235628105039,69,28,41
ovap60_large_lvn_trap_1500,opening60_vap,lvn_trap,1,0.01,63,4.082815826827537,66,27,39
ovap60_large_lvn_trap_1500,opening60_vap,lvn_trap,1,0.03,61,3.9532026259758695,63,26,37
ovap30_large_value_accept_1500,opening30_vap,value_acceptance,0,0.0,2556,165.64567068843152,15395,7501,7894
ovap30_large_value_accept_1500,opening30_vap,value_acceptance,0,0.01,2555,165.58086408800568,15311,7465,7846
ovap30_large_value_accept_1500,opening30_vap,value_acceptance,0,0.03,2545,164.93279808374734,15104,7366,7738
ovap30_large_value_accept_1500,opening30_vap,value_acceptance,1,0.0,2552,165.38644428672816,15197,7397,7800
ovap30_large_value_accept_1500,opening30_vap,value_acceptance,1,0.01,2551,165.32163768630235,15113,7361,7752
ovap30_large_value_accept_1500,opening30_vap,value_acceptance,1,0.03,2541,164.673571682044,14907,7262,7645
ovap60_large_value_accept_1500,opening60_vap,value_acceptance,0,0.0,2370,153.5916430092264,12206,5911,6295
ovap60_large_value_accept_1500,opening60_vap,value_acceptance,0,0.01,2368,153.46202980837472,12150,5888,6262
ovap60_large_value_accept_1500,opening60_vap,value_acceptance,0,0.03,2357,152.74915720369057,12007,5824,6183
ovap60_large_value_accept_1500,opening60_vap,value_acceptance,1,0.0,2363,153.13799680624555,12047,5813,6234
ovap60_large_value_accept_1500,opening60_vap,value_acceptance,1,0.01,2361,153.0083836053939,11991,5790,6201
ovap60_large_value_accept_1500,opening60_vap,value_acceptance,1,0.03,2350,152.29551100070972,11849,5727,6122
