variant_id,entry_combinations,all_combos_pass,combos_passing_all_windows,min_full_signals_per_year,min_limited_core_signals_per_year,min_wfa90_signals_per_year,min_latest1y_signals_per_year
morning_signed_vah_pivot_acceptance_long,9,True,9,66.2971522356281,61.09163701067615,66.43529295719077,67.23008241758241
morning_signed_two_sided_pivot_acceptance_1230,9,True,9,109.97680092264017,112.43460854092525,110.10100611560465,105.36057692307692
late_morning_large10_two_sided_pivot_acceptance,9,True,9,124.88231902058197,120.2335409252669,124.15185440915367,134.46016483516482
midday_signed_two_sided_pivot_acceptance,9,True,9,126.69690383250533,129.98220640569394,128.25902544880648,115.39491758241758
afternoon_large20_two_sided_pivot_acceptance,9,True,9,119.37375798438609,112.43460854092525,120.26085026632472,115.39491758241758
