campaign_id,end_date,entry.params.min_orderflow_imbalance,entry.params.semivar_rank_threshold,run_id,session_days_with_signal_bar,signal_days,signals,signals_per_year,sl.params.stop_pct,start_date,tp.params.target_r_multiple,variant_id,window
es_semivariance_orderflow_confirmation,2012-09-06,0.005,0.45,17,374,96,96,64.68449197860963,0.004,2011-02-22,1.0,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.005,0.45,17,3817,917,917,60.54073880010479,0.004,2011-01-03,1.0,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.005,0.45,18,374,96,96,64.68449197860963,0.004,2011-02-22,1.5,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.005,0.45,18,3817,917,917,60.54073880010479,0.004,2011-01-03,1.5,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.01,0.45,19,374,94,94,63.336898395721924,0.0015,2011-02-22,0.75,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.01,0.45,19,3817,856,856,56.51349227141734,0.0015,2011-01-03,0.75,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.01,0.45,20,374,94,94,63.336898395721924,0.0015,2011-02-22,1.0,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.01,0.45,20,3817,856,856,56.51349227141734,0.0015,2011-01-03,1.0,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.01,0.45,21,374,94,94,63.336898395721924,0.0015,2011-02-22,1.5,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.01,0.45,21,3817,856,856,56.51349227141734,0.0015,2011-01-03,1.5,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.01,0.45,22,374,94,94,63.336898395721924,0.0025,2011-02-22,0.75,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.01,0.45,22,3817,856,856,56.51349227141734,0.0025,2011-01-03,0.75,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.01,0.45,23,374,94,94,63.336898395721924,0.0025,2011-02-22,1.0,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.01,0.45,23,3817,856,856,56.51349227141734,0.0025,2011-01-03,1.0,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.01,0.45,24,374,94,94,63.336898395721924,0.0025,2011-02-22,1.5,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.01,0.45,24,3817,856,856,56.51349227141734,0.0025,2011-01-03,1.5,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.01,0.45,25,374,94,94,63.336898395721924,0.004,2011-02-22,0.75,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.01,0.45,25,3817,856,856,56.51349227141734,0.004,2011-01-03,0.75,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.01,0.45,26,374,94,94,63.336898395721924,0.004,2011-02-22,1.0,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.01,0.45,26,3817,856,856,56.51349227141734,0.004,2011-01-03,1.0,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.01,0.45,27,374,94,94,63.336898395721924,0.004,2011-02-22,1.5,badvol_signed_multitime_short,limited_core_window
es_semivariance_orderflow_confirmation,2026-06-09,0.01,0.45,27,3817,856,856,56.51349227141734,0.004,2011-01-03,1.5,badvol_signed_multitime_short,full_available_history
es_semivariance_orderflow_confirmation,2012-09-06,0.0,0.5,28,374,113,113,76.13903743315508,0.0015,2011-02-22,0.75,badvol_signed_multitime_short,limited_core_window
