variant_id,corner,data_scope,subset_start_date,subset_end_date,setup_mode,start_time,end_time,flow_mode,allow_long,allow_short,lvn_quantile,min_orderflow_imbalance,signals,longs,shorts,signal_sessions,signals_per_year,first_signal_bar,last_signal_bar,density_pass_50_per_year
morning_downside_signed_lvn_reclaim_long,loose,limited_core,2011-02-22,2012-09-06,downside_lvn_reclaim_long,09:35:00,11:30:00,signed_volume,True,False,0.3,0.0,245,245,0,245,159.22820284697508,2011-02-23 10:00:00-05:00,2012-09-04 10:15:00-04:00,True
late_morning_large10_two_sided_lvn_rejection,strict,full,2011-01-03,2026-06-09,two_sided_lvn_rejection,10:30:00,12:30:00,large10,True,True,0.1,0.04,1755,879,876,1755,113.73558374733854,2011-01-05 10:25:00-05:00,2026-06-09 11:10:00-04:00,True
late_morning_large10_two_sided_lvn_rejection,strict,limited_core,2011-02-22,2012-09-06,two_sided_lvn_rejection,10:30:00,12:30:00,large10,True,True,0.1,0.04,170,85,85,170,110.48487544483986,2011-02-23 10:35:00-05:00,2012-09-04 10:25:00-04:00,True
late_morning_large10_two_sided_lvn_rejection,middle,full,2011-01-03,2026-06-09,two_sided_lvn_rejection,10:30:00,12:30:00,large10,True,True,0.2,0.02,2165,1087,1078,2165,140.30628992193044,2011-01-05 10:25:00-05:00,2026-06-09 10:30:00-04:00,True
late_morning_large10_two_sided_lvn_rejection,middle,limited_core,2011-02-22,2012-09-06,two_sided_lvn_rejection,10:30:00,12:30:00,large10,True,True,0.2,0.02,200,97,103,200,129.98220640569394,2011-02-23 10:35:00-05:00,2012-09-04 10:25:00-04:00,True
late_morning_large10_two_sided_lvn_rejection,loose,full,2011-01-03,2026-06-09,two_sided_lvn_rejection,10:30:00,12:30:00,large10,True,True,0.3,0.0,2384,1182,1202,2384,154.49893541518807,2011-01-05 10:25:00-05:00,2026-06-09 10:30:00-04:00,True
late_morning_large10_two_sided_lvn_rejection,loose,limited_core,2011-02-22,2012-09-06,two_sided_lvn_rejection,10:30:00,12:30:00,large10,True,True,0.3,0.0,224,112,112,224,145.58007117437722,2011-02-23 10:35:00-05:00,2012-09-04 10:25:00-04:00,True
midday_signed_two_sided_lvn_rejection,strict,full,2011-01-03,2026-06-09,two_sided_lvn_rejection,12:00:00,14:00:00,signed_volume,True,True,0.1,0.04,1411,705,706,1411,91.44211320085167,2011-01-07 12:30:00-05:00,2026-06-08 12:25:00-04:00,True
midday_signed_two_sided_lvn_rejection,strict,limited_core,2011-02-22,2012-09-06,two_sided_lvn_rejection,12:00:00,14:00:00,signed_volume,True,True,0.1,0.04,128,75,53,128,83.18861209964412,2011-02-24 12:05:00-05:00,2012-09-05 13:40:00-04:00,True
midday_signed_two_sided_lvn_rejection,middle,full,2011-01-03,2026-06-09,two_sided_lvn_rejection,12:00:00,14:00:00,signed_volume,True,True,0.2,0.02,1801,906,895,1801,116.7166873669269,2011-01-05 12:30:00-05:00,2026-06-08 12:00:00-04:00,True
midday_signed_two_sided_lvn_rejection,middle,limited_core,2011-02-22,2012-09-06,two_sided_lvn_rejection,12:00:00,14:00:00,signed_volume,True,True,0.2,0.02,157,87,70,157,102.03603202846975,2011-02-24 12:05:00-05:00,2012-09-05 13:40:00-04:00,True
midday_signed_two_sided_lvn_rejection,loose,full,2011-01-03,2026-06-09,two_sided_lvn_rejection,12:00:00,14:00:00,signed_volume,True,True,0.3,0.0,2013,997,1016,2013,130.4556866572037,2011-01-05 12:30:00-05:00,2026-06-08 11:55:00-04:00,True
midday_signed_two_sided_lvn_rejection,loose,limited_core,2011-02-22,2012-09-06,two_sided_lvn_rejection,12:00:00,14:00:00,signed_volume,True,True,0.3,0.0,182,97,85,182,118.28380782918148,2011-02-24 12:05:00-05:00,2012-09-05 13:40:00-04:00,True
afternoon_large20_two_sided_lvn_rejection,strict,full,2011-01-03,2026-06-09,two_sided_lvn_rejection,13:30:00,15:30:00,large20,True,True,0.1,0.04,1472,765,707,1472,95.39531582682754,2011-01-11 13:55:00-05:00,2026-06-08 13:45:00-04:00,True
afternoon_large20_two_sided_lvn_rejection,strict,limited_core,2011-02-22,2012-09-06,two_sided_lvn_rejection,13:30:00,15:30:00,large20,True,True,0.1,0.04,143,68,75,143,92.93727758007117,2011-02-23 15:20:00-05:00,2012-09-05 13:40:00-04:00,True
afternoon_large20_two_sided_lvn_rejection,middle,full,2011-01-03,2026-06-09,two_sided_lvn_rejection,13:30:00,15:30:00,large20,True,True,0.2,0.02,1802,929,873,1802,116.78149396735273,2011-01-05 13:55:00-05:00,2026-06-08 13:40:00-04:00,True
afternoon_large20_two_sided_lvn_rejection,middle,limited_core,2011-02-22,2012-09-06,two_sided_lvn_rejection,13:30:00,15:30:00,large20,True,True,0.2,0.02,168,77,91,168,109.18505338078292,2011-02-23 15:20:00-05:00,2012-09-05 13:40:00-04:00,True
afternoon_large20_two_sided_lvn_rejection,loose,full,2011-01-03,2026-06-09,two_sided_lvn_rejection,13:30:00,15:30:00,large20,True,True,0.3,0.0,2018,1026,992,2018,130.77971965933287,2011-01-05 13:35:00-05:00,2026-06-08 13:40:00-04:00,True
afternoon_large20_two_sided_lvn_rejection,loose,limited_core,2011-02-22,2012-09-06,two_sided_lvn_rejection,13:30:00,15:30:00,large20,True,True,0.3,0.0,190,86,104,190,123.48309608540924,2011-02-23 15:20:00-05:00,2012-09-05 13:40:00-04:00,True
