variant_id,flow_mode,setup_mode,start_time,end_time,min_trend_gap_ticks,min_orderflow_imbalance,full_signals,full_signals_per_year,full_long_signals,full_short_signals,limited_core_signals,limited_core_signals_per_year,limited_core_long_signals,limited_core_short_signals,full_density_pass_50_per_year,limited_core_density_pass_50_per_year
late_morning_signed_two_sided_ema_pullback_1130,signed_volume,two_sided_pullback,10:30:00,11:30:00,4,0.0,2577,166.98,1358,1219,224,145.32,113,111,True,True
late_morning_signed_two_sided_ema_pullback_1130,signed_volume,two_sided_pullback,10:30:00,11:30:00,4,0.02,2442,158.23,1293,1149,216,140.13,108,108,True,True
late_morning_signed_two_sided_ema_pullback_1130,signed_volume,two_sided_pullback,10:30:00,11:30:00,4,0.04,2223,144.04,1178,1045,208,134.94,102,106,True,True
lunch_signed_two_sided_ema_pullback_1300,signed_volume,two_sided_pullback,11:30:00,13:00:00,1,0.0,3725,241.36,2024,1701,359,232.9,199,160,True,True
lunch_signed_two_sided_ema_pullback_1300,signed_volume,two_sided_pullback,11:30:00,13:00:00,1,0.02,3698,239.61,2021,1677,358,232.25,201,157,True,True
lunch_signed_two_sided_ema_pullback_1300,signed_volume,two_sided_pullback,11:30:00,13:00:00,1,0.04,3603,233.46,1991,1612,354,229.66,197,157,True,True
lunch_signed_two_sided_ema_pullback_1300,signed_volume,two_sided_pullback,11:30:00,13:00:00,2,0.0,3450,223.54,1859,1591,307,199.17,157,150,True,True
lunch_signed_two_sided_ema_pullback_1300,signed_volume,two_sided_pullback,11:30:00,13:00:00,2,0.02,3396,220.04,1838,1558,302,195.92,157,145,True,True
lunch_signed_two_sided_ema_pullback_1300,signed_volume,two_sided_pullback,11:30:00,13:00:00,2,0.04,3291,213.24,1803,1488,298,193.33,154,144,True,True
lunch_signed_two_sided_ema_pullback_1300,signed_volume,two_sided_pullback,11:30:00,13:00:00,4,0.0,2696,174.69,1445,1251,194,125.86,94,100,True,True
lunch_signed_two_sided_ema_pullback_1300,signed_volume,two_sided_pullback,11:30:00,13:00:00,4,0.02,2612,169.24,1407,1205,189,122.62,93,96,True,True
lunch_signed_two_sided_ema_pullback_1300,signed_volume,two_sided_pullback,11:30:00,13:00:00,4,0.04,2472,160.17,1348,1124,185,120.02,91,94,True,True
