variant_id,entry_combo_count,full_min_tpy,limited_core_min_tpy,wfa90_min_tpy,latest1y_min_tpy,pass
broad_up_vwap_accept_long_1030,9,13.93,31.85,15.03,3.01,False
broad_down_vwap_accept_short_1130,9,9.53,27.95,10.38,0.0,False
cyclical_up_vwap_accept_long_1130,9,14.78,31.85,15.75,5.02,False
riskoff_cycdown_vwap_accept_short_1230,9,8.3,26.0,9.02,0.0,False
broad_two_sided_large10_vwap_accept_1130,9,50.74,72.79,51.04,47.16,False
