campaign_id,variant_id,window,start_date,end_date,entry_combinations,worst_signals,worst_signals_per_year,median_signals_per_year,best_signals,best_signals_per_year,density_gate_pass,worst_params,best_params
es_overnight_range_compression_orderflow_breakout,afternoon_large20_two_sided_breakout_1500,full_configured_period,2011-01-03,2026-05-29,9,545,35.38237646640597,54.07985247067188,1101,71.4788926413082,False,"rank=0.2, buffer=2","rank=0.4, buffer=0"
es_overnight_range_compression_orderflow_breakout,afternoon_large20_two_sided_breakout_1500,limited_core_random_10pct,2011-02-22,2012-09-05,9,47,30.545818505338076,50.04314946619217,98,63.69128113879003,False,"rank=0.2, buffer=2","rank=0.4, buffer=0"
es_overnight_range_compression_orderflow_breakout,late_morning_large10_two_sided_breakout_1130,full_configured_period,2011-01-03,2026-05-29,9,501,32.5258176324209,50.249466761464625,1029,66.80452364024174,False,"rank=0.2, buffer=2","rank=0.4, buffer=0"
es_overnight_range_compression_orderflow_breakout,late_morning_large10_two_sided_breakout_1130,limited_core_random_10pct,2011-02-22,2012-09-05,9,47,30.545818505338076,47.44350533807829,104,67.59074733096085,False,"rank=0.2, buffer=1","rank=0.4, buffer=0"
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,full_configured_period,2011-01-03,2026-05-29,9,499,32.39597404905795,49.85993601137576,1011,65.63593138997511,False,"rank=0.2, buffer=2","rank=0.4, buffer=0"
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,limited_core_random_10pct,2011-02-22,2012-09-05,9,42,27.29626334519573,44.84386120996441,93,60.44172597864768,False,"rank=0.2, buffer=2","rank=0.4, buffer=0"
es_overnight_range_compression_orderflow_breakout,morning_signed_high_breakout_long_1030,full_configured_period,2011-01-03,2026-05-29,9,224,14.542481336651262,22.398018130110202,467,30.318476715250622,False,"rank=0.2, buffer=2","rank=0.4, buffer=0"
es_overnight_range_compression_orderflow_breakout,morning_signed_high_breakout_long_1030,limited_core_random_10pct,2011-02-22,2012-09-05,9,19,12.348309608540925,18.197508896797153,39,25.34653024911032,False,"rank=0.2, buffer=2","rank=0.4, buffer=0"
es_overnight_range_compression_orderflow_breakout,morning_signed_low_breakout_short_1030,full_configured_period,2011-01-03,2026-05-29,9,211,13.698498044792037,21.554034838250978,439,28.500666548169214,False,"rank=0.2, buffer=2","rank=0.4, buffer=0"
es_overnight_range_compression_orderflow_breakout,morning_signed_low_breakout_short_1030,limited_core_random_10pct,2011-02-22,2012-09-05,9,20,12.998220640569395,24.04670818505338,53,34.445284697508896,False,"rank=0.2, buffer=2","rank=0.4, buffer=0"
