side,release_rows,window_count,window_running,pivots_count,pivots_running,range_count,range_running,no_lvn_count,no_lvn_running,sweep_count,sweep_running,delta_count,delta_running,near_vap_count,near_vap_running,final_signal_count
short,274,105,105,231,62,256,62,52,25,46,0,274,0,50,0,0
long,273,112,112,224,63,255,63,39,18,26,6,273,6,44,0,0
