campaign_id,variant_id,window,start_date,end_date,session_days,entry.params.invariance_rank_threshold,entry.params.min_return_ticks,entry.params.max_aligned_flow_imbalance,raw_signals,day_capped_signals,signals_per_year
es_intraday_invariance_dislocation_reversion,morning_15m_two_sided_dislocation_fade_1130,full_configured_subset,2011-01-03,2026-06-09,3817,0.9,4,0.05,12959,2917,192.58160859313597
es_intraday_invariance_dislocation_reversion,morning_15m_two_sided_dislocation_fade_1130,limited_core_subset,2011-02-22,2012-09-06,374,0.9,4,0.05,403,96,64.68449197860963
es_intraday_invariance_dislocation_reversion,morning_15m_two_sided_dislocation_fade_1130,full_configured_subset,2011-01-03,2026-06-09,3817,0.9,6,0.05,12878,2912,192.25150641865338
es_intraday_invariance_dislocation_reversion,morning_15m_two_sided_dislocation_fade_1130,limited_core_subset,2011-02-22,2012-09-06,374,0.9,6,0.05,369,95,64.01069518716578
es_intraday_invariance_dislocation_reversion,morning_15m_two_sided_dislocation_fade_1130,full_configured_subset,2011-01-03,2026-06-09,3817,0.9,8,0.05,12765,2897,191.26119989520566
es_intraday_invariance_dislocation_reversion,morning_15m_two_sided_dislocation_fade_1130,limited_core_subset,2011-02-22,2012-09-06,374,0.9,8,0.05,319,93,62.663101604278076
es_intraday_invariance_dislocation_reversion,morning_15m_two_sided_dislocation_fade_1130,full_configured_subset,2011-01-03,2026-06-09,3817,0.95,4,0.05,6387,1708,112.76290280324862
es_intraday_invariance_dislocation_reversion,morning_15m_two_sided_dislocation_fade_1130,limited_core_subset,2011-02-22,2012-09-06,374,0.95,4,0.05,284,50,33.68983957219251
es_intraday_invariance_dislocation_reversion,morning_15m_two_sided_dislocation_fade_1130,full_configured_subset,2011-01-03,2026-06-09,3817,0.95,6,0.05,6344,1707,112.6968823683521
es_intraday_invariance_dislocation_reversion,morning_15m_two_sided_dislocation_fade_1130,limited_core_subset,2011-02-22,2012-09-06,374,0.95,6,0.05,259,50,33.68983957219251
es_intraday_invariance_dislocation_reversion,morning_15m_two_sided_dislocation_fade_1130,full_configured_subset,2011-01-03,2026-06-09,3817,0.95,8,0.05,6277,1700,112.2347393240765
es_intraday_invariance_dislocation_reversion,morning_15m_two_sided_dislocation_fade_1130,limited_core_subset,2011-02-22,2012-09-06,374,0.95,8,0.05,217,50,33.68983957219251
es_intraday_invariance_dislocation_reversion,morning_15m_two_sided_dislocation_fade_1130,full_configured_subset,2011-01-03,2026-06-09,3817,0.975,4,0.05,3484,1032,68.13308881320408
es_intraday_invariance_dislocation_reversion,morning_15m_two_sided_dislocation_fade_1130,limited_core_subset,2011-02-22,2012-09-06,374,0.975,4,0.05,215,31,20.887700534759357
