variant_id,entry_grid_row,driver_column,tail,emv_rank_threshold,full_signals,full_signals_per_year,limited_signals,limited_signals_per_year,latest_252_signals,pass_density
high_21d_emv_riskoff_short_1000,1,infect_emv_21d_rank_252,high,0.4,1488,98.34146341463415,54,76.44943820224718,50,True
high_21d_emv_riskoff_short_1000,2,infect_emv_21d_rank_252,high,0.45,1651,109.1140833988985,58,82.11235955056179,69,True
high_21d_emv_riskoff_short_1000,3,infect_emv_21d_rank_252,high,0.5,1820,120.28324154209284,60,84.94382022471909,87,True
high_21d_emv_rebound_long_1330,1,infect_emv_21d_rank_252,high,0.4,1488,98.34146341463415,54,76.44943820224718,50,True
high_21d_emv_rebound_long_1330,2,infect_emv_21d_rank_252,high,0.45,1651,109.1140833988985,58,82.11235955056179,69,True
high_21d_emv_rebound_long_1330,3,infect_emv_21d_rank_252,high,0.5,1820,120.28324154209284,60,84.94382022471909,87,True
rising_5d_emv_short_1030,1,infect_emv_5d_change_rank_252,high,0.25,1025,67.74193548387096,46,65.12359550561797,66,True
rising_5d_emv_short_1030,2,infect_emv_5d_change_rank_252,high,0.3,1202,79.43981117230527,52,73.61797752808988,78,True
rising_5d_emv_short_1030,3,infect_emv_5d_change_rank_252,high,0.35,1403,92.72383949645948,65,92.02247191011236,91,True
high_7d_emv_short_1130,1,infect_emv_7d_rank_252,high,0.35,1347,89.0228166797797,51,72.20224719101122,56,True
high_7d_emv_short_1130,2,infect_emv_7d_rank_252,high,0.4,1500,99.13453973249409,58,82.11235955056179,69,True
high_7d_emv_short_1130,3,infect_emv_7d_rank_252,high,0.45,1658,109.57671125098348,64,90.6067415730337,78,True
high_1d_emv_rebound_long_1200,1,infect_emv_1d_rank_252,high,0.3,985,65.09834775767112,36,50.966292134831455,53,True
high_1d_emv_rebound_long_1200,2,infect_emv_1d_rank_252,high,0.35,1195,78.97718332022029,44,62.29213483146067,60,True
high_1d_emv_rebound_long_1200,3,infect_emv_1d_rank_252,high,0.4,1336,88.29583005507475,51,72.20224719101122,66,True
