variant_id,rows,pass_rows,min_signals_per_year,max_signals_per_year,variant_pass
core_capgoods_3m_strength_long_1130,9,9,85.43442986345096,225.77266483516482,True
durables_1m_weakness_short_1200,9,9,69.57142857142857,123.4223901098901,True
ex_transport_3m_strength_long_1330,9,9,69.82434828870367,125.42925824175823,True
total_orders_3m_strength_long_1000,9,9,79.8640273098067,153.92678571428573,True
total_orders_3m_weakness_short_1030,9,8,33.04642857142857,117.95003546728142,False
