variant,setup_mode,entry.params.stage_strength_threshold,entry.params.min_breakout_ticks,full_signals,full_signals_per_year,limited_signals,limited_signals_per_year,latest_252_signals,verdict
stage2_compression_breakout_1200,stage2_compression_breakout,4,0,455,29.466090425531917,20,13.428308823529411,32,PASS
stage2_compression_breakout_1200,stage2_compression_breakout,4,2,447,28.948005319148937,20,13.428308823529411,32,PASS
stage2_compression_breakout_1200,stage2_compression_breakout,4,4,440,28.49468085106383,19,12.75689338235294,32,PASS
stage2_compression_breakout_1200,stage2_compression_breakout,5,0,450,29.142287234042552,20,13.428308823529411,32,PASS
stage2_compression_breakout_1200,stage2_compression_breakout,5,2,442,28.624202127659576,20,13.428308823529411,32,PASS
stage2_compression_breakout_1200,stage2_compression_breakout,5,4,435,28.17087765957447,19,12.75689338235294,32,PASS
stage2_compression_breakout_1200,stage2_compression_breakout,6,0,435,28.17087765957447,20,13.428308823529411,32,PASS
stage2_compression_breakout_1200,stage2_compression_breakout,6,2,427,27.65279255319149,20,13.428308823529411,32,PASS
stage2_compression_breakout_1200,stage2_compression_breakout,6,4,420,27.199468085106382,19,12.75689338235294,32,PASS
stage2_opening_or_breakout_1030,stage2_opening_range_breakout,4,0,1429,92.54295212765958,80,53.713235294117645,114,PASS
stage2_opening_or_breakout_1030,stage2_opening_range_breakout,4,2,1380,89.36968085106383,75,50.3561580882353,113,PASS
stage2_opening_or_breakout_1030,stage2_opening_range_breakout,4,4,1336,86.52021276595745,67,44.98483455882353,112,PASS
stage2_opening_or_breakout_1030,stage2_opening_range_breakout,5,0,1381,89.4344414893617,70,46.99908088235294,110,PASS
stage2_opening_or_breakout_1030,stage2_opening_range_breakout,5,2,1333,86.32593085106383,66,44.31341911764706,109,PASS
stage2_opening_or_breakout_1030,stage2_opening_range_breakout,5,4,1289,83.47646276595745,58,38.9420955882353,108,PASS
stage2_opening_or_breakout_1030,stage2_opening_range_breakout,6,0,1284,83.15265957446809,62,41.627757352941174,110,PASS
stage2_opening_or_breakout_1030,stage2_opening_range_breakout,6,2,1237,80.10890957446809,58,38.9420955882353,109,PASS
stage2_opening_or_breakout_1030,stage2_opening_range_breakout,6,4,1199,77.64800531914894,52,34.91360294117647,108,PASS
stage2_prior_close_reclaim_1200,stage2_prior_close_reclaim,4,0,1262,81.72792553191489,60,40.28492647058823,82,PASS
stage2_prior_close_reclaim_1200,stage2_prior_close_reclaim,4,2,1237,80.10890957446809,59,39.61351102941176,81,PASS
stage2_prior_close_reclaim_1200,stage2_prior_close_reclaim,4,4,1197,77.5184840425532,54,36.25643382352941,80,PASS
stage2_prior_close_reclaim_1200,stage2_prior_close_reclaim,5,0,1222,79.1375,56,37.599264705882355,80,PASS
stage2_prior_close_reclaim_1200,stage2_prior_close_reclaim,5,2,1197,77.5184840425532,55,36.927849264705884,79,PASS
stage2_prior_close_reclaim_1200,stage2_prior_close_reclaim,5,4,1158,74.99281914893618,50,33.57077205882353,78,PASS
stage2_prior_close_reclaim_1200,stage2_prior_close_reclaim,6,0,1143,74.02140957446808,49,32.89935661764706,80,PASS
stage2_prior_close_reclaim_1200,stage2_prior_close_reclaim,6,2,1120,72.53191489361703,49,32.89935661764706,79,PASS
stage2_prior_close_reclaim_1200,stage2_prior_close_reclaim,6,4,1081,70.00625,44,29.542279411764707,78,PASS
stage2_prior_high_reclaim_1130,stage2_prior_high_reclaim,4,0,1276,82.6345744680851,56,37.599264705882355,103,PASS
stage2_prior_high_reclaim_1130,stage2_prior_high_reclaim,4,2,1274,82.50505319148937,56,37.599264705882355,103,PASS
stage2_prior_high_reclaim_1130,stage2_prior_high_reclaim,4,4,1268,82.11648936170212,55,36.927849264705884,103,PASS
stage2_prior_high_reclaim_1130,stage2_prior_high_reclaim,5,0,1244,80.56223404255319,51,34.2421875,102,PASS
stage2_prior_high_reclaim_1130,stage2_prior_high_reclaim,5,2,1243,80.49747340425532,51,34.2421875,102,PASS
stage2_prior_high_reclaim_1130,stage2_prior_high_reclaim,5,4,1237,80.10890957446809,50,33.57077205882353,102,PASS
stage2_prior_high_reclaim_1130,stage2_prior_high_reclaim,6,0,1161,75.18710106382979,49,32.89935661764706,102,PASS
stage2_prior_high_reclaim_1130,stage2_prior_high_reclaim,6,2,1160,75.12234042553192,49,32.89935661764706,102,PASS
stage2_prior_high_reclaim_1130,stage2_prior_high_reclaim,6,4,1154,74.73377659574469,48,32.22794117647059,102,PASS
stage2_weekly_support_reclaim_1430,stage2_weekly_support_reclaim,4,0,908,58.80265957446809,41,27.528033088235293,53,PASS
stage2_weekly_support_reclaim_1430,stage2_weekly_support_reclaim,4,2,904,58.543617021276596,41,27.528033088235293,53,PASS
stage2_weekly_support_reclaim_1430,stage2_weekly_support_reclaim,4,4,894,57.896010638297874,40,26.856617647058822,53,PASS
stage2_weekly_support_reclaim_1430,stage2_weekly_support_reclaim,5,0,843,54.593218085106386,30,20.142463235294116,50,PASS
stage2_weekly_support_reclaim_1430,stage2_weekly_support_reclaim,5,2,839,54.334175531914894,30,20.142463235294116,50,PASS
stage2_weekly_support_reclaim_1430,stage2_weekly_support_reclaim,5,4,829,53.68656914893617,29,19.47104779411765,50,PASS
stage2_weekly_support_reclaim_1430,stage2_weekly_support_reclaim,6,0,728,47.14574468085107,22,14.771139705882353,50,PASS
stage2_weekly_support_reclaim_1430,stage2_weekly_support_reclaim,6,2,725,46.951462765957444,22,14.771139705882353,50,PASS
stage2_weekly_support_reclaim_1430,stage2_weekly_support_reclaim,6,4,715,46.30385638297872,21,14.099724264705882,50,PASS
