variant_id,period,start_date,end_date,opening_range_minutes,last_entry_time,flow_mode,short_trend_bars,long_trend_bars,max_reclaim_bars,min_trend_move_ticks,min_reclaim_orderflow_imbalance,signals,years,signals_per_year
or30_full_session_large10_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,30,15:30:00,large10,3,6,8,0.5,0.01,1365,15.433264887063656,88.4453166577967
or30_full_session_large10_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,30,15:30:00,large10,3,6,8,0.5,0.01,120,1.541409993155373,77.85079928952042
or30_full_session_large10_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,30,15:30:00,large10,3,6,8,0.5,0.02,1360,15.433264887063656,88.12134113890367
or30_full_session_large10_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,30,15:30:00,large10,3,6,8,0.5,0.02,120,1.541409993155373,77.85079928952042
or30_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,30,15:30:00,signed_volume,3,6,8,0,0.0,1931,15.433264887063656,125.11934539648749
or30_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,30,15:30:00,signed_volume,3,6,8,0,0.0,186,1.541409993155373,120.66873889875666
or30_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,30,15:30:00,signed_volume,3,6,8,0,0.01,1929,15.433264887063656,124.98975518893027
or30_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,30,15:30:00,signed_volume,3,6,8,0,0.01,186,1.541409993155373,120.66873889875666
or30_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,30,15:30:00,signed_volume,3,6,8,0,0.02,1925,15.433264887063656,124.73057477381586
or30_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,30,15:30:00,signed_volume,3,6,8,0,0.02,186,1.541409993155373,120.66873889875666
or30_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,30,15:30:00,signed_volume,3,6,8,0.5,0.0,1433,15.433264887063656,92.85138371474189
or30_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,30,15:30:00,signed_volume,3,6,8,0.5,0.0,121,1.541409993155373,78.49955595026643
or30_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,30,15:30:00,signed_volume,3,6,8,0.5,0.01,1432,15.433264887063656,92.78658861096328
or30_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,30,15:30:00,signed_volume,3,6,8,0.5,0.01,121,1.541409993155373,78.49955595026643
or30_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,30,15:30:00,signed_volume,3,6,8,0.5,0.02,1428,15.433264887063656,92.52740819584885
or30_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,30,15:30:00,signed_volume,3,6,8,0.5,0.02,121,1.541409993155373,78.49955595026643
or60_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,60,15:30:00,signed_volume,3,6,8,0,0.0,1666,15.433264887063656,107.948642895157
or60_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,60,15:30:00,signed_volume,3,6,8,0,0.0,161,1.541409993155373,104.44982238010657
or60_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,60,15:30:00,signed_volume,3,6,8,0,0.01,1663,15.433264887063656,107.75425758382117
or60_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,60,15:30:00,signed_volume,3,6,8,0,0.01,161,1.541409993155373,104.44982238010657
or60_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,60,15:30:00,signed_volume,3,6,8,0,0.02,1654,15.433264887063656,107.17110164981372
or60_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,60,15:30:00,signed_volume,3,6,8,0,0.02,161,1.541409993155373,104.44982238010657
or60_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,60,15:30:00,signed_volume,3,6,8,0.5,0.0,1203,15.433264887063656,77.94850984566258
or60_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,60,15:30:00,signed_volume,3,6,8,0.5,0.0,95,1.541409993155373,61.631882770870334
or60_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,60,15:30:00,signed_volume,3,6,8,0.5,0.01,1199,15.433264887063656,77.68932943054816
or60_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,60,15:30:00,signed_volume,3,6,8,0.5,0.01,95,1.541409993155373,61.631882770870334
or60_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,60,15:30:00,signed_volume,3,6,8,0.5,0.02,1193,15.433264887063656,77.30055880787653
or60_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,60,15:30:00,signed_volume,3,6,8,0.5,0.02,95,1.541409993155373,61.631882770870334
