campaign_id,variant_id,pressure_rank_threshold,min_return_ticks,full_start,full_end,full_signals,full_years,full_signals_per_year,limited_start,limited_end,limited_signals,limited_years,limited_signals_per_year
es_orderflow_impulse_reversal,afternoon_60m_impulse_reversal_1400,0.7,4,2011-01-03,2026-06-09,1793,15.4333,116.1776,2011-02-22,2012-09-06,182,1.5414,118.0737
es_orderflow_impulse_reversal,afternoon_60m_impulse_reversal_1400,0.7,6,2011-01-03,2026-06-09,1627,15.4333,105.4216,2011-02-22,2012-09-06,157,1.5414,101.8548
es_orderflow_impulse_reversal,afternoon_60m_impulse_reversal_1400,0.7,8,2011-01-03,2026-06-09,1451,15.4333,94.0177,2011-02-22,2012-09-06,126,1.5414,81.7433
es_orderflow_impulse_reversal,afternoon_60m_impulse_reversal_1400,0.75,4,2011-01-03,2026-06-09,1564,15.4333,101.3395,2011-02-22,2012-09-06,159,1.5414,103.1523
es_orderflow_impulse_reversal,afternoon_60m_impulse_reversal_1400,0.75,6,2011-01-03,2026-06-09,1429,15.4333,92.5922,2011-02-22,2012-09-06,137,1.5414,88.8797
es_orderflow_impulse_reversal,afternoon_60m_impulse_reversal_1400,0.75,8,2011-01-03,2026-06-09,1283,15.4333,83.1321,2011-02-22,2012-09-06,112,1.5414,72.6607
es_orderflow_impulse_reversal,afternoon_60m_impulse_reversal_1400,0.8,4,2011-01-03,2026-06-09,1325,15.4333,85.8535,2011-02-22,2012-09-06,136,1.5414,88.2309
es_orderflow_impulse_reversal,afternoon_60m_impulse_reversal_1400,0.8,6,2011-01-03,2026-06-09,1211,15.4333,78.4669,2011-02-22,2012-09-06,117,1.5414,75.9045
es_orderflow_impulse_reversal,afternoon_60m_impulse_reversal_1400,0.8,8,2011-01-03,2026-06-09,1094,15.4333,70.8858,2011-02-22,2012-09-06,97,1.5414,62.9294
es_orderflow_impulse_reversal,early_5m_impulse_reversal_1000,0.75,1,2011-01-03,2026-06-09,1704,15.4333,110.4109,2011-02-22,2012-09-06,158,1.5414,102.5036
es_orderflow_impulse_reversal,early_5m_impulse_reversal_1000,0.75,2,2011-01-03,2026-06-09,1599,15.4333,103.6074,2011-02-22,2012-09-06,145,1.5414,94.0697
es_orderflow_impulse_reversal,early_5m_impulse_reversal_1000,0.75,3,2011-01-03,2026-06-09,1475,15.4333,95.5728,2011-02-22,2012-09-06,131,1.5414,84.9871
es_orderflow_impulse_reversal,early_5m_impulse_reversal_1000,0.8,1,2011-01-03,2026-06-09,1427,15.4333,92.4626,2011-02-22,2012-09-06,130,1.5414,84.3384
es_orderflow_impulse_reversal,early_5m_impulse_reversal_1000,0.8,2,2011-01-03,2026-06-09,1350,15.4333,87.4734,2011-02-22,2012-09-06,121,1.5414,78.4996
es_orderflow_impulse_reversal,early_5m_impulse_reversal_1000,0.8,3,2011-01-03,2026-06-09,1258,15.4333,81.5122,2011-02-22,2012-09-06,109,1.5414,70.7145
es_orderflow_impulse_reversal,early_5m_impulse_reversal_1000,0.85,1,2011-01-03,2026-06-09,1114,15.4333,72.1817,2011-02-22,2012-09-06,110,1.5414,71.3632
es_orderflow_impulse_reversal,early_5m_impulse_reversal_1000,0.85,2,2011-01-03,2026-06-09,1068,15.4333,69.2012,2011-02-22,2012-09-06,103,1.5414,66.8219
es_orderflow_impulse_reversal,early_5m_impulse_reversal_1000,0.85,3,2011-01-03,2026-06-09,1002,15.4333,64.9247,2011-02-22,2012-09-06,94,1.5414,60.9831
es_orderflow_impulse_reversal,late_day_30m_impulse_reversal_1500,0.75,3,2011-01-03,2026-06-09,1579,15.4333,102.3115,2011-02-22,2012-09-06,170,1.5414,110.2886
es_orderflow_impulse_reversal,late_day_30m_impulse_reversal_1500,0.75,4,2011-01-03,2026-06-09,1493,15.4333,96.7391,2011-02-22,2012-09-06,158,1.5414,102.5036
es_orderflow_impulse_reversal,late_day_30m_impulse_reversal_1500,0.75,5,2011-01-03,2026-06-09,1391,15.4333,90.13,2011-02-22,2012-09-06,144,1.5414,93.421
es_orderflow_impulse_reversal,late_day_30m_impulse_reversal_1500,0.8,3,2011-01-03,2026-06-09,1328,15.4333,86.0479,2011-02-22,2012-09-06,142,1.5414,92.1234
es_orderflow_impulse_reversal,late_day_30m_impulse_reversal_1500,0.8,4,2011-01-03,2026-06-09,1265,15.4333,81.9658,2011-02-22,2012-09-06,131,1.5414,84.9871
es_orderflow_impulse_reversal,late_day_30m_impulse_reversal_1500,0.8,5,2011-01-03,2026-06-09,1182,15.4333,76.5878,2011-02-22,2012-09-06,118,1.5414,76.5533
es_orderflow_impulse_reversal,late_day_30m_impulse_reversal_1500,0.85,3,2011-01-03,2026-06-09,1062,15.4333,68.8124,2011-02-22,2012-09-06,107,1.5414,69.417
es_orderflow_impulse_reversal,late_day_30m_impulse_reversal_1500,0.85,4,2011-01-03,2026-06-09,1014,15.4333,65.7022,2011-02-22,2012-09-06,100,1.5414,64.8757
es_orderflow_impulse_reversal,late_day_30m_impulse_reversal_1500,0.85,5,2011-01-03,2026-06-09,949,15.4333,61.4906,2011-02-22,2012-09-06,91,1.5414,59.0369
es_orderflow_impulse_reversal,late_morning_15m_impulse_reversal_1130,0.75,2,2011-01-03,2026-06-09,1629,15.4333,105.5512,2011-02-22,2012-09-06,141,1.5414,91.4747
es_orderflow_impulse_reversal,late_morning_15m_impulse_reversal_1130,0.75,3,2011-01-03,2026-06-09,1549,15.4333,100.3676,2011-02-22,2012-09-06,129,1.5414,83.6896
es_orderflow_impulse_reversal,late_morning_15m_impulse_reversal_1130,0.75,4,2011-01-03,2026-06-09,1458,15.4333,94.4713,2011-02-22,2012-09-06,115,1.5414,74.607
es_orderflow_impulse_reversal,late_morning_15m_impulse_reversal_1130,0.8,2,2011-01-03,2026-06-09,1376,15.4333,89.1581,2011-02-22,2012-09-06,122,1.5414,79.1483
es_orderflow_impulse_reversal,late_morning_15m_impulse_reversal_1130,0.8,3,2011-01-03,2026-06-09,1325,15.4333,85.8535,2011-02-22,2012-09-06,115,1.5414,74.607
es_orderflow_impulse_reversal,late_morning_15m_impulse_reversal_1130,0.8,4,2011-01-03,2026-06-09,1251,15.4333,81.0587,2011-02-22,2012-09-06,104,1.5414,67.4707
es_orderflow_impulse_reversal,late_morning_15m_impulse_reversal_1130,0.85,2,2011-01-03,2026-06-09,1102,15.4333,71.4042,2011-02-22,2012-09-06,101,1.5414,65.5244
es_orderflow_impulse_reversal,late_morning_15m_impulse_reversal_1130,0.85,3,2011-01-03,2026-06-09,1065,15.4333,69.0068,2011-02-22,2012-09-06,94,1.5414,60.9831
es_orderflow_impulse_reversal,late_morning_15m_impulse_reversal_1130,0.85,4,2011-01-03,2026-06-09,1008,15.4333,65.3135,2011-02-22,2012-09-06,85,1.5414,55.1443
es_orderflow_impulse_reversal,midday_30m_impulse_reversal_1230,0.75,2,2011-01-03,2026-06-09,1700,15.4333,110.1517,2011-02-22,2012-09-06,167,1.5414,108.3424
es_orderflow_impulse_reversal,midday_30m_impulse_reversal_1230,0.75,3,2011-01-03,2026-06-09,1620,15.4333,104.9681,2011-02-22,2012-09-06,150,1.5414,97.3135
es_orderflow_impulse_reversal,midday_30m_impulse_reversal_1230,0.75,4,2011-01-03,2026-06-09,1531,15.4333,99.2013,2011-02-22,2012-09-06,133,1.5414,86.2846
es_orderflow_impulse_reversal,midday_30m_impulse_reversal_1230,0.8,2,2011-01-03,2026-06-09,1418,15.4333,91.8795,2011-02-22,2012-09-06,140,1.5414,90.8259
es_orderflow_impulse_reversal,midday_30m_impulse_reversal_1230,0.8,3,2011-01-03,2026-06-09,1370,15.4333,88.7693,2011-02-22,2012-09-06,129,1.5414,83.6896
es_orderflow_impulse_reversal,midday_30m_impulse_reversal_1230,0.8,4,2011-01-03,2026-06-09,1298,15.4333,84.104,2011-02-22,2012-09-06,116,1.5414,75.2558
es_orderflow_impulse_reversal,midday_30m_impulse_reversal_1230,0.85,2,2011-01-03,2026-06-09,1092,15.4333,70.7563,2011-02-22,2012-09-06,98,1.5414,63.5782
es_orderflow_impulse_reversal,midday_30m_impulse_reversal_1230,0.85,3,2011-01-03,2026-06-09,1058,15.4333,68.5532,2011-02-22,2012-09-06,88,1.5414,57.0906
es_orderflow_impulse_reversal,midday_30m_impulse_reversal_1230,0.85,4,2011-01-03,2026-06-09,1009,15.4333,65.3783,2011-02-22,2012-09-06,79,1.5414,51.2518
