campaign_id,variant_id,window,start_date,end_date,entry_combinations,max_overnight_range_rank,breakout_buffer_ticks,signals,years_proxy,signals_per_year,density_gate_pass
es_overnight_range_compression_orderflow_breakout,late_morning_large10_two_sided_breakout_1130,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.3,0,78,1.538672142368241,50.69306049822064,True
es_overnight_range_compression_orderflow_breakout,late_morning_large10_two_sided_breakout_1130,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.3,1,73,1.538672142368241,47.44350533807829,False
es_overnight_range_compression_orderflow_breakout,late_morning_large10_two_sided_breakout_1130,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.3,2,71,1.538672142368241,46.14368327402135,False
es_overnight_range_compression_orderflow_breakout,late_morning_large10_two_sided_breakout_1130,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.4,0,104,1.538672142368241,67.59074733096085,True
es_overnight_range_compression_orderflow_breakout,late_morning_large10_two_sided_breakout_1130,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.4,1,98,1.538672142368241,63.69128113879003,True
es_overnight_range_compression_orderflow_breakout,late_morning_large10_two_sided_breakout_1130,limited_core_random_10pct,2011-02-22,2012-09-05,9,0.4,2,94,1.538672142368241,61.09163701067615,True
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,full_configured_period,2011-01-03,2026-05-29,9,0.2,0,525,15.403148528405202,34.0839406327764,False
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,full_configured_period,2011-01-03,2026-05-29,9,0.2,1,508,15.403148528405202,32.980270174191254,False
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,full_configured_period,2011-01-03,2026-05-29,9,0.2,2,499,15.403148528405202,32.39597404905795,False
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,full_configured_period,2011-01-03,2026-05-29,9,0.3,0,788,15.403148528405202,51.158371845005334,True
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,full_configured_period,2011-01-03,2026-05-29,9,0.3,1,768,15.403148528405202,49.85993601137576,False
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,full_configured_period,2011-01-03,2026-05-29,9,0.3,2,751,15.403148528405202,48.756265552790616,False
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,full_configured_period,2011-01-03,2026-05-29,9,0.4,0,1011,15.403148528405202,65.63593138997511,True
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,full_configured_period,2011-01-03,2026-05-29,9,0.4,1,988,15.403148528405202,64.1427301813011,True
