variant,mode,macro,op,threshold,entry_time,signal_bar_time,flow_column,ret_bps,flow_threshold,all_windows_ge_50,min_window_tpy,full_count,full_tpy,limited_10pct_count,limited_10pct_tpy,wfa90_count,wfa90_tpy,latest1y_count,latest1y_tpy
import_disinflation_signed_long_1030,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.65,10:30:00,10:29:00,signed_volume,0,0,True,69.56,1090,70.64,147,95.2,966,69.56,77,77.05
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.65,12:00:00,11:59:00,large10_signed_volume,0,0,True,69.56,1102,71.42,156,101.03,966,69.56,74,74.05
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.65,12:00:00,11:59:00,large10_signed_volume,0,100,True,69.06,1091,70.7,156,101.03,959,69.06,71,71.05
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.65,12:00:00,11:59:00,large10_signed_volume,1,0,True,68.7,1086,70.38,155,100.38,954,68.7,72,72.05
import_disinflation_signed_long_1030,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.65,10:30:00,10:29:00,signed_volume,1,0,True,68.2,1069,69.28,145,93.9,947,68.2,76,76.05
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.65,12:00:00,11:59:00,large10_signed_volume,1,100,True,68.2,1075,69.67,155,100.38,947,68.2,69,69.05
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.65,12:00:00,11:59:00,large10_signed_volume,0,250,True,68.05,1071,69.41,156,101.03,945,68.05,68,68.05
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.65,12:00:00,11:59:00,large10_signed_volume,2,0,True,67.33,1065,69.02,151,97.79,935,67.33,72,72.05
core_pressure_signed_short_1100,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.35,11:00:00,10:59:00,signed_volume,0,0,True,67.05,1094,70.9,148,95.85,984,70.86,67,67.05
core_pressure_signed_short_1100,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.35,11:00:00,10:59:00,signed_volume,1,0,True,67.05,1072,69.47,144,93.26,963,69.35,67,67.05
core_pressure_signed_short_1100,core_import_relief_pullback_long,core_vs_headline_rank_120m,>=,0.35,11:00:00,10:59:00,signed_volume,2,0,True,67.05,1052,68.18,141,91.31,943,67.91,67,67.05
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.65,12:00:00,11:59:00,large10_signed_volume,2,100,True,66.83,1054,68.31,151,97.79,928,66.83,69,69.05
import_disinflation_signed_long_1030,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.65,10:30:00,10:29:00,signed_volume,2,0,True,66.61,1043,67.59,139,90.02,925,66.61,72,72.05
import_disinflation_large10_long_1200,disinflation_reclaim_long,import_all_mom3_rank_120m,<=,0.65,12:00:00,11:59:00,large10_signed_volume,1,250,True,66.05,1056,68.44,155,100.38,933,67.19,66,66.05
