variant_id,entry_rows,rows_passing_density,min_signals_per_year,full_min_signals,latest_252_min_signals,limited_core_min_signals,density_gate_pass
cqqq_1d_relative_strength_long_1000,9,9,79.0,1342,79,121,True
cqqq_1d_volatility_short_1330,9,9,83.0,1347,83,136,True
cqqq_3d_relative_weakness_short_1030,9,9,84.0,1334,84,136,True
fxi_1d_relative_strength_long_1130,9,9,73.0,1336,73,131,True
fxi_3d_relative_weakness_short_1200,9,9,88.30188679245282,1346,103,130,True
