campaign_id,variant_id,window,start_date,end_date,entry_parameter_combinations,min_signals,max_signals,min_signals_per_year,max_signals_per_year,passed_50_signals_per_year,weakest_entry_params,strongest_entry_params
nq_vwap_pullback_continuation,failed_vwap_break_two_sided,limited_core,2011-02-22,2012-09-07,9,10,159,6.487566607460035,103.15230905861456,False,"{""failed_break_min_ticks"": 4, ""min_drive_points"": 14.0}","{""failed_break_min_ticks"": 1, ""min_drive_points"": 5.0}"
nq_vwap_pullback_continuation,failed_vwap_break_two_sided,full_history,2011-01-03,2026-06-12,9,2286,4436,148.06907253059052,287.3291363716971,True,"{""failed_break_min_ticks"": 4, ""min_drive_points"": 14.0}","{""failed_break_min_ticks"": 1, ""min_drive_points"": 5.0}"
nq_vwap_pullback_continuation,midday_trend_reclaim_two_sided,limited_core,2011-02-22,2012-09-07,9,1,131,0.6487566607460036,84.98712255772647,False,"{""min_drive_points"": 14.0, ""required_trend_closes"": 4}","{""min_drive_points"": 5.0, ""required_trend_closes"": 2}"
nq_vwap_pullback_continuation,midday_trend_reclaim_two_sided,full_history,2011-01-03,2026-06-12,9,719,2342,46.57115623337471,151.69631140273097,False,"{""min_drive_points"": 14.0, ""required_trend_closes"": 4}","{""min_drive_points"": 5.0, ""required_trend_closes"": 2}"
nq_vwap_pullback_continuation,morning_opening_drive_pullback_long,limited_core,2011-02-22,2012-09-07,9,22,229,14.272646536412077,148.5652753108348,False,"{""min_drive_points"": 14.0, ""opening_drive_minutes"": 15}","{""min_drive_points"": 5.0, ""opening_drive_minutes"": 15}"
nq_vwap_pullback_continuation,morning_opening_drive_pullback_long,full_history,2011-01-03,2026-06-12,9,1409,3498,91.2639209079624,226.57288526334455,True,"{""min_drive_points"": 14.0, ""opening_drive_minutes"": 45}","{""min_drive_points"": 5.0, ""opening_drive_minutes"": 15}"
nq_vwap_pullback_continuation,morning_opening_drive_pullback_short,limited_core,2011-02-22,2012-09-07,9,22,235,14.272646536412077,152.45781527531082,False,"{""min_drive_points"": 14.0, ""opening_drive_minutes"": 15}","{""min_drive_points"": 5.0, ""opening_drive_minutes"": 15}"
nq_vwap_pullback_continuation,morning_opening_drive_pullback_short,full_history,2011-01-03,2026-06-12,9,1450,3476,93.91957793935094,225.1478985635751,True,"{""min_drive_points"": 14.0, ""opening_drive_minutes"": 45}","{""min_drive_points"": 5.0, ""opening_drive_minutes"": 15}"
nq_vwap_pullback_continuation,morning_trend_reclaim_two_sided,limited_core,2011-02-22,2012-09-07,9,25,306,16.218916518650087,198.51953818827707,False,"{""min_drive_points"": 14.0, ""required_trend_closes"": 4}","{""min_drive_points"": 5.0, ""required_trend_closes"": 2}"
nq_vwap_pullback_continuation,morning_trend_reclaim_two_sided,full_history,2011-01-03,2026-06-12,9,1980,5668,128.24880297925162,367.12839155878703,True,"{""min_drive_points"": 14.0, ""required_trend_closes"": 4}","{""min_drive_points"": 5.0, ""required_trend_closes"": 2}"
