campaign_id,variant_id,source_run_id,source_config_path,new_config_path,core_passed,number_passing_benchmark,profitable_combo_rate,top_net_profit,top_profit_factor,top_mar,top_trades_per_year,top_failure_reason,target_key,target_grid_values,target_grid_values_below_1r,target_grid_has_below_1r,top_target_value,top_target_is_grid_max,higher_target_net_slope,higher_target_pf_slope,higher_target_profitable_rate_slope,higher_target_evidence_score,target_grid_note
es_daily_time_series_momentum,twenty_day_trend_1000_two_sided,rescue1,campaigns/es_daily_time_series_momentum/rescue_attempts/parameter_space_rescue_1/twenty_day_trend_1000_two_sided/config.yaml,campaigns/es_daily_time_series_momentum/rescue_attempts/tp_min_rr_floor_rescue_1/twenty_day_trend_1000_two_sided/config.yaml,False,0,0.0,-7776.25,0.8003786420228469,-0.5708971932978288,240.7964564001423,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;min_win_rate;max_consecutive_losses;preferred_min_total_trades;min_positive_month_rate,tp.params.target_r_multiple,"[0.75, 1.0, 1.5]",[0.75],True,1.5,True,2847.4305555555547,0.17088816315373212,0.0,4.0,target_grid_evaluated
es_day_of_week_seasonality,monday_open_weekend_short_0935,rescue1,campaigns/es_day_of_week_seasonality/rescue_attempts/parameter_space_rescue_1/monday_open_weekend_short_0935/config.yaml,campaigns/es_day_of_week_seasonality/rescue_attempts/tp_min_rr_floor_rescue_1/monday_open_weekend_short_0935/config.yaml,False,0,0.0,-1328.125,0.8829330101366241,-0.3197708650283872,43.4644528071603,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades;min_positive_month_rate,tp.params.target_r_multiple,"[0.75, 1.25, 1.75]",[0.75],True,1.75,True,521.25,0.1634937771011984,0.0,4.0,target_grid_evaluated
es_dollar_risk_appetite_intraday,dollar_up_risk_off_short_1000,rescue1,campaigns/es_dollar_risk_appetite_intraday/rescue_attempts/parameter_space_rescue_1/dollar_up_risk_off_short_1000/config.yaml,campaigns/es_dollar_risk_appetite_intraday/rescue_attempts/tp_min_rr_floor_rescue_1/dollar_up_risk_off_short_1000/config.yaml,False,0,0.0,-2970.0,0.7732391677801107,-0.5471045632112651,112.56856112105959,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;min_positive_month_rate,tp.params.target_r_multiple,"[0.5, 0.75, 1.0]","[0.5, 0.75]",True,1.0,True,565.9722222222217,0.1719944825215987,0.0,4.0,target_grid_evaluated
es_ema_pullback_orderflow_continuation,lunch_signed_two_sided_ema_pullback_1300,rescue1,campaigns/es_ema_pullback_orderflow_continuation/rescue_attempts/parameter_space_rescue_1/lunch_signed_two_sided_ema_pullback_1300/config.yaml,campaigns/es_ema_pullback_orderflow_continuation/rescue_attempts/tp_min_rr_floor_rescue_1/lunch_signed_two_sided_ema_pullback_1300/config.yaml,False,0,0.0,-1498.75,0.891962515768607,-0.23515178764775058,89.33056922346829,min_total_net_profit,tp.params.target_r_multiple,"[0.75, 1.0, 1.5]",[0.75],True,1.5,True,1391.8981481481478,0.15101549901040268,0.0,4.0,target_grid_evaluated
es_epu_policy_uncertainty_intraday,low_epu_long_1030,rescue1,campaigns/es_epu_policy_uncertainty_intraday/rescue_attempts/parameter_space_rescue_1/low_epu_long_1030/config.yaml,campaigns/es_epu_policy_uncertainty_intraday/rescue_attempts/tp_min_rr_floor_rescue_1/low_epu_long_1030/config.yaml,False,0,0.4074074074074074,2170.625,1.1913709499669385,0.8986670517322473,80.67308601042691,min_profit_factor,tp.params.target_r_multiple,"[0.75, 1.0, 1.25]",[0.75],True,1.25,True,588.8888888888889,0.056594155160964554,0.1111111111111111,4.0,target_grid_evaluated
es_fomc_pre_announcement_drift,decision_day_late_morning_long_1130,rescue1,campaigns/es_fomc_pre_announcement_drift/rescue_attempts/parameter_space_rescue_1/decision_day_late_morning_long_1130/config.yaml,campaigns/es_fomc_pre_announcement_drift/rescue_attempts/tp_min_rr_floor_rescue_1/decision_day_late_morning_long_1130/config.yaml,False,0,0.0,-342.5,0.4385245901639344,-0.6997498236740509,7.862845027928405,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;min_win_rate;preferred_min_total_trades;min_positive_month_rate,tp.params.target_r_multiple,"[0.5, 0.75, 1.0]","[0.5, 0.75]",True,1.0,True,73.4375,0.14286867990517504,0.0,4.0,target_grid_evaluated
es_footprint_absorption_initiation,rolling_range_footprint_absorption_sweep_1500,rescue1,campaigns/es_footprint_absorption_initiation/rescue_attempts/parameter_space_rescue_1/rolling_range_footprint_absorption_sweep_1500/config.yaml,campaigns/es_footprint_absorption_initiation/rescue_attempts/tp_min_rr_floor_rescue_1/rolling_range_footprint_absorption_sweep_1500/config.yaml,False,0,0.012345679012345678,342.5,1.0526315789473684,0.1363597860637906,53.92095386899354,max_best_day_concentration,tp.params.target_r_multiple,"[0.75, 1.0, 1.5]",[0.75],True,1.5,True,1323.4953703703704,0.24126432351370386,0.037037037037037035,4.0,target_grid_evaluated
es_gao_last_half_hour_orderflow_confirmation,first30_signed_flow_two_sided_1530,rescue1,campaigns/es_gao_last_half_hour_orderflow_confirmation/rescue_attempts/parameter_space_rescue_1/first30_signed_flow_two_sided_1530/config.yaml,campaigns/es_gao_last_half_hour_orderflow_confirmation/rescue_attempts/tp_min_rr_floor_rescue_1/first30_signed_flow_two_sided_1530/config.yaml,False,0,0.0,-2172.5,0.7220089571337172,-0.49845375883933024,79.2925751780981,min_total_net_profit;max_consecutive_losses,tp.params.target_r_multiple,"[0.5, 0.75, 1.0]","[0.5, 0.75]",True,1.0,True,1052.604166666667,0.20797036221130327,0.0,4.0,target_grid_evaluated
es_intraday_capitulation_orderflow_reversion,late_day_10m_capitulation_long_1530,run1,campaigns/es_intraday_capitulation_orderflow_reversion/variants/late_day_10m_capitulation_long_1530/config.yaml,campaigns/es_intraday_capitulation_orderflow_reversion/rescue_attempts/tp_min_rr_floor_rescue_1/late_day_10m_capitulation_long_1530/config.yaml,False,0,0.0,-3555.0,0.5734853029394121,-0.5790730328033644,75.52499907158683,min_total_net_profit;max_consecutive_losses,tp.params.target_r_multiple,"[0.75, 1.0, 1.5]",[0.75],True,1.5,True,384.14351851851825,0.15412673216543338,0.0,4.0,target_grid_evaluated
es_intraday_periodicity_orderflow_confirmation,afternoon_1330_large20_confirmed_slot,run1,campaigns/es_intraday_periodicity_orderflow_confirmation/variants/afternoon_1330_large20_confirmed_slot/config.yaml,campaigns/es_intraday_periodicity_orderflow_confirmation/rescue_attempts/tp_min_rr_floor_rescue_1/afternoon_1330_large20_confirmed_slot/config.yaml,False,0,0.0,-2131.875,0.7297147385103011,-0.4837059493181559,100.03806520637423,min_total_net_profit,tp.params.target_r_multiple,"[0.75, 1.0, 1.25]",[0.75],True,1.25,True,110.64814814814827,0.06020400184088981,0.0,4.0,target_grid_evaluated
es_intraday_periodicity_persistence,morning_1030_slot_persistence,run1,campaigns/es_intraday_periodicity_persistence/variants/morning_1030_slot_persistence/config.yaml,campaigns/es_intraday_periodicity_persistence/rescue_attempts/tp_min_rr_floor_rescue_1/morning_1030_slot_persistence/config.yaml,False,0,0.0,-4891.25,0.7097611630321911,-0.7443610800218388,178.12337634500793,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;min_positive_month_rate,tp.params.target_r_multiple,"[0.75, 1.0, 1.25]",[0.75],True,1.25,True,-220.949074074073,0.050921109645463314,0.0,3.0,target_grid_evaluated
es_key_reversal_orderflow_reversal,morning_signed_two_sided_key_reversal_1130,run1,campaigns/es_key_reversal_orderflow_reversal/variants/morning_signed_two_sided_key_reversal_1130/config.yaml,campaigns/es_key_reversal_orderflow_reversal/rescue_attempts/tp_min_rr_floor_rescue_1/morning_signed_two_sided_key_reversal_1130/config.yaml,False,0,0.0,-6697.5,0.5756375732615239,-0.6540765104183549,134.777229653196,min_total_net_profit;max_consecutive_losses,tp.params.target_r_multiple,"[0.5, 0.75, 1.0]","[0.5, 0.75]",True,1.0,True,156.94444444444343,0.15552325925087485,0.0,4.0,target_grid_evaluated
es_late_day_intraday_momentum,first30_to_last30_long_only,rescue1,campaigns/es_late_day_intraday_momentum/rescue_attempts/parameter_space_rescue_1/first30_to_last30_long_only/config.yaml,campaigns/es_late_day_intraday_momentum/rescue_attempts/tp_min_rr_floor_rescue_1/first30_to_last30_long_only/config.yaml,False,0,0.0,-742.5,0.7933194154488518,-0.36849485470616317,51.12448920863309,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades,tp.params.target_r_multiple,"[0.5, 0.75, 1.0]","[0.5, 0.75]",True,1.0,True,-295.8333333333335,0.196417833272859,0.0,3.0,target_grid_evaluated
es_leveraged_etf_rebalance_pressure,late_acceleration_two_sided_1530,rescue1,campaigns/es_leveraged_etf_rebalance_pressure/rescue_attempts/parameter_space_rescue_1/late_acceleration_two_sided_1530/config.yaml,campaigns/es_leveraged_etf_rebalance_pressure/rescue_attempts/tp_min_rr_floor_rescue_1/late_acceleration_two_sided_1530/config.yaml,False,0,0.0,-1568.75,0.8182213209733488,-0.49560567536911454,76.51295025457765,min_total_net_profit,tp.params.target_r_multiple,"[0.25, 0.5, 0.75]","[0.25, 0.5, 0.75]",True,0.75,True,744.6759259259261,0.21243143690183514,0.0,4.0,target_grid_evaluated
es_mes_aligned_flow_continuation,afternoon60_mes_signed_1400,run1,campaigns/es_mes_aligned_flow_continuation/variants/afternoon60_mes_signed_1400/config.yaml,campaigns/es_mes_aligned_flow_continuation/rescue_attempts/tp_min_rr_floor_rescue_1/afternoon60_mes_signed_1400/config.yaml,False,0,0.0,-1786.25,0.8254336672367457,-0.7983196265335325,178.37742684801128,min_total_net_profit;max_consecutive_losses,tp.params.target_r_multiple,"[0.75, 1.0, 1.5]",[0.75],True,1.5,True,1366.550925925926,0.21509606167870854,0.0,4.0,target_grid_evaluated
