selected_variant,variant,time_set,thr,imb,signals,full_per_year,limited_per_year
teny_1d_signed_rate_confirmation_1530,teny_1d_two_sided,full,0.7,0.02,834,54.04870475514549,70.19039145907473
twoy_1d_signed_rate_confirmation_1530,twoy_1d_two_sided,full,0.7,0.02,864,55.99290276792051,61.09163701067615
teny_5d_signed_rate_confirmation_1530,teny_5d_two_sided,full,0.7,0.02,851,55.15041696238467,72.79003558718861
curve_1d_signed_rate_confirmation_1530,curve_1d_two_sided,full,0.7,0.02,800,51.84528034066714,70.8403024911032
teny_1d_large10_rate_confirmation_1530,teny_1d_large10,full,0.7,0.04,897,58.13152058197303,52.64279359430605
