variant_id,entry_grid_row,driver_column,tail,term_premium_rank_threshold,full_signals,full_signals_per_year,limited_signals,limited_signals_per_year,latest_252_signals,pass_density
high_21d_term_premium_short_1000,1,term_premium_10y_21d_rank_252,high,0.2,934,61.727773406766325,98,138.74157303370785,85,True
high_21d_term_premium_short_1000,2,term_premium_10y_21d_rank_252,high,0.25,1131,74.74744295830055,106,150.06741573033707,102,True
high_21d_term_premium_short_1000,3,term_premium_10y_21d_rank_252,high,0.3,1307,86.37922895357985,111,157.14606741573033,114,True
high_21d_term_premium_rebound_long_1330,1,term_premium_10y_21d_rank_252,high,0.2,934,61.727773406766325,98,138.74157303370785,85,True
high_21d_term_premium_rebound_long_1330,2,term_premium_10y_21d_rank_252,high,0.25,1131,74.74744295830055,106,150.06741573033707,102,True
high_21d_term_premium_rebound_long_1330,3,term_premium_10y_21d_rank_252,high,0.3,1307,86.37922895357985,111,157.14606741573033,114,True
rising_5d_term_premium_short_1030,1,term_premium_10y_5d_change_rank_252,high,0.25,964,63.71046420141621,47,66.53932584269663,59,True
rising_5d_term_premium_short_1030,2,term_premium_10y_5d_change_rank_252,high,0.3,1140,75.34225019669552,57,80.69662921348313,69,True
rising_5d_term_premium_short_1030,3,term_premium_10y_5d_change_rank_252,high,0.35,1353,89.41935483870968,66,93.438202247191,84,True
falling_21d_term_premium_rebound_long_1200,1,term_premium_10y_21d_change_rank_252,low,0.35,1293,85.45397324940991,60,84.94382022471909,55,True
falling_21d_term_premium_rebound_long_1200,2,term_premium_10y_21d_change_rank_252,low,0.4,1456,96.22659323367427,68,96.26966292134831,71,True
falling_21d_term_premium_rebound_long_1200,3,term_premium_10y_21d_change_rank_252,low,0.45,1615,106.73485444531865,72,101.93258426966291,86,True
high_5d_term_premium_short_1130,1,term_premium_10y_5d_rank_252,high,0.2,966,63.8426435877262,106,150.06741573033707,84,True
high_5d_term_premium_short_1130,2,term_premium_10y_5d_rank_252,high,0.25,1153,76.20141620771047,112,158.56179775280899,91,True
high_5d_term_premium_short_1130,3,term_premium_10y_5d_rank_252,high,0.3,1344,88.82454760031472,117,165.64044943820224,110,True
