campaign_id,variant_id,setup_mode,allow_long,allow_short,start_time,end_time,min_move_ticks,min_volume_ratio,full_start_date,full_end_date,full_sessions,full_years,full_signals,full_signals_per_year,pass_full_50_per_year,limited_start_date,limited_end_date,limited_sessions,limited_years,limited_signals,limited_signals_per_year,pass_limited_50_per_year,latest_start_date,latest_end_date,latest_sessions,latest_years,latest_signals,latest_signals_per_year,pass_latest_50_signals,density_pass
nq_volume_shock_liquidity_reversal,afternoon_symmetric_shock_reversion,symmetric_volume_shock_reversion,True,True,13:30:00,15:30:00,6,1.25,2011-01-03,2026-06-12,3813,15.130952380952381,3714,245.45712037765537,True,2011-02-22,2012-09-07,371,1.4722222222222223,364,247.2452830188679,True,2025-06-09,2026-06-12,252,1.0,238,238.0,True,True
nq_volume_shock_liquidity_reversal,afternoon_symmetric_shock_reversion,symmetric_volume_shock_reversion,True,True,13:30:00,15:30:00,6,1.75,2011-01-03,2026-06-12,3813,15.130952380952381,2688,177.64909520062943,True,2011-02-22,2012-09-07,371,1.4722222222222223,321,218.0377358490566,True,2025-06-09,2026-06-12,252,1.0,136,136.0,True,True
nq_volume_shock_liquidity_reversal,afternoon_symmetric_shock_reversion,symmetric_volume_shock_reversion,True,True,13:30:00,15:30:00,6,2.25,2011-01-03,2026-06-12,3813,15.130952380952381,1570,103.76081825334381,True,2011-02-22,2012-09-07,371,1.4722222222222223,223,151.47169811320754,True,2025-06-09,2026-06-12,252,1.0,71,71.0,True,True
nq_volume_shock_liquidity_reversal,afternoon_symmetric_shock_reversion,symmetric_volume_shock_reversion,True,True,13:30:00,15:30:00,10,1.25,2011-01-03,2026-06-12,3813,15.130952380952381,3545,234.28796223446105,True,2011-02-22,2012-09-07,371,1.4722222222222223,327,222.1132075471698,True,2025-06-09,2026-06-12,252,1.0,237,237.0,True,True
nq_volume_shock_liquidity_reversal,afternoon_symmetric_shock_reversion,symmetric_volume_shock_reversion,True,True,13:30:00,15:30:00,10,1.75,2011-01-03,2026-06-12,3813,15.130952380952381,2480,163.90243902439025,True,2011-02-22,2012-09-07,371,1.4722222222222223,277,188.1509433962264,True,2025-06-09,2026-06-12,252,1.0,135,135.0,True,True
nq_volume_shock_liquidity_reversal,afternoon_symmetric_shock_reversion,symmetric_volume_shock_reversion,True,True,13:30:00,15:30:00,10,2.25,2011-01-03,2026-06-12,3813,15.130952380952381,1418,93.71518489378442,True,2011-02-22,2012-09-07,371,1.4722222222222223,187,127.0188679245283,True,2025-06-09,2026-06-12,252,1.0,71,71.0,True,True
nq_volume_shock_liquidity_reversal,afternoon_symmetric_shock_reversion,symmetric_volume_shock_reversion,True,True,13:30:00,15:30:00,14,1.25,2011-01-03,2026-06-12,3813,15.130952380952381,3249,214.7254130605822,True,2011-02-22,2012-09-07,371,1.4722222222222223,243,165.0566037735849,True,2025-06-09,2026-06-12,252,1.0,236,236.0,True,True
nq_volume_shock_liquidity_reversal,afternoon_symmetric_shock_reversion,symmetric_volume_shock_reversion,True,True,13:30:00,15:30:00,14,1.75,2011-01-03,2026-06-12,3813,15.130952380952381,2197,145.19905586152635,True,2011-02-22,2012-09-07,371,1.4722222222222223,195,132.45283018867923,True,2025-06-09,2026-06-12,252,1.0,135,135.0,True,True
nq_volume_shock_liquidity_reversal,afternoon_symmetric_shock_reversion,symmetric_volume_shock_reversion,True,True,13:30:00,15:30:00,14,2.25,2011-01-03,2026-06-12,3813,15.130952380952381,1253,82.81038552321007,True,2011-02-22,2012-09-07,371,1.4722222222222223,135,91.69811320754717,True,2025-06-09,2026-06-12,252,1.0,71,71.0,True,True
nq_volume_shock_liquidity_reversal,all_day_symmetric_shock_reversion,symmetric_volume_shock_reversion,True,True,09:35:00,15:30:00,6,1.25,2011-01-03,2026-06-12,3813,15.130952380952381,3813,252.0,True,2011-02-22,2012-09-07,371,1.4722222222222223,371,251.99999999999997,True,2025-06-09,2026-06-12,252,1.0,252,252.0,True,True
