campaign_id,variant_id,window,buffer_ticks,max_close_distance_ticks,signals,span_years,signals_per_year,density_pass_50_per_year
nq_20_80_price_ending_barrier,late_morning_20_80_two_sided_reclaim_pivot,full_available_history,0,8,949,15.439358506350294,61.46628434139094,True
nq_20_80_price_ending_barrier,late_morning_20_80_two_sided_reclaim_pivot,limited_core_window,0,8,46,1.5420279108677466,29.830847856777368,False
nq_20_80_price_ending_barrier,late_morning_20_80_two_sided_reclaim_pivot,latest_252_sessions,0,8,93,1.0082610844931172,92.23801397309097,True
nq_20_80_price_ending_barrier,late_morning_20_80_two_sided_reclaim_pivot,full_available_history,0,12,1011,15.439358506350294,65.48199522565463,True
nq_20_80_price_ending_barrier,late_morning_20_80_two_sided_reclaim_pivot,limited_core_window,0,12,46,1.5420279108677466,29.830847856777368,False
nq_20_80_price_ending_barrier,late_morning_20_80_two_sided_reclaim_pivot,latest_252_sessions,0,12,105,1.0082610844931172,104.13969319542528,True
nq_20_80_price_ending_barrier,late_morning_20_80_two_sided_reclaim_pivot,full_available_history,0,20,1028,15.439358506350294,66.58307724230757,True
nq_20_80_price_ending_barrier,late_morning_20_80_two_sided_reclaim_pivot,limited_core_window,0,20,49,1.5420279108677466,31.776337934393283,False
nq_20_80_price_ending_barrier,late_morning_20_80_two_sided_reclaim_pivot,latest_252_sessions,0,20,95,1.0082610844931172,94.22162717681336,True
nq_20_80_price_ending_barrier,late_morning_20_80_two_sided_reclaim_pivot,full_available_history,1,8,929,15.439358506350294,60.17089373356394,True
nq_20_80_price_ending_barrier,late_morning_20_80_two_sided_reclaim_pivot,limited_core_window,1,8,52,1.5420279108677466,33.7218280120092,False
nq_20_80_price_ending_barrier,late_morning_20_80_two_sided_reclaim_pivot,latest_252_sessions,1,8,91,1.0082610844931172,90.25440076936859,True
nq_20_80_price_ending_barrier,late_morning_20_80_two_sided_reclaim_pivot,full_available_history,1,12,1000,15.439358506350294,64.76953039134978,True
nq_20_80_price_ending_barrier,late_morning_20_80_two_sided_reclaim_pivot,limited_core_window,1,12,49,1.5420279108677466,31.776337934393283,False
nq_20_80_price_ending_barrier,late_morning_20_80_two_sided_reclaim_pivot,latest_252_sessions,1,12,101,1.0082610844931172,100.17246678798051,True
nq_20_80_price_ending_barrier,late_morning_20_80_two_sided_reclaim_pivot,full_available_history,1,20,1027,15.439358506350294,66.51830771191622,True
nq_20_80_price_ending_barrier,late_morning_20_80_two_sided_reclaim_pivot,limited_core_window,1,20,52,1.5420279108677466,33.7218280120092,False
nq_20_80_price_ending_barrier,late_morning_20_80_two_sided_reclaim_pivot,latest_252_sessions,1,20,95,1.0082610844931172,94.22162717681336,True
nq_20_80_price_ending_barrier,late_morning_20_80_two_sided_reclaim_pivot,full_available_history,2,8,887,15.439358506350294,57.45057345712725,True
