variant_id,entry_combo_count,full_min_tpy,limited_core_min_tpy,wfa90_min_tpy,latest1y_min_tpy,pass
broad_up_signed_vwap_accept_1130,3,20.35,37.69,21.55,7.02,False
broad_up_large10_vwap_accept_1230,3,48.54,45.49,46.18,73.25,False
broad_up_large20_vwap_accept_1430,3,54.11,44.19,52.4,75.26,False
cyclical_up_signed_vwap_accept_1130,3,21.26,39.64,22.41,9.03,False
cyclical_up_large10_vwap_accept_1430,3,45.11,42.89,42.38,73.25,False
