variant,rows,pass_rows,min_full_per_year,min_limited_per_year,min_latest_252,max_full_per_year,verdict
high_move_riskoff_short_1000,9,8,20.658643617021276,12.085477941176471,4,46.62765957446808,FAIL
high_move_riskoff_short_1430,9,8,20.658643617021276,12.085477941176471,4,46.62765957446808,FAIL
low_move_carry_long_1000,9,9,18.456781914893618,24.170955882352942,32,56.27699468085107,PASS
move_crush_morning_strength_long_1130,9,9,29.077526595744683,22.828125,33,52.197074468085106,PASS
move_spike_morning_weakness_short_1130,9,9,25.515691489361704,18.799632352941178,26,46.562898936170214,PASS
