variant_id,share_rank_min,semivar_rank_min,window,signals,signals_per_year
morning15_trade_high_downside_window_1130,0.4,0.55,full,676,95.2948668467773
morning15_trade_high_downside_window_1130,0.4,0.55,limited_core,95,134.49127906976744
morning15_trade_high_downside_window_1130,0.4,0.55,wfa90,599,93.8587516087516
morning15_trade_high_downside_window_1130,0.4,0.55,latest1y,89,89.30563186813187
morning15_trade_high_downside_window_1130,0.4,0.65,full,549,77.3918371285218
morning15_trade_high_downside_window_1130,0.4,0.65,limited_core,84,118.91860465116278
morning15_trade_high_downside_window_1130,0.4,0.65,wfa90,493,77.2493564993565
morning15_trade_high_downside_window_1130,0.4,0.65,latest1y,60,60.206043956043956
morning15_trade_high_downside_window_1130,0.5,0.55,full,648,91.34774218448474
morning15_trade_high_downside_window_1130,0.5,0.55,limited_core,95,134.49127906976744
morning15_trade_high_downside_window_1130,0.5,0.55,wfa90,577,90.41151866151866
morning15_trade_high_downside_window_1130,0.5,0.55,latest1y,81,81.27815934065934
morning15_trade_high_downside_window_1130,0.5,0.65,full,535,75.41827479737553
morning15_trade_high_downside_window_1130,0.5,0.65,limited_core,84,118.91860465116278
morning15_trade_high_downside_window_1130,0.5,0.65,wfa90,483,75.68243243243244
morning15_trade_high_downside_window_1130,0.5,0.65,latest1y,56,56.19230769230769
morning15_trade_high_downside_window_1130,0.6,0.55,full,606,85.42705519104592
morning15_trade_high_downside_window_1130,0.6,0.55,limited_core,92,130.24418604651163
morning15_trade_high_downside_window_1130,0.6,0.55,wfa90,539,84.4572072072072
morning15_trade_high_downside_window_1130,0.6,0.55,latest1y,74,74.25412087912088
morning15_trade_high_downside_window_1130,0.6,0.65,full,503,70.9072751833269
morning15_trade_high_downside_window_1130,0.6,0.65,limited_core,82,116.08720930232558
morning15_trade_high_downside_window_1130,0.6,0.65,wfa90,452,70.82496782496783
morning15_trade_high_downside_window_1130,0.6,0.65,latest1y,53,53.18200549450549
morning15_notional_high_downside_window_1130,0.4,0.55,full,674,95.01292937089926
morning15_notional_high_downside_window_1130,0.4,0.55,limited_core,93,131.65988372093022
morning15_notional_high_downside_window_1130,0.4,0.55,wfa90,601,94.17213642213642
morning15_notional_high_downside_window_1130,0.4,0.55,latest1y,84,84.28846153846153
morning15_notional_high_downside_window_1130,0.4,0.65,full,548,77.25086839058278
morning15_notional_high_downside_window_1130,0.4,0.65,limited_core,81,114.67151162790697
morning15_notional_high_downside_window_1130,0.4,0.65,wfa90,496,77.71943371943372
morning15_notional_high_downside_window_1130,0.4,0.65,latest1y,56,56.19230769230769
morning15_notional_high_downside_window_1130,0.5,0.55,full,642,90.50192975685063
morning15_notional_high_downside_window_1130,0.5,0.55,limited_core,92,130.24418604651163
morning15_notional_high_downside_window_1130,0.5,0.55,wfa90,575,90.09813384813384
morning15_notional_high_downside_window_1130,0.5,0.55,latest1y,76,76.26098901098901
morning15_notional_high_downside_window_1130,0.5,0.65,full,524,73.8676186800463
morning15_notional_high_downside_window_1130,0.5,0.65,limited_core,81,114.67151162790697
morning15_notional_high_downside_window_1130,0.5,0.65,wfa90,475,74.42889317889318
morning15_notional_high_downside_window_1130,0.5,0.65,latest1y,52,52.17857142857142
morning15_notional_high_downside_window_1130,0.6,0.55,full,601,84.72221150135083
morning15_notional_high_downside_window_1130,0.6,0.55,limited_core,90,127.41279069767441
morning15_notional_high_downside_window_1130,0.6,0.55,wfa90,543,85.08397683397683
morning15_notional_high_downside_window_1130,0.6,0.55,latest1y,65,65.22321428571428
morning15_notional_high_downside_window_1130,0.6,0.65,full,491,69.21565032805866
morning15_notional_high_downside_window_1130,0.6,0.65,limited_core,79,111.84011627906976
morning15_notional_high_downside_window_1130,0.6,0.65,wfa90,448,70.1981981981982
morning15_notional_high_downside_window_1130,0.6,0.65,latest1y,45,45.154532967032964
