campaign_id,variant_id,entry.params.vr_threshold,entry.params.min_orderflow_imbalance,full_start,full_end,full_signals,full_signals_per_year,limited_start,limited_end,limited_signals,limited_signals_per_year
es_variance_ratio_orderflow_regime,afternoon_high_vr_signed_continuation_1530,1.1,0.06,2011-01-03 09:30:00-05:00,2026-06-09 15:59:00-04:00,1645,106.587946,2011-02-22 09:30:00-05:00,2012-09-06 15:59:00-04:00,125,81.094583
es_variance_ratio_orderflow_regime,afternoon_high_vr_signed_continuation_1530,1.1,0.08,2011-01-03 09:30:00-05:00,2026-06-09 15:59:00-04:00,1205,78.0781,2011-02-22 09:30:00-05:00,2012-09-06 15:59:00-04:00,117,75.904529
es_variance_ratio_orderflow_regime,afternoon_high_vr_signed_continuation_1530,1.1,0.1,2011-01-03 09:30:00-05:00,2026-06-09 15:59:00-04:00,817,52.9376,2011-02-22 09:30:00-05:00,2012-09-06 15:59:00-04:00,100,64.875666
es_variance_ratio_orderflow_regime,afternoon_high_vr_signed_continuation_1530,1.2,0.06,2011-01-03 09:30:00-05:00,2026-06-09 15:59:00-04:00,1216,78.790846,2011-02-22 09:30:00-05:00,2012-09-06 15:59:00-04:00,93,60.334369
es_variance_ratio_orderflow_regime,afternoon_high_vr_signed_continuation_1530,1.2,0.08,2011-01-03 09:30:00-05:00,2026-06-09 15:59:00-04:00,878,56.890101,2011-02-22 09:30:00-05:00,2012-09-06 15:59:00-04:00,88,57.090586
es_variance_ratio_orderflow_regime,afternoon_high_vr_signed_continuation_1530,1.2,0.1,2011-01-03 09:30:00-05:00,2026-06-09 15:59:00-04:00,594,38.488292,2011-02-22 09:30:00-05:00,2012-09-06 15:59:00-04:00,76,49.305506
es_variance_ratio_orderflow_regime,afternoon_high_vr_signed_continuation_1530,1.3,0.06,2011-01-03 09:30:00-05:00,2026-06-09 15:59:00-04:00,889,57.602847,2011-02-22 09:30:00-05:00,2012-09-06 15:59:00-04:00,59,38.276643
es_variance_ratio_orderflow_regime,afternoon_high_vr_signed_continuation_1530,1.3,0.08,2011-01-03 09:30:00-05:00,2026-06-09 15:59:00-04:00,621,40.237759,2011-02-22 09:30:00-05:00,2012-09-06 15:59:00-04:00,54,35.03286
es_variance_ratio_orderflow_regime,afternoon_high_vr_signed_continuation_1530,1.3,0.1,2011-01-03 09:30:00-05:00,2026-06-09 15:59:00-04:00,413,26.760378,2011-02-22 09:30:00-05:00,2012-09-06 15:59:00-04:00,46,29.842806
es_variance_ratio_orderflow_regime,midday_high_vr_large10_continuation_1400,1.15,0.08,2011-01-03 09:30:00-05:00,2026-06-09 15:59:00-04:00,2325,150.648616,2011-02-22 09:30:00-05:00,2012-09-06 15:59:00-04:00,187,121.317496
