campaign_id,variant_id,setup_mode,start_time,end_time,barrier_interval_points,buffer_ticks,signals,signals_per_year,start_date,end_date
nq_round_number_barrier_reaction,morning_round_support_reclaim_long,support_reclaim_long,09:35:00,11:30:00,25.0,0,3211,207.9833,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,morning_round_support_reclaim_long,support_reclaim_long,09:35:00,11:30:00,25.0,1,3165,205.0038,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,morning_round_support_reclaim_long,support_reclaim_long,09:35:00,11:30:00,50.0,0,2211,143.2112,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,morning_round_support_reclaim_long,support_reclaim_long,09:35:00,11:30:00,50.0,1,2153,139.4544,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,morning_round_support_reclaim_long,support_reclaim_long,09:35:00,11:30:00,100.0,0,1286,83.2969,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,morning_round_support_reclaim_long,support_reclaim_long,09:35:00,11:30:00,100.0,1,1240,80.3174,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,morning_round_resistance_reject_short,resistance_reject_short,09:35:00,11:30:00,25.0,0,3149,203.9674,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,morning_round_resistance_reject_short,resistance_reject_short,09:35:00,11:30:00,25.0,1,3119,202.0243,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,morning_round_resistance_reject_short,resistance_reject_short,09:35:00,11:30:00,50.0,0,2129,137.8998,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,morning_round_resistance_reject_short,resistance_reject_short,09:35:00,11:30:00,50.0,1,2096,135.7624,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,morning_round_resistance_reject_short,resistance_reject_short,09:35:00,11:30:00,100.0,0,1229,79.6049,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,morning_round_resistance_reject_short,resistance_reject_short,09:35:00,11:30:00,100.0,1,1205,78.0504,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,midday_two_sided_round_reclaim,two_sided_reclaim,11:30:00,14:30:00,25.0,0,3352,217.1162,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,midday_two_sided_round_reclaim,two_sided_reclaim,11:30:00,14:30:00,25.0,1,3379,218.865,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,midday_two_sided_round_reclaim,two_sided_reclaim,11:30:00,14:30:00,50.0,0,2608,168.9257,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,midday_two_sided_round_reclaim,two_sided_reclaim,11:30:00,14:30:00,50.0,1,2621,169.7677,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,midday_two_sided_round_reclaim,two_sided_reclaim,11:30:00,14:30:00,100.0,0,1772,114.7762,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,midday_two_sided_round_reclaim,two_sided_reclaim,11:30:00,14:30:00,100.0,1,1769,114.5819,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,round_number_upside_breakout_long,upside_breakout_long,09:45:00,13:30:00,25.0,0,3247,210.3151,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,round_number_upside_breakout_long,upside_breakout_long,09:45:00,13:30:00,25.0,1,3122,202.2186,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,round_number_upside_breakout_long,upside_breakout_long,09:45:00,13:30:00,50.0,0,2264,146.6441,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,round_number_upside_breakout_long,upside_breakout_long,09:45:00,13:30:00,50.0,1,2148,139.1305,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,round_number_upside_breakout_long,upside_breakout_long,09:45:00,13:30:00,100.0,0,1336,86.5356,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,round_number_upside_breakout_long,upside_breakout_long,09:45:00,13:30:00,100.0,1,1258,81.4833,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,round_number_downside_breakout_short,downside_breakout_short,09:45:00,13:30:00,25.0,0,3191,206.6878,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,round_number_downside_breakout_short,downside_breakout_short,09:45:00,13:30:00,25.0,1,3055,197.8788,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,round_number_downside_breakout_short,downside_breakout_short,09:45:00,13:30:00,50.0,0,2166,140.2964,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,round_number_downside_breakout_short,downside_breakout_short,09:45:00,13:30:00,50.0,1,2040,132.1351,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,round_number_downside_breakout_short,downside_breakout_short,09:45:00,13:30:00,100.0,0,1250,80.9652,2011-01-03,2026-06-12
nq_round_number_barrier_reaction,round_number_downside_breakout_short,downside_breakout_short,09:45:00,13:30:00,100.0,1,1159,75.0709,2011-01-03,2026-06-12
