variant,signal_time,min_prior_rth_down_ticks,max_pre_signal_return_ticks,signals,signal_sessions,signals_per_year
eu_open_unconditional_long_0200,02:00:00,,,3768,3768,244.6688
eu_open_prior_down_long_0200,02:00:00,0.0,,1694,1694,109.99706666666667
eu_open_prior_down_long_0200,02:00:00,16.0,,1531,1531,99.41293333333334
eu_open_prior_down_long_0200,02:00:00,32.0,,1383,1383,89.8028
eu_open_down_no_recovery_long_0200,02:00:00,0.0,0.0,781,781,50.71293333333333
eu_open_down_no_recovery_long_0200,02:00:00,0.0,16.0,970,970,62.98533333333334
eu_open_down_no_recovery_long_0200,02:00:00,0.0,32.0,1119,1119,72.66040000000001
eu_open_down_no_recovery_long_0200,02:00:00,16.0,0.0,708,708,45.9728
eu_open_down_no_recovery_long_0200,02:00:00,16.0,16.0,861,861,55.9076
eu_open_down_no_recovery_long_0200,02:00:00,16.0,32.0,990,990,64.284
eu_open_down_no_recovery_long_0200,02:00:00,32.0,0.0,643,643,41.75213333333333
eu_open_down_no_recovery_long_0200,02:00:00,32.0,16.0,778,778,50.51813333333334
eu_open_down_no_recovery_long_0200,02:00:00,32.0,32.0,880,880,57.141333333333336
eu_open_prior_down_long_0230,02:30:00,0.0,,1695,1695,110.06200000000001
eu_open_prior_down_long_0230,02:30:00,16.0,,1531,1531,99.41293333333334
eu_open_prior_down_long_0230,02:30:00,32.0,,1384,1384,89.86773333333333
london_open_prior_down_long_0300,03:00:00,0.0,,1695,1695,110.06200000000001
london_open_prior_down_long_0300,03:00:00,16.0,,1532,1532,99.47786666666667
london_open_prior_down_long_0300,03:00:00,32.0,,1384,1384,89.86773333333333
