variant_id,declared_entry_rows,passing_entry_rows,min_full_signals_per_year,min_limited_core_signals_per_year,min_latest_252_signals,variant_density_gate_pass,verdict
curve_1d_signed_rate_confirmation_1530,9,3,12.226593233674272,29.20754716981132,5,False,FAIL
teny_1d_large10_rate_confirmation_1530,9,8,58.35719905586152,45.50943396226415,59,False,FAIL
teny_1d_signed_rate_confirmation_1530,9,3,12.09441384736428,23.773584905660375,4,False,FAIL
teny_5d_signed_rate_confirmation_1530,9,3,12.09441384736428,27.849056603773583,3,False,FAIL
twoy_1d_signed_rate_confirmation_1530,9,2,13.548387096774194,19.0188679245283,8,False,FAIL
