campaign_id,variant_id,window,run_id,start_date,end_date,session_days_with_signal_bar,signal_days,signals,signals_per_year,long_signals,short_signals,entry.params.semivar_rank_threshold,entry.params.min_orderflow_imbalance,sl.params.stop_pct,tp.params.target_r_multiple
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,full_available_history,1,2011-01-03,2026-06-12,3813,994,994,64.3720744680851,0,994,0.45,0.0,0.003,1.0
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,limited_core_window,1,2011-02-22,2012-09-07,371,96,96,62.170212765957444,0,96,0.45,0.0,0.003,1.0
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,full_available_history,2,2011-01-03,2026-06-12,3813,994,994,64.3720744680851,0,994,0.45,0.0,0.003,1.5
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,limited_core_window,2,2011-02-22,2012-09-07,371,96,96,62.170212765957444,0,96,0.45,0.0,0.003,1.5
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,full_available_history,3,2011-01-03,2026-06-12,3813,994,994,64.3720744680851,0,994,0.45,0.0,0.004,1.0
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,limited_core_window,3,2011-02-22,2012-09-07,371,96,96,62.170212765957444,0,96,0.45,0.0,0.004,1.0
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,full_available_history,4,2011-01-03,2026-06-12,3813,994,994,64.3720744680851,0,994,0.45,0.0,0.004,1.5
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,limited_core_window,4,2011-02-22,2012-09-07,371,96,96,62.170212765957444,0,96,0.45,0.0,0.004,1.5
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,full_available_history,5,2011-01-03,2026-06-12,3813,994,994,64.3720744680851,0,994,0.45,0.0,0.005,1.0
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,limited_core_window,5,2011-02-22,2012-09-07,371,96,96,62.170212765957444,0,96,0.45,0.0,0.005,1.0
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,full_available_history,6,2011-01-03,2026-06-12,3813,994,994,64.3720744680851,0,994,0.45,0.0,0.005,1.5
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,limited_core_window,6,2011-02-22,2012-09-07,371,96,96,62.170212765957444,0,96,0.45,0.0,0.005,1.5
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,full_available_history,7,2011-01-03,2026-06-12,3813,939,939,60.81023936170213,0,939,0.45,0.005,0.003,1.0
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,limited_core_window,7,2011-02-22,2012-09-07,371,96,96,62.170212765957444,0,96,0.45,0.005,0.003,1.0
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,full_available_history,8,2011-01-03,2026-06-12,3813,939,939,60.81023936170213,0,939,0.45,0.005,0.003,1.5
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,limited_core_window,8,2011-02-22,2012-09-07,371,96,96,62.170212765957444,0,96,0.45,0.005,0.003,1.5
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,full_available_history,9,2011-01-03,2026-06-12,3813,939,939,60.81023936170213,0,939,0.45,0.005,0.004,1.0
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,limited_core_window,9,2011-02-22,2012-09-07,371,96,96,62.170212765957444,0,96,0.45,0.005,0.004,1.0
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,full_available_history,10,2011-01-03,2026-06-12,3813,939,939,60.81023936170213,0,939,0.45,0.005,0.004,1.5
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,limited_core_window,10,2011-02-22,2012-09-07,371,96,96,62.170212765957444,0,96,0.45,0.005,0.004,1.5
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,full_available_history,11,2011-01-03,2026-06-12,3813,939,939,60.81023936170213,0,939,0.45,0.005,0.005,1.0
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,limited_core_window,11,2011-02-22,2012-09-07,371,96,96,62.170212765957444,0,96,0.45,0.005,0.005,1.0
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,full_available_history,12,2011-01-03,2026-06-12,3813,939,939,60.81023936170213,0,939,0.45,0.005,0.005,1.5
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,limited_core_window,12,2011-02-22,2012-09-07,371,96,96,62.170212765957444,0,96,0.45,0.005,0.005,1.5
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,full_available_history,13,2011-01-03,2026-06-12,3813,863,863,55.88843085106383,0,863,0.45,0.01,0.003,1.0
nq_semivariance_orderflow_confirmation,badvol_signed_multitime_short,limited_core_window,13,2011-02-22,2012-09-07,371,93,93,60.22739361702128,0,93,0.45,0.01,0.003,1.0
