campaign_id,variant_id,share_rank_min,min_abs_return_ticks,signals,signals_per_year,status,seconds
nq_pivot_filtered_mes_participation_crowding_reversion,morning_notional_two_sided_reversal_window_1130,0.45,1,850,119.68485,PASS,12.818
nq_pivot_filtered_mes_participation_crowding_reversion,morning_notional_two_sided_reversal_window_1130,0.45,2,847,119.262433,PASS,13.108
nq_pivot_filtered_mes_participation_crowding_reversion,morning_notional_two_sided_reversal_window_1130,0.45,3,847,119.262433,PASS,12.92
nq_pivot_filtered_mes_participation_crowding_reversion,morning_notional_two_sided_reversal_window_1130,0.55,1,748,105.322668,PASS,12.903
nq_pivot_filtered_mes_participation_crowding_reversion,morning_notional_two_sided_reversal_window_1130,0.55,2,745,104.900251,PASS,13.198
nq_pivot_filtered_mes_participation_crowding_reversion,morning_notional_two_sided_reversal_window_1130,0.55,3,745,104.900251,PASS,12.834
nq_pivot_filtered_mes_participation_crowding_reversion,morning_notional_two_sided_reversal_window_1130,0.65,1,642,90.397263,PASS,12.896
nq_pivot_filtered_mes_participation_crowding_reversion,morning_notional_two_sided_reversal_window_1130,0.65,2,638,89.83404,PASS,13.053
nq_pivot_filtered_mes_participation_crowding_reversion,morning_notional_two_sided_reversal_window_1130,0.65,3,638,89.83404,PASS,12.904
nq_pivot_filtered_mes_participation_crowding_reversion,late_morning_trade_two_sided_reversal_window_1200,0.45,1,719,101.239302,PASS,13.247
nq_pivot_filtered_mes_participation_crowding_reversion,late_morning_trade_two_sided_reversal_window_1200,0.45,2,714,100.535274,PASS,12.83
nq_pivot_filtered_mes_participation_crowding_reversion,late_morning_trade_two_sided_reversal_window_1200,0.45,3,713,100.394468,PASS,13.236
nq_pivot_filtered_mes_participation_crowding_reversion,late_morning_trade_two_sided_reversal_window_1200,0.55,1,641,90.256457,PASS,13.012
nq_pivot_filtered_mes_participation_crowding_reversion,late_morning_trade_two_sided_reversal_window_1200,0.55,2,636,89.552429,PASS,13.092
nq_pivot_filtered_mes_participation_crowding_reversion,late_morning_trade_two_sided_reversal_window_1200,0.55,3,635,89.411623,PASS,12.929
nq_pivot_filtered_mes_participation_crowding_reversion,late_morning_trade_two_sided_reversal_window_1200,0.65,1,524,73.78219,PASS,13.138
nq_pivot_filtered_mes_participation_crowding_reversion,late_morning_trade_two_sided_reversal_window_1200,0.65,2,521,73.359773,PASS,12.843
nq_pivot_filtered_mes_participation_crowding_reversion,late_morning_trade_two_sided_reversal_window_1200,0.65,3,521,73.359773,PASS,13.281
nq_pivot_filtered_mes_participation_crowding_reversion,midday_notional_two_sided_reversal_window_1330,0.45,1,1045,147.141962,PASS,13.251
nq_pivot_filtered_mes_participation_crowding_reversion,midday_notional_two_sided_reversal_window_1330,0.45,2,1038,146.156322,PASS,13.118
nq_pivot_filtered_mes_participation_crowding_reversion,midday_notional_two_sided_reversal_window_1330,0.45,3,1035,145.733905,PASS,13.137
nq_pivot_filtered_mes_participation_crowding_reversion,midday_notional_two_sided_reversal_window_1330,0.55,1,916,128.978026,PASS,13.078
