campaign_id,variant_id,calendar_bucket,trigger_mode,direction,signal_time,min_abs_move_ticks,candidates,candidates_per_year,span_years
nq_spx_0dte_expiration_pressure,full_week_down_move_fade_long_1000,full_week,fade_move,long,10:00:00,64,368,89.96787148594377,4.090349075975359
nq_spx_0dte_expiration_pressure,full_week_down_move_fade_long_1000,full_week,fade_move,long,10:00:00,96,326,79.69979919678715,4.090349075975359
nq_spx_0dte_expiration_pressure,full_week_down_move_fade_long_1000,full_week,fade_move,long,10:00:00,128,286,69.9206827309237,4.090349075975359
nq_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,full_week,continue_move,two_sided,14:30:00,160,772,188.73694779116468,4.090349075975359
nq_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,full_week,continue_move,two_sided,14:30:00,224,704,172.1124497991968,4.090349075975359
nq_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,full_week,continue_move,two_sided,14:30:00,256,665,162.57781124497993,4.090349075975359
nq_spx_0dte_expiration_pressure,full_week_up_move_fade_short_1000,full_week,fade_move,short,10:00:00,64,428,104.63654618473896,4.090349075975359
nq_spx_0dte_expiration_pressure,full_week_up_move_fade_short_1000,full_week,fade_move,short,10:00:00,96,381,93.14608433734941,4.090349075975359
nq_spx_0dte_expiration_pressure,full_week_up_move_fade_short_1000,full_week,fade_move,short,10:00:00,128,333,81.41114457831326,4.090349075975359
nq_spx_0dte_expiration_pressure,mwf_two_sided_fade_1030,mon_wed_fri,fade_move,two_sided,10:30:00,80,456,111.48192771084338,4.090349075975359
nq_spx_0dte_expiration_pressure,mwf_two_sided_fade_1030,mon_wed_fri,fade_move,two_sided,10:30:00,128,389,95.10190763052209,4.090349075975359
nq_spx_0dte_expiration_pressure,mwf_two_sided_fade_1030,mon_wed_fri,fade_move,two_sided,10:30:00,160,360,88.01204819277109,4.090349075975359
nq_spx_0dte_expiration_pressure,tue_thu_two_sided_fade_1030,new_tue_thu,fade_move,two_sided,10:30:00,80,347,84.83383534136547,4.090349075975359
nq_spx_0dte_expiration_pressure,tue_thu_two_sided_fade_1030,new_tue_thu,fade_move,two_sided,10:30:00,128,307,75.05471887550202,4.090349075975359
nq_spx_0dte_expiration_pressure,tue_thu_two_sided_fade_1030,new_tue_thu,fade_move,two_sided,10:30:00,160,285,69.67620481927712,4.090349075975359
