variant_id,period,start_date,end_date,min_mes_return_ticks,min_lag_gap_ticks,signal_sessions,available_sessions,signals_per_year
afternoon60_signed_two_sided_1400,full,2019-05-06,2026-06-09,4,1.0,1728,1757,247.8406374501992
afternoon60_signed_two_sided_1400,full,2019-05-06,2026-06-09,4,1.5,1398,1757,200.50996015936255
afternoon60_signed_two_sided_1400,full,2019-05-06,2026-06-09,4,2.0,1398,1757,200.50996015936255
afternoon60_signed_two_sided_1400,full,2019-05-06,2026-06-09,6,1.0,1726,1757,247.55378486055776
afternoon60_signed_two_sided_1400,full,2019-05-06,2026-06-09,6,1.5,1383,1757,198.35856573705178
afternoon60_signed_two_sided_1400,full,2019-05-06,2026-06-09,6,2.0,1383,1757,198.35856573705178
afternoon60_signed_two_sided_1400,full,2019-05-06,2026-06-09,8,1.0,1722,1757,246.9800796812749
afternoon60_signed_two_sided_1400,full,2019-05-06,2026-06-09,8,1.5,1360,1757,195.0597609561753
afternoon60_signed_two_sided_1400,full,2019-05-06,2026-06-09,8,2.0,1360,1757,195.0597609561753
afternoon60_signed_two_sided_1400,limited_core,2021-07-13,2022-03-28,4,1.0,172,178,243.50561797752806
afternoon60_signed_two_sided_1400,limited_core,2021-07-13,2022-03-28,4,1.5,128,178,181.2134831460674
afternoon60_signed_two_sided_1400,limited_core,2021-07-13,2022-03-28,4,2.0,128,178,181.2134831460674
afternoon60_signed_two_sided_1400,limited_core,2021-07-13,2022-03-28,6,1.0,172,178,243.50561797752806
afternoon60_signed_two_sided_1400,limited_core,2021-07-13,2022-03-28,6,1.5,126,178,178.3820224719101
afternoon60_signed_two_sided_1400,limited_core,2021-07-13,2022-03-28,6,2.0,126,178,178.3820224719101
afternoon60_signed_two_sided_1400,limited_core,2021-07-13,2022-03-28,8,1.0,172,178,243.50561797752806
afternoon60_signed_two_sided_1400,limited_core,2021-07-13,2022-03-28,8,1.5,124,178,175.5505617977528
afternoon60_signed_two_sided_1400,limited_core,2021-07-13,2022-03-28,8,2.0,124,178,175.5505617977528
late_day30_large20_two_sided_1500,full,2019-05-06,2026-06-09,3,1.0,1751,1757,251.1394422310757
late_day30_large20_two_sided_1500,full,2019-05-06,2026-06-09,3,1.5,1357,1757,194.62948207171314
late_day30_large20_two_sided_1500,full,2019-05-06,2026-06-09,3,2.0,1357,1757,194.62948207171314
late_day30_large20_two_sided_1500,full,2019-05-06,2026-06-09,4,1.0,1750,1757,250.99601593625496
late_day30_large20_two_sided_1500,full,2019-05-06,2026-06-09,4,1.5,1331,1757,190.9003984063745
late_day30_large20_two_sided_1500,full,2019-05-06,2026-06-09,4,2.0,1331,1757,190.9003984063745
late_day30_large20_two_sided_1500,full,2019-05-06,2026-06-09,6,1.0,1742,1757,249.84860557768923
late_day30_large20_two_sided_1500,full,2019-05-06,2026-06-09,6,1.5,1284,1757,184.1593625498008
late_day30_large20_two_sided_1500,full,2019-05-06,2026-06-09,6,2.0,1284,1757,184.1593625498008
late_day30_large20_two_sided_1500,limited_core,2021-07-13,2022-03-28,3,1.0,177,178,250.58426966292134
late_day30_large20_two_sided_1500,limited_core,2021-07-13,2022-03-28,3,1.5,121,178,171.30337078651684
late_day30_large20_two_sided_1500,limited_core,2021-07-13,2022-03-28,3,2.0,121,178,171.30337078651684
late_day30_large20_two_sided_1500,limited_core,2021-07-13,2022-03-28,4,1.0,177,178,250.58426966292134
late_day30_large20_two_sided_1500,limited_core,2021-07-13,2022-03-28,4,1.5,120,178,169.88764044943818
late_day30_large20_two_sided_1500,limited_core,2021-07-13,2022-03-28,4,2.0,120,178,169.88764044943818
late_day30_large20_two_sided_1500,limited_core,2021-07-13,2022-03-28,6,1.0,175,178,247.75280898876403
late_day30_large20_two_sided_1500,limited_core,2021-07-13,2022-03-28,6,1.5,113,178,159.97752808988764
late_day30_large20_two_sided_1500,limited_core,2021-07-13,2022-03-28,6,2.0,113,178,159.97752808988764
late_morning30_signed_two_sided_1130,full,2019-05-06,2026-06-09,3,1.0,1753,1757,251.42629482071712
late_morning30_signed_two_sided_1130,full,2019-05-06,2026-06-09,3,1.5,1372,1757,196.78087649402391
late_morning30_signed_two_sided_1130,full,2019-05-06,2026-06-09,3,2.0,1372,1757,196.78087649402391
late_morning30_signed_two_sided_1130,full,2019-05-06,2026-06-09,4,1.0,1753,1757,251.42629482071712
late_morning30_signed_two_sided_1130,full,2019-05-06,2026-06-09,4,1.5,1368,1757,196.20717131474103
late_morning30_signed_two_sided_1130,full,2019-05-06,2026-06-09,4,2.0,1368,1757,196.20717131474103
late_morning30_signed_two_sided_1130,full,2019-05-06,2026-06-09,6,1.0,1752,1757,251.28286852589642
late_morning30_signed_two_sided_1130,full,2019-05-06,2026-06-09,6,1.5,1350,1757,193.62549800796813
late_morning30_signed_two_sided_1130,full,2019-05-06,2026-06-09,6,2.0,1350,1757,193.62549800796813
late_morning30_signed_two_sided_1130,limited_core,2021-07-13,2022-03-28,3,1.0,177,178,250.58426966292134
late_morning30_signed_two_sided_1130,limited_core,2021-07-13,2022-03-28,3,1.5,110,178,155.73033707865167
late_morning30_signed_two_sided_1130,limited_core,2021-07-13,2022-03-28,3,2.0,110,178,155.73033707865167
late_morning30_signed_two_sided_1130,limited_core,2021-07-13,2022-03-28,4,1.0,177,178,250.58426966292134
late_morning30_signed_two_sided_1130,limited_core,2021-07-13,2022-03-28,4,1.5,110,178,155.73033707865167
late_morning30_signed_two_sided_1130,limited_core,2021-07-13,2022-03-28,4,2.0,110,178,155.73033707865167
late_morning30_signed_two_sided_1130,limited_core,2021-07-13,2022-03-28,6,1.0,176,178,249.1685393258427
late_morning30_signed_two_sided_1130,limited_core,2021-07-13,2022-03-28,6,1.5,110,178,155.73033707865167
late_morning30_signed_two_sided_1130,limited_core,2021-07-13,2022-03-28,6,2.0,110,178,155.73033707865167
midday30_large10_two_sided_1230,full,2019-05-06,2026-06-09,3,1.0,1757,1757,252.0
midday30_large10_two_sided_1230,full,2019-05-06,2026-06-09,3,1.5,1509,1757,216.43027888446215
midday30_large10_two_sided_1230,full,2019-05-06,2026-06-09,3,2.0,1509,1757,216.43027888446215
midday30_large10_two_sided_1230,full,2019-05-06,2026-06-09,4,1.0,1757,1757,252.0
midday30_large10_two_sided_1230,full,2019-05-06,2026-06-09,4,1.5,1487,1757,213.27490039840637
midday30_large10_two_sided_1230,full,2019-05-06,2026-06-09,4,2.0,1487,1757,213.27490039840637
midday30_large10_two_sided_1230,full,2019-05-06,2026-06-09,6,1.0,1753,1757,251.42629482071712
midday30_large10_two_sided_1230,full,2019-05-06,2026-06-09,6,1.5,1431,1757,205.24302788844622
midday30_large10_two_sided_1230,full,2019-05-06,2026-06-09,6,2.0,1431,1757,205.24302788844622
midday30_large10_two_sided_1230,limited_core,2021-07-13,2022-03-28,3,1.0,178,178,251.99999999999997
midday30_large10_two_sided_1230,limited_core,2021-07-13,2022-03-28,3,1.5,149,178,210.94382022471908
midday30_large10_two_sided_1230,limited_core,2021-07-13,2022-03-28,3,2.0,149,178,210.94382022471908
midday30_large10_two_sided_1230,limited_core,2021-07-13,2022-03-28,4,1.0,178,178,251.99999999999997
midday30_large10_two_sided_1230,limited_core,2021-07-13,2022-03-28,4,1.5,148,178,209.52808988764045
midday30_large10_two_sided_1230,limited_core,2021-07-13,2022-03-28,4,2.0,148,178,209.52808988764045
