variant,barrier_interval_points,buffer_ticks,min_orderflow_imbalance,full_signals,full_signals_per_year,limited_core_signals,limited_core_signals_per_year,latest_252_signals,density_pass
midday_two_sided_large10_absorption_reclaim,25.0,0,0.1,2951,195.0306845003934,194,134.4563567362429,240,True
midday_two_sided_large10_absorption_reclaim,25.0,0,0.2,2847,188.1573564122738,177,122.67409867172677,238,True
midday_two_sided_large10_absorption_reclaim,25.0,0,0.3,2683,177.31864673485444,166,115.05028462998104,227,True
midday_two_sided_large10_absorption_reclaim,25.0,1,0.1,2899,191.5940204563336,197,136.53557874762808,234,True
midday_two_sided_large10_absorption_reclaim,25.0,1,0.2,2794,184.654602675059,181,125.44639468690703,229,True
midday_two_sided_large10_absorption_reclaim,25.0,1,0.3,2632,173.94807238394964,169,117.12950664136623,220,True
morning_resistance_buy_absorption_short,25.0,0,0.01,1871,123.65381589299764,129,89.40654648956357,147,True
morning_resistance_buy_absorption_short,25.0,0,0.03,1519,100.39024390243902,106,73.46584440227704,111,True
morning_resistance_buy_absorption_short,25.0,0,0.05,1157,76.46577498033045,90,62.37666034155598,71,True
morning_resistance_buy_absorption_short,25.0,1,0.01,1781,117.70574350904799,125,86.63425047438331,143,True
morning_resistance_buy_absorption_short,25.0,1,0.03,1431,94.57435090479937,102,70.69354838709678,105,True
morning_resistance_buy_absorption_short,25.0,1,0.05,1090,72.0377655389457,88,60.990512333965846,69,True
morning_support_sell_absorption_long,25.0,0,0.01,1921,126.95830055074744,128,88.7134724857685,147,True
morning_support_sell_absorption_long,25.0,0,0.03,1594,105.34697088906373,116,80.39658444022771,113,True
morning_support_sell_absorption_long,25.0,0,0.05,1253,82.81038552321007,101,70.00047438330171,77,True
morning_support_sell_absorption_long,25.0,1,0.01,1839,121.53894571203776,132,91.48576850094877,135,True
morning_support_sell_absorption_long,25.0,1,0.03,1507,99.59716758457907,118,81.78273244781784,104,True
morning_support_sell_absorption_long,25.0,1,0.05,1184,78.25019669551534,102,70.69354838709678,72,True
round_number_downside_flow_breakout_short,25.0,1,0.01,2511,165.9512195121951,179,124.06024667931689,195,True
round_number_downside_flow_breakout_short,25.0,1,0.03,2320,153.32808811959086,175,121.28795066413663,166,True
round_number_downside_flow_breakout_short,25.0,1,0.05,2002,132.31156569630213,168,116.43643263757116,129,True
round_number_downside_flow_breakout_short,50.0,1,0.01,1498,99.0023603461841,84,58.21821631878558,128,True
round_number_downside_flow_breakout_short,50.0,1,0.03,1334,88.16365066876475,81,56.13899430740038,106,True
round_number_downside_flow_breakout_short,50.0,1,0.05,1113,73.55782848151063,77,53.366698292220114,80,True
round_number_upside_flow_breakout_long,25.0,1,0.01,2527,167.00865460267505,175,121.28795066413663,184,True
round_number_upside_flow_breakout_long,25.0,1,0.03,2318,153.19590873328087,171,118.51565464895636,159,True
round_number_upside_flow_breakout_long,25.0,1,0.05,2041,134.88906372934696,161,111.5849146110057,128,True
round_number_upside_flow_breakout_long,50.0,1,0.01,1534,101.38158929976396,82,56.83206831119545,117,True
round_number_upside_flow_breakout_long,50.0,1,0.03,1350,89.22108575924469,79,54.75284629981025,99,True
round_number_upside_flow_breakout_long,50.0,1,0.05,1143,75.5405192761605,74,51.287476280834916,78,True
