variant,rows,pass_rows,min_full_per_year,min_limited_per_year,min_latest_252,max_full_per_year,verdict
stage2_compression_breakout_1200,9,9,27.199468085106382,12.75689338235294,32,29.466090425531917,PASS
stage2_opening_or_breakout_1030,9,9,77.64800531914894,34.91360294117647,108,92.54295212765958,PASS
stage2_prior_close_reclaim_1200,9,9,70.00625,29.542279411764707,78,81.72792553191489,PASS
stage2_prior_high_reclaim_1130,9,9,74.73377659574469,32.22794117647059,102,82.6345744680851,PASS
stage2_weekly_support_reclaim_1430,9,9,46.30385638297872,14.099724264705882,50,58.80265957446809,PASS
