side,release_rows,pdh_sweep_count,pdl_sweep_count,window_count,window_running,pivots_count,pivots_running,range_count,range_running,no_lvn_count,no_lvn_running,sweep_any_count,sweep_any_running,delta_count,delta_running,near_vap_count,near_vap_running,final_signal_count_before_daily_cap
short,4298,501,663,1850,1850,3705,1257,4079,1254,2798,840,1105,191,4298,191,961,60,60
long,4305,511,630,1739,1739,3747,1181,4095,1171,2801,774,1065,170,4305,170,690,35,35
